,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,1.3391224815143,0.159208347977687,8.41113232141555,4.06071307530196e-17,6.03706212905142e-13,Upregulated,PcB target,CDKN2A
2,PDLIM3,306.644767021359,3.65986517239577,0.446514251679274,8.19652487828005,2.47436091414158e-16,1.83931618552715e-12,Upregulated,PcB target,PDLIM3
3,SP8,112.877101959828,-1.91725877219554,0.267016459820816,-7.18030181915428,6.95576902395622e-13,2.58528545197893e-09,Downregulated,PcB target,SP8
4,PCDH1,289.425689217522,2.15366899998151,0.311599628263338,6.91165458696056,4.79033126454398e-12,1.18696424849959e-08,Upregulated,PcB target,PCDH1
5,RAB29,194.42488404359,1.86729292337093,0.277063059272928,6.73959541293994,1.58828269300601e-11,3.37328554241719e-08,Upregulated,PcB target,RAB29
6,RTN1,416.439090520945,1.25864103642012,0.203109957516186,6.19684555012435,5.7605978089089e-10,7.13690063542072e-07,Upregulated,PcB target,RTN1
7,EYA4,799.790347207316,1.30110134297725,0.220488294436342,5.90099962586855,3.61305726218289e-09,4.1319478705287e-06,Upregulated,PcB target,EYA4
8,DLX5,86.7776791109418,-1.58786838352166,0.270186813560972,-5.87692775451948,4.17950499722864e-09,4.43833577098559e-06,Downregulated,PcB target,DLX5
9,OSR2,81.9987502877867,-2.3137234452344,0.417472615664844,-5.54221608416085,2.98667419184723e-08,2.61193442412899e-05,Downregulated,PcB target,OSR2
10,MCF2L,369.071198213841,0.940541319632928,0.176830692293364,5.31888049203901,1.04407684013695e-07,8.62349465684225e-05,Upregulated,PcB target,MCF2L
11,EFHD1,280.360428941105,1.1451404230316,0.22168995341397,5.16550436948867,2.39791426240209e-07,0.000142723863993798,Upregulated,PcB target,EFHD1
12,RIMS4,1156.42645197058,0.952737241787528,0.186065607212482,5.12043711925508,3.04828249421073e-07,0.000167847466079374,Upregulated,PcB target,RIMS4
13,RGS12,1304.72421358952,0.442616651064373,0.0879193136025432,5.03435062135846,4.7947138915576e-07,0.000222759410705584,NS,PcB target,NA
14,ITGA5,300.480394222498,1.28745364681549,0.263688410459721,4.88248097279252,1.04759350587133e-06,0.000432627018105251,Upregulated,PcB target,ITGA5
15,DEK,2917.1227538518,-0.709016714127575,0.147813076138077,-4.79671171625749,1.61291469054197e-06,0.000584187108443871,Downregulated,PcB target,DEK
16,CDCA7L,680.876417074644,-0.750888264590938,0.156521656514716,-4.79734422258904,1.60783161828158e-06,0.000584187108443871,Downregulated,PcB target,CDCA7L
17,ZNF618,458.903025899988,0.637347117439899,0.134321805627916,4.74492666667546,2.08581886727698e-06,0.000659784448932061,Upregulated,PcB target,ZNF618
18,MAML3,141.85463475103,1.67108557748364,0.353852272755511,4.72255148870628,2.32904099428893e-06,0.000673091426706676,Upregulated,PcB target,MAML3
19,OTULINL,322.325809307162,-1.59739781953809,0.341859151951666,-4.67267823727575,2.9729732439218e-06,0.00080001912535507,Downregulated,PcB target,OTULINL
20,VCAN,872.190900896411,-0.801540197734832,0.173792818251407,-4.61204442047388,3.98727755802902e-06,0.000956110571858346,Downregulated,PcB target,VCAN
21,CCDC184,150.660529064046,1.02694164455232,0.223214132395602,4.60070172766783,4.2107001189843e-06,0.000978132479202181,Upregulated,PcB target,CCDC184
22,SESN2,444.293757880889,0.839916315690428,0.183253497999247,4.58335761587415,4.57568494328651e-06,0.00103070769775516,Upregulated,PcB target,SESN2
23,NAB1,362.670122078312,-0.669236790083661,0.145948671182202,-4.58542571619707,4.53062337376582e-06,0.00103070769775516,Downregulated,PcB target,NAB1
24,ABHD4,892.948755833062,0.874522148603154,0.19103245325184,4.57787215583868,4.69729611687259e-06,0.00104230897566485,Upregulated,PcB target,ABHD4
25,CCND2,2303.18435034278,0.429952602533108,0.0940729510766907,4.57041686916571,4.86754982654579e-06,0.00104878062711966,NS,PcB target,NA
26,LBR,2938.66958982616,-0.494103658880941,0.108972151809297,-4.53421952927599,5.78168716714198e-06,0.00113100451465658,NS,PcB target,NA
27,IGSF9B,304.547564036742,1.11004051946727,0.246669102464802,4.50011983006938,6.79151661648722e-06,0.00121649972936525,Upregulated,PcB target,IGSF9B
28,SH3PXD2B,4312.1012325694,0.436561302170754,0.0987603570495421,4.42041032670384,9.85136603573569e-06,0.00155849550438071,NS,PcB target,NA
29,RPS6KA2,1046.16865006708,0.559037475792232,0.126399200520689,4.42279281426885,9.74331663833687e-06,0.00155849550438071,NS,PcB target,NA
30,IGF2BP1,172.434210051343,-1.2212744700389,0.276005932074787,-4.42481239753927,9.65261287924635e-06,0.00155849550438071,Downregulated,PcB target,IGF2BP1
31,ANLN,565.413775694101,-0.826912677907297,0.189078494459274,-4.37338302418844,1.22335808468762e-05,0.00171581741934442,Downregulated,PcB target,ANLN
32,SALL2,1211.72487132042,0.521830141304186,0.119922559433015,4.35139263013865,1.35275561803818e-05,0.00186216831234941,NS,PcB target,NA
33,PDZD4,50.4563525757194,2.39437923150613,0.554312354051121,4.31954874180075,1.56348574989155e-05,0.00209408492285024,Upregulated,PcB target,PDZD4
34,FAM131B,566.005495769696,0.71595497015968,0.16799372085076,4.26179601555293,2.02790508046834e-05,0.00236612777075801,Upregulated,PcB target,FAM131B
35,NRG2,205.631312615172,0.838591491040542,0.198436920374216,4.22598521212238,2.37897614951763e-05,0.00269986552785333,Upregulated,PcB target,NRG2
36,NPTXR,540.288680821232,0.749469926564686,0.177777712538591,4.21576988398922,2.48927493765559e-05,0.00280364018925194,Upregulated,PcB target,NPTXR
37,RYR2,231.072103152328,0.909833235118508,0.21612171783117,4.20981863483638,2.55575766868338e-05,0.00285687588423427,Upregulated,PcB target,RYR2
38,LMTK3,45.6221451237505,1.56643178560785,0.375268193181393,4.17416614056253,2.99079448328672e-05,0.00324555777978275,Upregulated,PcB target,LMTK3
