,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,DMRTA2,523.923170832472,-5.71512078727374,0.251299231031417,2.14790749237272e-115,1.39814458370182e-111,Downregulated,PcB target,DMRTA2
2,SFRP1,671.658757173415,-5.99380173881666,0.285530216482726,7.70708607942843e-99,2.15005681370112e-95,Downregulated,PcB target,SFRP1
3,GSN,996.987558813967,-2.64005909662542,0.126858338521567,6.65072200989703e-97,1.62344124261587e-93,Downregulated,PcB target,GSN
4,ABLIM1,1572.91711703577,2.41652678524735,0.139533540845003,2.37351498179734e-68,3.0900000376359e-65,Upregulated,PcB target,ABLIM1
5,EYA4,799.790347207316,-3.04017191969011,0.185836573649364,1.5100095381037e-60,1.47437331300445e-57,Downregulated,PcB target,EYA4
6,MAGEA6,347.412354860506,5.94678112317859,0.375122389693689,1.35709467710324e-57,1.10422270226967e-54,Upregulated,PcB target,MAGEA6
7,NT5E,285.760101132116,-4.54384263304545,0.294830412531366,3.80079164729686e-54,2.31943310276291e-51,Downregulated,PcB target,NT5E
8,RPS6KA2,1046.16865006708,2.05840349490738,0.135526562579045,3.94061627965774e-54,2.3318895366411e-51,Upregulated,PcB target,RPS6KA2
9,HSPA12A,351.116945842277,2.87230837036084,0.190164757367149,4.79873073182833e-52,2.53269226300388e-49,Upregulated,PcB target,HSPA12A
10,WLS,2402.79526408905,1.73210859301762,0.118120659115012,4.48011892772496e-51,2.2432759595029e-48,Upregulated,PcB target,WLS
11,ITPKB,1892.84488715906,-1.73976188011421,0.119379185423836,1.69061317550777e-50,8.25357352282891e-48,Downregulated,PcB target,ITPKB
12,LMO2,167.88097772281,-5.79879465396326,0.403475159274539,8.81000748175163e-48,3.58420471049262e-45,Downregulated,PcB target,LMO2
13,LINC01694,235.092491066917,4.49562105951392,0.312549792913145,1.87043828237799e-47,7.16194485848575e-45,Upregulated,PcB target,LINC01694
14,SLIT2,479.803631262113,3.49018118355357,0.244067289477674,9.73578634578886e-47,3.52074881038083e-44,Upregulated,PcB target,SLIT2
15,RGS12,1304.72421358952,1.27375601635818,0.0930785616819168,1.6194604800118e-44,5.45255590580525e-42,Upregulated,PcB target,RGS12
16,PDLIM3,306.644767021359,-2.8280717922754,0.203793368121515,2.4381590469989e-44,7.9353949782991e-42,Downregulated,PcB target,PDLIM3
17,STOM,467.772332509094,-2.59038120611236,0.189910615404293,3.16835362125358e-43,9.82089039933968e-41,Downregulated,PcB target,STOM
18,LIMS2,165.073826839643,4.78773925693882,0.358878411913256,3.18920098294785e-41,8.92478609745999e-39,Upregulated,PcB target,LIMS2
19,ADARB2,321.128403819339,7.18419388216183,0.561846111572767,4.94572150126626e-39,1.28773399302303e-36,Upregulated,PcB target,ADARB2
20,CDH11,225.326643648136,3.01891260173135,0.23529926110723,4.0778443788502e-38,1.00800183582515e-35,Upregulated,PcB target,CDH11
21,TFAP2A,178.533274896873,-4.92557151874708,0.386327101058318,6.78832343990806e-38,1.65702975168156e-35,Downregulated,PcB target,TFAP2A
22,CDH8,376.692191224155,2.55650293996402,0.201547785842408,8.24832358366832e-38,1.98855880175154e-35,Upregulated,PcB target,CDH8
23,ADIPOR2,954.196467440826,-1.29326525486098,0.103918745370574,1.79559498766573e-37,4.27614377062639e-35,Downregulated,PcB target,ADIPOR2
24,S1PR3,195.331212884121,-5.11711576762215,0.405980167154331,3.80130707042567e-37,8.94360535798465e-35,Downregulated,PcB target,S1PR3
25,COL2A1,746.998205582823,-7.3281691175541,0.599536190157248,4.8199860060301e-36,1.06959871279268e-33,Downregulated,PcB target,COL2A1
26,CAVIN1,930.208149203013,-3.98783613764414,0.324640144434666,4.10049342652628e-35,8.79938853112145e-33,Downregulated,PcB target,CAVIN1
27,ANK1,387.022508081908,-2.82114090349439,0.236276135911086,1.85281713222692e-33,3.51279737457547e-31,Downregulated,PcB target,ANK1
28,DYRK3,344.726450627635,-1.81949467015257,0.158781643642228,9.31807771940153e-33,1.66938918994929e-30,Downregulated,PcB target,DYRK3
29,B4GALNT3,129.357889866741,-5.5309615087531,0.473187257072161,2.01509865717738e-32,3.48237580330618e-30,Downregulated,PcB target,B4GALNT3
30,CDKN2A,379.977106262073,1.9864160865138,0.174284694673491,2.88650187742754e-32,4.85927660882802e-30,Upregulated,PcB target,CDKN2A
31,TRIO,2950.30604186806,1.34226560678492,0.119462774168726,2.77504926600598e-31,4.47860843525328e-29,Upregulated,PcB target,TRIO
32,ARHGAP29,510.923699849386,-2.39999444214321,0.211294244454392,3.46478171829549e-31,5.50083393454263e-29,Downregulated,PcB target,ARHGAP29
33,PCDH1,289.425689217522,-2.43806121110094,0.217817729295207,2.70399912901942e-30,4.00027992359781e-28,Downregulated,PcB target,PCDH1
34,ADAMTS18,135.983619303496,-3.76541383755538,0.337532256436518,2.69991336448381e-29,3.79308691954243e-27,Downregulated,PcB target,ADAMTS18
35,NRN1,384.808163178503,-2.61694367195533,0.240612860725806,1.91883654949814e-28,2.5490503495646e-26,Downregulated,PcB target,NRN1
