,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.33206757500595,0.130567161815052,1.46763314388466e-144,9.55331334459322e-141,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.44239495504726,0.208197769344218,1.47720686637419e-101,3.20521063183946e-98,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.18712052448542,0.373187553511383,8.0829353259775e-84,1.43494146405172e-80,Upregulated,PcB target,SFRP1
4,CCND2,2303.18435034278,1.74589808166575,0.0929502114222595,4.18224632990681e-81,5.83363616645859e-78,Upregulated,PcB target,CCND2
5,ITPKB,1892.84488715906,2.14629183347248,0.119289435513505,1.68270786242784e-74,1.72946942828899e-71,Upregulated,PcB target,ITPKB
6,PCDH1,289.425689217522,5.03654080871423,0.294027840271596,2.25748627146135e-66,1.70591894771187e-63,Upregulated,PcB target,PCDH1
7,RTN1,416.439090520945,3.25415770570735,0.196756588514954,1.95839677439223e-62,1.3658418646547e-59,Upregulated,PcB target,RTN1
8,ADARB2,321.128403819339,-4.65969401384821,0.285997018286785,3.08656494257437e-60,1.94433678059975e-57,Downregulated,PcB target,ADARB2
9,DMRTA2,523.923170832472,7.27079977764609,0.449803968365597,5.60384316367339e-60,3.41974529063169e-57,Upregulated,PcB target,DMRTA2
10,IGSF9B,304.547564036742,3.58160262777269,0.232911374379367,3.84775913912576e-54,1.92664206330379e-51,Upregulated,PcB target,IGSF9B
11,CHST2,258.381846032204,3.65646748941917,0.238500302772337,8.61053866082601e-54,4.20366497421526e-51,Upregulated,PcB target,CHST2
12,RIMS4,1156.42645197058,2.79038768382796,0.184312999435563,3.32428805811848e-53,1.54563564759375e-50,Upregulated,PcB target,RIMS4
13,MAGEA6,347.412354860506,-6.85504053682647,0.452924853237638,8.04698496511363e-53,3.57139823633498e-50,Downregulated,PcB target,MAGEA6
14,RAB29,194.42488404359,3.9717128027515,0.261676045585711,1.18385757873091e-52,5.13741573276829e-50,Upregulated,PcB target,RAB29
15,ANK1,387.022508081908,3.99504333265173,0.265353064685749,7.68921363232074e-52,3.26423834373825e-49,Upregulated,PcB target,ANK1
16,PDLIM3,306.644767021359,6.3559060376027,0.430679801332763,3.28470569808172e-50,1.2577202523949e-47,Upregulated,PcB target,PDLIM3
17,VCAN,872.190900896411,-2.65585846137745,0.184181734992875,1.0373155501298e-48,3.70051468090392e-46,Downregulated,PcB target,VCAN
18,NT5E,285.760101132116,5.93494845106321,0.412854869337629,1.1589058685705e-47,3.83578200024487e-45,Upregulated,PcB target,NT5E
19,CPNE5,227.236273109773,4.36855135073695,0.304023544496038,2.21600273315009e-47,7.21235022882582e-45,Upregulated,PcB target,CPNE5
20,STOM,467.772332509094,2.68535301268557,0.191135756202548,2.21152914487441e-46,6.64411402170883e-44,Upregulated,PcB target,STOM
21,RUNX1,245.637679130731,3.37649530170278,0.244082433162261,1.92563151745474e-44,4.88360159387742e-42,Upregulated,PcB target,RUNX1
22,ARHGAP29,510.923699849386,2.96982683977014,0.218397595426664,2.24271921397354e-43,5.21378819172325e-41,Upregulated,PcB target,ARHGAP29
23,NAB1,362.670122078312,-2.1570928181322,0.163219542914591,5.18018982509729e-42,1.13661513375843e-39,Downregulated,PcB target,NAB1
24,S1PR3,195.331212884121,5.1382324060782,0.382282934584839,8.24072539248721e-42,1.78805428293878e-39,Upregulated,PcB target,S1PR3
25,OTULINL,322.325809307162,-6.04184374504696,0.450942168404254,9.01866036069892e-42,1.9353450497113e-39,Downregulated,PcB target,OTULINL
26,CAVIN1,930.208149203013,4.37359507172605,0.331031009747306,2.0158370921427e-40,3.97628956922854e-38,Upregulated,PcB target,CAVIN1
27,SLIT2,479.803631262113,-3.04800124230226,0.236092056681216,2.50777591218967e-39,4.6199856616264e-37,Downregulated,PcB target,SLIT2
28,CDH11,225.326643648136,-2.89038159623792,0.224395605244863,2.60097175078762e-39,4.74689498592343e-37,Downregulated,PcB target,CDH11
29,ABLIM1,1572.91711703577,-1.70210937911274,0.13801455822324,2.68917533855329e-37,4.48839453087766e-35,Downregulated,PcB target,ABLIM1
30,TNFRSF19,322.494908848589,2.16146699139295,0.175034605882616,3.58340688728745e-37,5.93023471991095e-35,Upregulated,PcB target,TNFRSF19
31,CDH8,376.692191224155,-2.38321871326005,0.193701696639724,1.108489373919e-36,1.75988459299921e-34,Downregulated,PcB target,CDH8
