,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,2.27567985640261,0.172971431170659,3.39099280428726e-43,5.56801018463968e-39,Upregulated,PcB target,CDKN2A
2,FN1,515.274087567928,2.57501520409731,0.302366196858049,4.04733048332177e-21,9.49388093373479e-18,Upregulated,PcB target,FN1
3,IGF2BP1,172.434210051343,1.56179003839388,0.229545535768241,8.09922015356679e-14,3.69414430337685e-11,Upregulated,PcB target,IGF2BP1
4,NEURL1B,550.171515068894,-1.02030892714173,0.142867948621606,1.05948556606907e-13,4.57809289338267e-11,Downregulated,PcB target,NEURL1B
5,DEK,2917.1227538518,-1.02994978804719,0.147846636000501,3.56915416684934e-13,1.27403285694927e-10,Downregulated,PcB target,DEK
6,RPS6KA2,1046.16865006708,0.906075029781914,0.137038526576298,3.10466336660636e-12,8.22235039994782e-10,Upregulated,PcB target,RPS6KA2
7,LIMCH1,132.804607656427,1.99174600845889,0.342012553101874,3.92344061514706e-12,9.91121460010996e-10,Upregulated,PcB target,LIMCH1
8,PFKP,2182.85910931124,-0.666872391121163,0.117675961815306,1.19556648384172e-10,1.92462761418442e-08,Downregulated,PcB target,PFKP
9,RTKN2,251.876878061568,-1.28468442675667,0.231188603511821,9.4858330992298e-10,1.25610789910769e-07,Downregulated,PcB target,RTKN2
10,KIF18B,440.881203277472,-1.11889897521767,0.199158128829215,1.21904816020929e-09,1.55168765818888e-07,Downregulated,PcB target,KIF18B
11,GINS2,462.511018999399,-1.10617842567434,0.199188373566392,1.76293861714747e-09,2.08135035309659e-07,Downregulated,PcB target,GINS2
12,PPP2R2B,60.9357559703838,1.92013118590978,0.404041761952275,1.93549736514328e-09,2.22243823326242e-07,Upregulated,PcB target,PPP2R2B
13,BMP7,88.6681350652595,1.51636127081527,0.301203758705531,4.15017685401595e-09,4.28590590836112e-07,Upregulated,PcB target,BMP7
14,ANLN,565.413775694101,-1.03106135941374,0.194054820328269,6.3663602108215e-09,6.14915498009935e-07,Downregulated,PcB target,ANLN
15,HMGA1,3792.18453255275,-0.764798857992479,0.1529763506929,9.80045333714083e-09,9.195625359763e-07,Downregulated,PcB target,HMGA1
16,RTN1,416.439090520945,0.905576392414856,0.182278096128526,2.53738003395101e-08,2.13660411063977e-06,Upregulated,PcB target,RTN1
17,CCDC184,150.660529064046,1.1492620526181,0.230587905678574,2.67488563571884e-08,2.21826374436885e-06,Upregulated,PcB target,CCDC184
18,CDCA4,337.603041569516,-0.942910465243407,0.19199479498412,3.69248779325013e-08,2.95759266171547e-06,Downregulated,PcB target,CDCA4
19,PRICKLE1,40.1173921176074,2.44422779247316,0.649329893127315,4.53086382002041e-08,3.52591393008223e-06,Upregulated,PcB target,PRICKLE1
20,LBR,2938.66958982616,-0.533089225746324,0.118762343433667,5.68336323428842e-08,4.22266173334913e-06,NS,PcB target,NA
21,DLX1,214.762149217026,1.86041322779303,0.465782509302201,7.27636273551881e-08,5.31012782743195e-06,Upregulated,PcB target,DLX1
22,RBBP7,2544.11593534384,-0.457709152714176,0.100798694911859,9.4181704750034e-08,6.5251628354243e-06,NS,PcB target,NA
23,GJC1,417.442117009069,-0.646105954691848,0.150280252486229,1.3660946531967e-07,8.8480436255013e-06,Downregulated,PcB target,GJC1
