,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-2.90330564635767,0.130167598332248,1.10061038378501e-110,4.29854391491073e-107,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-3.99678501517295,0.201186320420759,3.19865288023885e-88,7.80791168066302e-85,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-6.77691007259325,0.358568939536714,6.50829043615306e-81,1.15539905124724e-77,Downregulated,PcB target,SFRP1
4,ABLIM1,1572.91711703577,2.435616508549,0.139617372123042,2.34387539573309e-69,3.05141324852505e-66,Upregulated,PcB target,ABLIM1
5,MAGEA6,347.412354860506,6.04493307014601,0.375249261284321,2.42188477143398e-59,2.25212218174108e-56,Upregulated,PcB target,MAGEA6
6,ITPKB,1892.84488715906,-1.79331412124461,0.119640154820545,4.88074438686867e-53,3.17703921289238e-50,Downregulated,PcB target,ITPKB
7,DMRTA2,523.923170832472,-8.12134407316805,0.555502544169971,2.01156132715357e-50,1.15534616460749e-47,Downregulated,PcB target,DMRTA2
8,PDLIM3,306.644767021359,-6.3617010906259,0.431144353462332,2.35236539401833e-50,1.30516597280513e-47,Downregulated,PcB target,PDLIM3
9,PCDH1,289.425689217522,-3.81173286496838,0.256442422540898,2.406082293168e-50,1.30516597280513e-47,Downregulated,PcB target,PCDH1
10,NT5E,285.760101132116,-5.32987832527853,0.362296217493703,1.01866392768305e-49,5.23486031047225e-47,Downregulated,PcB target,NT5E
11,ARHGAP29,510.923699849386,-3.15692944907086,0.218120771529423,7.30595023738438e-48,3.39691895799148e-45,Downregulated,PcB target,ARHGAP29
12,RAB29,194.42488404359,-3.85900409037003,0.267136445765249,1.11287214006467e-47,5.05399236074021e-45,Downregulated,PcB target,RAB29
13,HSPA12A,351.116945842277,2.66088720605796,0.191761982896026,1.3102837079475e-44,4.65222186341794e-42,Upregulated,PcB target,HSPA12A
14,ANK1,387.022508081908,-3.48853873121264,0.251321821645436,3.74074680456357e-44,1.28156672981609e-41,Downregulated,PcB target,ANK1
15,CDH8,376.692191224155,2.74713323666419,0.200520058972361,1.97222616114509e-43,6.21187620561957e-41,Upregulated,PcB target,CDH8
16,CCND2,2303.18435034278,-1.25339157325406,0.0936747435857559,1.0981446763049e-42,3.29916449828955e-40,Downregulated,PcB target,CCND2
17,RIMS4,1156.42645197058,-2.48195765687814,0.184679254781086,2.49336520552053e-42,7.16035819608897e-40,Downregulated,PcB target,RIMS4
18,LINC01694,235.092491066917,4.22373653295026,0.313475297970826,7.92406817669607e-42,2.24262613557276e-39,Upregulated,PcB target,LINC01694
19,STOM,467.772332509094,-2.5009203429167,0.190295667485578,1.42195580732291e-40,3.65367802702656e-38,Downregulated,PcB target,STOM
20,LIMS2,165.073826839643,4.74464096084597,0.359335407112656,2.238542359907e-40,5.67717600055376e-38,Upregulated,PcB target,LIMS2
21,SLIT2,479.803631262113,3.22643171258077,0.244969033452027,5.39239341876759e-40,1.33294504660372e-37,Upregulated,PcB target,SLIT2
22,OTULINL,322.325809307162,5.92609853406105,0.453388282863111,5.75128540895737e-40,1.40388876832649e-37,Upregulated,PcB target,OTULINL
23,S1PR3,195.331212884121,-4.37465201208728,0.344008950753984,1.57125303338681e-37,3.5268309466641e-35,Downregulated,PcB target,S1PR3
24,CAVIN1,930.208149203013,-4.1366457879506,0.326950037807501,4.01682515085493e-37,8.81354624111181e-35,Downregulated,PcB target,CAVIN1
25,EFHD1,280.360428941105,-2.67840024402055,0.214354390603837,1.17303464871522e-36,2.4631204967861e-34,Downregulated,PcB target,EFHD1
26,ADARB2,321.128403819339,6.95201191684751,0.56205529021374,1.70434064938695e-36,3.54067704268387e-34,Upregulated,PcB target,ADARB2
27,VCAN,872.190900896411,2.28277221005821,0.185311364528941,1.84965878954877e-36,3.72372544766065e-34,Upregulated,PcB target,VCAN
28,CDH11,225.326643648136,2.92349089963157,0.236441128681865,1.14540146207121e-35,2.19288232856143e-33,Upregulated,PcB target,CDH11
29,RPS6KA2,1046.16865006708,1.6370176147712,0.136854538033493,3.66235084870013e-35,6.74701767673737e-33,Upregulated,PcB target,RPS6KA2
30,TNFRSF19,322.494908848589,-2.068294883589,0.175397904348151,4.24694102557476e-34,7.60864810526825e-32,Downregulated,PcB target,TNFRSF19
31,ADIPOR2,954.196467440826,-1.22401985877488,0.103974238157494,7.92419392602579e-34,1.3694129113932e-31,Downregulated,PcB target,ADIPOR2
32,HEY2,169.870931782184,-3.17905399814407,0.26422075387872,9.44251870507307e-34,1.61748688835673e-31,Downregulated,PcB target,HEY2
33,CHST2,258.381846032204,-2.79829304861865,0.236387151348772,5.1193964227784e-33,8.61823908138073e-31,Downregulated,PcB target,CHST2
34,ADAMTS18,135.983619303496,-4.44454738479762,0.383910979352136,1.69904552775472e-31,2.65431688527953e-29,Downregulated,PcB target,ADAMTS18
35,TFAP2A,178.533274896873,-6.16560870587822,0.537456545978493,1.73900046147623e-31,2.69517468346887e-29,Downregulated,PcB target,TFAP2A
36,COL2A1,746.998205582823,-8.10113626310797,0.722389413644408,3.10234116106206e-31,4.7330092338453e-29,Downregulated,PcB target,COL2A1
37,RUNX1,245.637679130731,-2.65617510345471,0.232711113401148,4.57165918029476e-31,6.81491301319054e-29,Downregulated,PcB target,RUNX1
38,B4GALNT3,129.357889866741,-5.71957169443559,0.508351343583046,3.13542850521107e-30,4.46924436859575e-28,Downregulated,PcB target,B4GALNT3
39,MAML3,141.85463475103,-3.77701344067903,0.333165274893762,3.61160021842365e-30,5.11067601923022e-28,Downregulated,PcB target,MAML3
40,IGSF9B,304.547564036742,-2.58748308174677,0.234341426981429,2.33301711612147e-29,3.09926246555238e-27,Downregulated,PcB target,IGSF9B
41,SEZ6,268.453434835007,-5.20470833761467,0.472633299237393,6.63674554185018e-29,8.30784403469554e-27,Downregulated,PcB target,SEZ6
42,TRIO,2950.30604186806,1.28148616654863,0.119568762573251,1.08338867494757e-28,1.31406298412274e-26,Upregulated,PcB target,TRIO
43,WLS,2402.79526408905,1.2425329651667,0.118468467417406,1.36062552257035e-27,1.50967586390646e-25,Upregulated,PcB target,WLS
44,PDIA6,4504.63128346121,-1.02426393636521,0.0974374301442133,2.01863343584372e-27,2.18999298528646e-25,Downregulated,PcB target,PDIA6
45,DYRK3,344.726450627635,-1.60616546804297,0.156966423597999,9.60447267711685e-27,1.00836635719751e-24,Downregulated,PcB target,DYRK3
46,FZD8,93.2919523948358,-4.71308542988067,0.448183224540015,1.96523405196401e-26,2.01984687193438e-24,Downregulated,PcB target,FZD8
47,RTN1,416.439090520945,-2.02729776109162,0.201817594786489,8.27988422929064e-26,8.16614036513068e-24,Downregulated,PcB target,RTN1
48,ADORA1,357.25339154604,-2.01132967091454,0.200515494808585,9.14500874111862e-26,8.92918653482822e-24,Downregulated,PcB target,ADORA1
49,EBF3,491.135937789852,1.46863481486203,0.148659491088291,4.46090484433696e-25,3.99598852294551e-23,Upregulated,PcB target,EBF3
50,APOL4,221.939530706198,-2.52884985307089,0.253084145061028,1.15969211715663e-24,1.0110030207069e-22,Downregulated,PcB target,APOL4
51,UCHL1,2791.48952967239,1.05625208612405,0.107208043889148,1.57064143633129e-24,1.34524061266129e-22,Upregulated,PcB target,UCHL1
52,PERP,119.26005849147,4.02043940871057,0.397153078693964,1.65613896010509e-24,1.41227430624158e-22,Upregulated,PcB target,PERP
53,CPNE5,227.236273109773,-3.12123517063806,0.309204315279063,1.95603617741427e-24,1.65357032348683e-22,Downregulated,PcB target,CPNE5
54,RGS12,1304.72421358952,0.915169841245004,0.0937624546820207,7.49347239633568e-24,5.99723479326407e-22,Upregulated,PcB target,RGS12
55,ERRFI1,775.086956183499,-1.61198348741689,0.170769586461564,2.50122864507446e-23,1.91545070513781e-21,Downregulated,PcB target,ERRFI1
56,DLX6-AS1,204.253568650346,6.6881695666484,0.694214383830164,3.14643697390613e-23,2.38153570645112e-21,Upregulated,PcB target,DLX6-AS1
57,EYA2,123.035446931709,3.70016800167504,0.380447711149301,9.61337468295085e-23,7.00485003017404e-21,Upregulated,PcB target,EYA2
58,NAB1,362.670122078312,1.53457427637097,0.165516736439942,1.39301972130502e-22,1.00751441176461e-20,Upregulated,PcB target,NAB1
59,SLC1A2,345.139884338639,-7.12672432705274,0.757168182903226,1.59605271806076e-22,1.14587196611362e-20,Downregulated,PcB target,SLC1A2
