,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-2.90926159141729,0.130144219078861,-22.3541361422624,1.10061038378501e-110,4.29854391491073e-107,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-4.01472067651891,0.201622533582223,-19.9120634246056,3.19865288023885e-88,7.80791168066302e-85,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-6.87070193189564,0.360657382081759,-19.0504957703544,6.50829043615306e-81,1.15539905124724e-77,Downregulated,PcB target,SFRP1
4,ABLIM1,1572.91711703577,2.44453179871379,0.138871655853723,17.6028130699952,2.34387539573309e-69,3.05141324852505e-66,Upregulated,PcB target,ABLIM1
5,MAGEA6,347.412354860506,6.13807363444864,0.377842967401701,16.2450387171637,2.42188477143398e-59,2.25212218174108e-56,Upregulated,PcB target,MAGEA6
6,ITPKB,1892.84488715906,-1.81073326447782,0.118123260006182,-15.3291846532431,4.88074438686867e-53,3.17703921289238e-50,Downregulated,PcB target,ITPKB
7,DMRTA2,523.923170832472,-8.38160650409037,0.561282578281265,-14.9329532545909,2.01156132715357e-50,1.15534616460749e-47,Downregulated,PcB target,DMRTA2
8,PDLIM3,306.644767021359,-6.49083276709495,0.434969085076,-14.9225151621082,2.35236539401833e-50,1.30516597280513e-47,Downregulated,PcB target,PDLIM3
9,PCDH1,289.425689217522,-3.83965443377148,0.257332094572038,-14.9210087461383,2.406082293168e-50,1.30516597280513e-47,Downregulated,PcB target,PCDH1
10,NT5E,285.760101132116,-5.40718587118951,0.364748732401872,-14.8244130571288,1.01866392768305e-49,5.23486031047225e-47,Downregulated,PcB target,NT5E
11,ARHGAP29,510.923699849386,-3.17421170428895,0.21838890202204,-14.5346749532566,7.30595023738438e-48,3.39691895799148e-45,Downregulated,PcB target,ARHGAP29
12,RAB29,194.42488404359,-3.88968158347286,0.268146134797557,-14.5058275272529,1.11287214006467e-47,5.05399236074021e-45,Downregulated,PcB target,RAB29
13,HSPA12A,351.116945842277,2.67504734752878,0.190906632192573,14.0123332374874,1.3102837079475e-44,4.65222186341794e-42,Upregulated,PcB target,HSPA12A
14,ANK1,387.022508081908,-3.51325688827809,0.252069599022287,-13.9376461973404,3.74074680456357e-44,1.28156672981609e-41,Downregulated,PcB target,ANK1
15,CDH8,376.692191224155,2.76203988658626,0.199880326158551,13.8184679786611,1.97222616114509e-43,6.21187620561957e-41,Upregulated,PcB target,CDH8
16,CCND2,2303.18435034278,-1.27266469125076,0.0929339030887988,-13.694299377857,1.0981446763049e-42,3.29916449828955e-40,Downregulated,PcB target,CCND2
17,RIMS4,1156.42645197058,-2.49708568651081,0.183143233647783,-13.6346052036689,2.49336520552053e-42,7.16035819608897e-40,Downregulated,PcB target,RIMS4
18,LINC01694,235.092491066917,4.26995382039175,0.315125970308417,13.5499902347392,7.92406817669607e-42,2.24262613557276e-39,Upregulated,PcB target,LINC01694
19,STOM,467.772332509094,-2.51672150690137,0.188710969117443,-13.3363816564108,1.42195580732291e-40,3.65367802702656e-38,Downregulated,PcB target,STOM
20,LIMS2,165.073826839643,4.81276626811921,0.361794100865265,13.3025006671171,2.238542359907e-40,5.67717600055376e-38,Upregulated,PcB target,LIMS2
21,SLIT2,479.803631262113,3.24857929442636,0.245423692792819,13.2366164711275,5.39239341876759e-40,1.33294504660372e-37,Upregulated,PcB target,SLIT2
22,OTULINL,322.325809307162,6.06047644945206,0.4580244468628,13.2317750525388,5.75128540895737e-40,1.40388876832649e-37,Upregulated,PcB target,OTULINL
23,S1PR3,195.331212884121,-4.43234920028529,0.346187976636523,-12.8033019614052,1.57125303338681e-37,3.5268309466641e-35,Downregulated,PcB target,S1PR3
24,CAVIN1,930.208149203013,-4.18596723744171,0.328821163727948,-12.7302245086177,4.01682515085493e-37,8.81354624111181e-35,Downregulated,PcB target,CAVIN1
25,EFHD1,280.360428941105,-2.69610576900634,0.213193640655977,-12.6462766933886,1.17303464871522e-36,2.4631204967861e-34,Downregulated,PcB target,EFHD1
26,ADARB2,321.128403819339,7.19088034543547,0.569941101790454,12.6168832583674,1.70434064938695e-36,3.54067704268387e-34,Upregulated,PcB target,ADARB2
27,VCAN,872.190900896411,2.30231081452304,0.182571858302814,12.6104364381526,1.84965878954877e-36,3.72372544766065e-34,Upregulated,PcB target,VCAN
28,CDH11,225.326643648136,2.94366118431674,0.236136670960798,12.4659214188949,1.14540146207121e-35,2.19288232856143e-33,Upregulated,PcB target,CDH11
29,RPS6KA2,1046.16865006708,1.66482088461185,0.134553537050278,12.3729254622995,3.66235084870013e-35,6.74701767673737e-33,Upregulated,PcB target,RPS6KA2
30,TNFRSF19,322.494908848589,-2.09253692743396,0.171877871398615,-12.1745569130363,4.24694102557476e-34,7.60864810526825e-32,Downregulated,PcB target,TNFRSF19
