,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,EGFLAM,137.923720160837,-1.55832630334548,0.343896332668202,-4.53138389483491,5.85985402729037e-06,0.0345555591989313,Downregulated,PcB target,EGFLAM
2,AMOTL2,192.757592881041,1.16649828809873,0.264962306847698,4.40250653754022,1.0700736446174e-05,0.0401559727056016,Upregulated,PcB target,AMOTL2
3,CCDC38,50.5604634694427,1.92132261354816,0.432959100561722,4.4376538362525,9.09447215768713e-06,0.0401559727056016,Upregulated,PcB target,CCDC38
4,ZBTB21,297.844373912731,0.670166869503745,0.173174093584164,3.86990256818083,0.000108878857372512,0.104156856115554,Upregulated,PcB target,ZBTB21
5,HILPDA,108.317631298724,-0.979682024714954,0.258318017139437,-3.79254236914545,0.000149112799003146,0.120690730000997,Downregulated,PcB target,HILPDA
6,OSR2,81.9987502877867,-2.80268335725898,0.744412283063343,-3.76496119290995,0.000166574950763104,0.123160004365941,Downregulated,PcB target,OSR2
7,GSN,996.987558813967,-0.434470691795947,0.115573551047496,-3.75925709522758,0.000170418645060065,0.123415986832183,NS,PcB target,NA
8,NEURL1B,550.171515068894,-0.520686505938762,0.139579493902963,-3.73039399541561,0.000191180568677804,0.128392558718413,NS,PcB target,NA
9,BACH2,734.457420744197,0.550565996370432,0.150395452847818,3.66078884663845,0.000251439915359501,0.154913257703356,NS,PcB target,NA
10,ADGRA2,362.957176583794,-0.572888312965251,0.16184793369049,-3.53967023181659,0.000400627296829419,0.206050793525764,NS,PcB target,NA
11,SUCO,1828.86996275718,0.395795684428584,0.113380997098033,3.49084674291907,0.000481492365653716,0.22845429151517,NS,PcB target,NA
12,PIM1,292.184512714227,0.679088927315827,0.194960304936109,3.48321637852575,0.000495427761225594,0.229572014995179,Upregulated,PcB target,PIM1
13,PDE10A,653.969540008652,0.407297673409039,0.117023713763944,3.48047126782034,0.000500532506833163,0.229572014995179,NS,PcB target,NA
14,C2CD4A,52.9447319282275,-1.38748436691258,0.406720743092594,-3.41139317449739,0.000646318212405261,0.272238464182416,Downregulated,PcB target,C2CD4A
