,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,2.86371803432744,0.131062891337217,1.64267762182644e-106,6.41564171980535e-103,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.42965452999426,0.207973606537034,4.30206948122477e-101,1.05013516036697e-97,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,6.91182868703202,0.37335391744222,1.43668033012293e-77,2.33795779055338e-74,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.06676977253039,0.119421219549441,3.52667428002122e-69,4.30430595876589e-66,Upregulated,PcB target,ITPKB
5,MAGEA6,347.412354860506,-6.42758358995828,0.374757275087081,7.51915494366721e-67,8.63729751411372e-64,Downregulated,PcB target,MAGEA6
6,DMRTA2,523.923170832472,7.43800332266736,0.449678412894729,1.10088807803168e-62,9.34701842947945e-60,Upregulated,PcB target,DMRTA2
7,ANK1,387.022508081908,4.34262814722086,0.263865500154699,2.83256866120027e-61,2.12747695445842e-58,Upregulated,PcB target,ANK1
8,ABLIM1,1572.91711703577,-2.1508690065571,0.138672049504398,3.18030177787324e-56,2.00338493930028e-53,Downregulated,PcB target,ABLIM1
9,PCDH1,289.425689217522,4.58418745878361,0.294678181101532,4.94590364386982e-55,2.92677595022697e-52,Upregulated,PcB target,PCDH1
10,PDLIM3,306.644767021359,6.45285901465381,0.430454606627544,1.00324827593494e-51,5.1556400874888e-49,Upregulated,PcB target,PDLIM3
11,NT5E,285.760101132116,6.15189665866389,0.412347872652757,3.5814763739435e-51,1.7058309909846e-48,Upregulated,PcB target,NT5E
12,CCND2,2303.18435034278,1.36380747818191,0.0932074446556308,2.04199193551263e-50,9.27349267830013e-48,Upregulated,PcB target,CCND2
13,RAB29,194.42488404359,3.79573369501252,0.2613159576663,3.77966285567717e-48,1.3668380786234e-45,Upregulated,PcB target,RAB29
14,ARHGAP29,510.923699849386,3.1367180720303,0.216333316594729,4.06025998743855e-48,1.44161376426727e-45,Upregulated,PcB target,ARHGAP29
15,CDH8,376.692191224155,-2.82909656522988,0.196528162753005,9.27582654698189e-48,3.0701413696519e-45,Downregulated,PcB target,CDH8
16,CDH11,225.326643648136,-3.26442399131695,0.229038343755666,1.66037175908552e-46,5.14662535101936e-44,Downregulated,PcB target,CDH11
17,VCAN,872.190900896411,-2.5663752900958,0.182205807805002,2.93019742854642e-46,8.94076490385227e-44,Downregulated,PcB target,VCAN
18,RIMS4,1156.42645197058,2.56907372718538,0.184593186058345,3.11664141784374e-45,9.36334978579269e-43,Upregulated,PcB target,RIMS4
19,LINC01694,235.092491066917,-4.96426649025905,0.35848978164927,3.74635111548583e-44,1.06027166062619e-41,Downregulated,PcB target,LINC01694
20,STOM,467.772332509094,2.61284099167075,0.190702106202931,7.49237870569682e-44,2.06072072344856e-41,Upregulated,PcB target,STOM
21,RUNX1,245.637679130731,3.27347161594114,0.242975740951593,8.66919407493111e-42,2.19859768695136e-39,Upregulated,PcB target,RUNX1
22,CHST2,258.381846032204,3.20880138938227,0.239182160738127,1.73815204768139e-41,4.24282914839027e-39,Upregulated,PcB target,CHST2
23,SLIT2,479.803631262113,-3.09394899295645,0.232985314124919,9.12642421066283e-41,2.17342453641248e-38,Downregulated,PcB target,SLIT2
24,S1PR3,195.331212884121,5.05962395473147,0.382082342800167,1.35600706018885e-40,3.19037420136962e-38,Upregulated,PcB target,S1PR3
25,OTULINL,322.325809307162,-7.10477958589395,0.541853754144204,2.06119776912105e-40,4.79179405183283e-38,Downregulated,PcB target,OTULINL
26,CAVIN1,930.208149203013,4.37011995626322,0.330500915415619,2.43910829861886e-40,5.60363610063871e-38,Upregulated,PcB target,CAVIN1
27,IGSF9B,304.547564036742,3.02849530184389,0.234193581396219,7.8408836274876e-39,1.70129750530642e-36,Upregulated,PcB target,IGSF9B
28,NAB1,362.670122078312,-1.98918035370881,0.159519911320495,7.88754767786436e-38,1.65621538767027e-35,Downregulated,PcB target,NAB1
29,ADARB2,321.128403819339,-7.09096853569749,0.562085875091084,1.27628237314651e-37,2.65140874285159e-35,Downregulated,PcB target,ADARB2
30,HSPA12A,351.116945842277,-2.30029147074294,0.185359520508435,4.30094430250643e-37,8.57028983054546e-35,Downregulated,PcB target,HSPA12A
31,LIMS2,165.073826839643,-4.5917162551908,0.364864986037208,8.72130999504853e-37,1.72030042003341e-34,Downregulated,PcB target,LIMS2
32,EFHD1,280.360428941105,2.60836324318422,0.215446991703038,6.72209258682671e-35,1.12195747038933e-32,Upregulated,PcB target,EFHD1
33,TNFRSF19,322.494908848589,2.07106653064964,0.17539150528938,3.01679294292876e-34,4.82884693356663e-32,Upregulated,PcB target,TNFRSF19
34,SEZ6,268.453434835007,5.74220710224998,0.499961441535325,2.85092804505828e-31,3.73643777610054e-29,Upregulated,PcB target,SEZ6
35,MAML3,141.85463475103,3.77651936475153,0.331801093968312,2.24392335238038e-30,2.79104046020918e-28,Upregulated,PcB target,MAML3
36,ADAMTS18,135.983619303496,5.822927416608,0.51653500429842,3.08616996712892e-30,3.79036019610652e-28,Upregulated,PcB target,ADAMTS18
37,UACA,213.544216303648,-3.06452641723381,0.272813822299921,7.28084421462949e-30,8.72271937566164e-28,Downregulated,PcB target,UACA
38,B4GALNT3,129.357889866741,5.65460994715843,0.50729111510823,1.42378482507227e-29,1.69534573561045e-27,Upregulated,PcB target,B4GALNT3
39,TFAP2A,178.533274896873,6.50498624642002,0.591093242341866,3.97287023606063e-29,4.59066331182201e-27,Upregulated,PcB target,TFAP2A
40,ADIPOR2,954.196467440826,1.11066971160961,0.102423579607599,4.19165948441057e-29,4.78682610593974e-27,Upregulated,PcB target,ADIPOR2
41,RTN1,416.439090520945,2.16995484198191,0.203250733997832,1.47500090588267e-28,1.61857826925296e-26,Upregulated,PcB target,RTN1
42,HEY2,169.870931782184,2.80490505651309,0.261694842845598,1.08378390678162e-27,1.1139016911385e-25,Upregulated,PcB target,HEY2
43,EYA2,123.035446931709,-4.22148818225736,0.390464676633004,1.18955925906077e-27,1.21621535135805e-25,Downregulated,PcB target,EYA2
44,SVIL,2068.66232610493,1.3550407575067,0.129718313138585,1.73136227643103e-27,1.73384833508436e-25,Upregulated,PcB target,SVIL
45,WLS,2402.79526408905,-1.21690346847446,0.117015786660179,3.66312094203035e-27,3.63113836324714e-25,Downregulated,PcB target,WLS
46,FZD8,93.2919523948358,5.1583455239753,0.486901477795419,8.01809687622212e-27,7.75135622766661e-25,Upregulated,PcB target,FZD8
47,NR5A1,249.484318186944,-7.54089185730621,0.724591653676032,1.11762778371474e-26,1.0698546745285e-24,Downregulated,PcB target,NR5A1
48,RPS6KA2,1046.16865006708,-1.37106863121878,0.134211011914486,1.85524538399849e-26,1.74178999320782e-24,Downregulated,PcB target,RPS6KA2
49,APOL4,221.939530706198,2.635842965706,0.254045115938853,2.23031564215495e-26,2.06415184170625e-24,Upregulated,PcB target,APOL4
50,PERP,119.26005849147,-3.33488702029821,0.319230828320422,5.45363002801003e-26,4.88525170582477e-24,Downregulated,PcB target,PERP
51,GJC1,417.442117009069,1.40190602769992,0.139265856452117,8.13621569745037e-26,7.15693784413562e-24,Upregulated,PcB target,GJC1
52,THBS4,353.323229409008,-2.12762500055823,0.211886219860979,9.86306590622899e-26,8.56026448963732e-24,Downregulated,PcB target,THBS4
53,SLC1A2,345.139884338639,7.23689529793069,0.724008062459607,9.80797886244115e-25,7.69197635444782e-23,Upregulated,PcB target,SLC1A2
54,RAB6A,1920.40650744812,-0.786402130186253,0.0788581282041533,1.71989640237312e-24,1.33278321212469e-22,Downregulated,PcB target,RAB6A
55,CPNE5,227.236273109773,3.09444529013576,0.308609417667178,2.91937252886022e-24,2.22693385717119e-22,Upregulated,PcB target,CPNE5
56,ADAR,6256.2861113238,0.699825032203587,0.0707219828774401,5.6792229432733e-24,4.18505153344306e-22,Upregulated,PcB target,ADAR
57,ITGA5,300.480394222498,2.55897477721183,0.261992337305271,7.64092963530388e-24,5.5884671879481e-22,Upregulated,PcB target,ITGA5
58,FRMD4A,1471.87538872551,1.21438622639645,0.126828651100183,1.49959717823757e-23,1.07662256237586e-21,Upregulated,PcB target,FRMD4A
59,JAZF1,111.302726122733,-2.4903093791258,0.260058143126555,3.71167952832586e-23,2.60202498142949e-21,Downregulated,PcB target,JAZF1
60,EGFLAM,137.923720160837,-2.67240188804995,0.278622335258055,6.49253498601021e-23,4.46430363404252e-21,Downregulated,PcB target,EGFLAM
61,ANKS1B,394.744794598237,2.07607382310875,0.223595827608001,1.39126874710686e-22,9.30434797722696e-21,Upregulated,PcB target,ANKS1B
