,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,2.86968565178377,0.130911087602459,21.9208754914498,1.64267762182644e-106,6.41564171980535e-103,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.44888431490549,0.208423500081644,21.3454064112865,4.30206948122477e-101,1.05013516036697e-97,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.00946268182804,0.375981601823464,18.6431002150983,1.43668033012293e-77,2.33795779055338e-74,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.07916773072286,0.11827119522284,17.5796627979062,3.52667428002122e-69,4.30430595876589e-66,Upregulated,PcB target,ITPKB
5,MAGEA6,347.412354860506,-6.51907087803692,0.377414913439986,-17.2729551639022,7.51915494366721e-67,8.63729751411372e-64,Downregulated,PcB target,MAGEA6
6,DMRTA2,523.923170832472,7.59139455957681,0.45429152778701,16.7104031117568,1.10088807803168e-62,9.34701842947945e-60,Upregulated,PcB target,DMRTA2
7,ANK1,387.022508081908,4.37305822824905,0.264783244476695,16.5156153928537,2.83256866120027e-61,2.12747695445842e-58,Upregulated,PcB target,ANK1
8,ABLIM1,1572.91711703577,-2.16555314994347,0.137072346707585,-15.7986143956755,3.18030177787324e-56,2.00338493930028e-53,Downregulated,PcB target,ABLIM1
9,PCDH1,289.425689217522,4.62431480669127,0.295962680109286,15.6246551253817,4.94590364386982e-55,2.92677595022697e-52,Upregulated,PcB target,PCDH1
10,PDLIM3,306.644767021359,6.57458918995955,0.434495799243317,15.1315368328286,1.00324827593494e-51,5.1556400874888e-49,Upregulated,PcB target,PDLIM3
11,NT5E,285.760101132116,6.25822613520305,0.415896118250769,15.0475704402453,3.5814763739435e-51,1.7058309909846e-48,Upregulated,PcB target,NT5E
12,CCND2,2303.18435034278,1.38121432200411,0.0925005855233107,14.931952205384,2.04199193551263e-50,9.27349267830013e-48,Upregulated,PcB target,CCND2
13,RAB29,194.42488404359,3.82191169680487,0.262138577721352,14.579737671681,3.77966285567717e-48,1.3668380786234e-45,Upregulated,PcB target,RAB29
14,ARHGAP29,510.923699849386,3.15260376759552,0.216304402783491,14.5748478857876,4.06025998743855e-48,1.44161376426727e-45,Upregulated,PcB target,ARHGAP29
15,CDH8,376.692191224155,-2.84300549330431,0.195821958421795,-14.5183181509224,9.27582654698189e-48,3.0701413696519e-45,Downregulated,PcB target,CDH8
16,CDH11,225.326643648136,-3.28241050296848,0.229231509385576,-14.3191942144714,1.66037175908552e-46,5.14662535101936e-44,Downregulated,PcB target,CDH11
17,VCAN,872.190900896411,-2.58090786330633,0.180740124569499,-14.2796618595552,2.93019742854642e-46,8.94076490385227e-44,Downregulated,PcB target,VCAN
18,RIMS4,1156.42645197058,2.58396232409049,0.18307872958678,14.1139406523229,3.11664141784374e-45,9.36334978579269e-43,Upregulated,PcB target,RIMS4
19,LINC01694,235.092491066917,-5.02884683026585,0.36081310416824,-13.9375393303925,3.74635111548583e-44,1.06027166062619e-41,Downregulated,PcB target,LINC01694
20,STOM,467.772332509094,2.62809113999373,0.189235014610534,13.8879749363648,7.49237870569682e-44,2.06072072344856e-41,Upregulated,PcB target,STOM
21,RUNX1,245.637679130731,3.29378513725107,0.243202384276522,13.5433916367614,8.66919407493111e-42,2.19859768695136e-39,Upregulated,PcB target,RUNX1
