,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,FAM41C,0.333851606623279,1.33642078098121e-06,0.00630381532718791,0.791616007577135,1,NS,PcB target,NA
2,SAMD11,220.364239828292,-0.000133023038803083,0.00630050466349625,0.514829878666458,1,NS,PcB target,NA
3,KLHL17,143.178068955403,-8.30299567419673e-06,0.00630199382287636,0.956314121311208,1,NS,PcB target,NA
4,PLEKHN1,3.58383385891865,3.56548534917599e-05,0.00630373112034787,0.279543290442105,1,NS,PcB target,NA
5,PERM1,1.30166532806867,-4.18447855659903e-06,0.00630379113706293,0.817973460586263,1,NS,PcB target,NA
6,ISG15,333.044441017627,0.000394383511636279,0.00629965917744587,0.0847284225703841,1,NS,PcB target,NA
7,LOC100288175,7.01654206495136,4.1711235953903e-05,0.0063037001972393,0.277779675056205,1,NS,PcB target,NA
8,RNF223,0.69742677017827,0,0.00630381149757331,1,1,NS,PcB target,NA
9,C1orf159,251.55151644887,7.11735996902767e-05,0.00630077666378952,0.716060484535752,1,NS,PcB target,NA
10,TTLL10,1.7392998072335,-1.63562273926465e-05,0.00630378127514684,0.443152124330783,1,NS,PcB target,NA
11,TNFRSF18,1.10661894956092,4.49514610746341e-06,0.00630380062953057,0.756909041940473,1,NS,PcB target,NA
12,SDF4,2238.90482123054,-2.97923981632087e-05,0.00629418073341469,0.931755733112809,1,NS,PcB target,NA
13,C1QTNF12,5.50784954289656,-1.31676230080652e-05,0.00630372857582969,0.693887117282241,1,NS,PcB target,NA
14,ATAD3C,3.07156791395054,-1.53843604742516e-05,0.00630376279163957,0.557500679848716,1,NS,PcB target,NA
15,ATAD3B,479.693478662751,0.000147824322577601,0.00629813261034329,0.580404490976861,1,NS,PcB target,NA
16,SSU72,1382.73618079939,0.000297691055123132,0.00629302542043511,0.418642793242893,1,NS,PcB target,NA
17,CFAP74,3.05871444114949,1.02817585931457e-05,0.00630377141668461,0.669213062369967,1,NS,PcB target,NA
18,GABRD,0.623626824868811,3.26243234201434e-06,0.0063038137800867,0.627073646186482,1,NS,PcB target,NA
19,MEGF6,136.135748727977,4.79000284320907e-05,0.0063030340231226,0.629753848987405,1,NS,PcB target,NA
20,TP73,83.2730767526953,6.07972432497244e-05,0.00630236350277422,0.653293213176492,1,NS,PcB target,NA
21,HES3,2.89081224459832,-7.65787867225214e-06,0.00630374518839883,0.799589710425341,1,NS,PcB target,NA
22,LINC01672,0.0865049811293523,0,0.00630381604816111,1,1,NS,PcB target,NA
23,CAMTA1,545.811423009138,3.73111730790256e-05,0.0062961720409125,0.90419776523814,1,NS,PcB target,NA
24,VAMP3,532.668075669498,-5.39409253657942e-05,0.00629645541863412,0.859262778399673,1,NS,PcB target,NA
25,TNFRSF9,2.29990965130406,-1.52745792659297e-05,0.00630378975806474,0.412863009529813,1,NS,PcB target,NA
26,PARK7,3437.56866646589,-0.000274315246636301,0.00628998259824453,0.510134919488012,1,NS,PcB target,NA
27,ERRFI1,775.086956183499,-0.000204433961197426,0.00629899286315645,0.406703121223612,1,NS,PcB target,NA
28,SLC45A1,9.77412592895216,4.39841251974615e-05,0.00630361797037213,0.380322902981848,1,NS,PcB target,NA
29,MIR34AHG,1.82496053232603,-1.11796301701382e-05,0.00630378626962493,0.572271566330155,1,NS,PcB target,NA
30,H6PD,486.763757611383,-0.000126024433034513,0.00629879156780866,0.616264699207517,1,NS,PcB target,NA
31,PIK3CD,84.4246731214277,-9.94969181546315e-05,0.0063023907670479,0.45802286434862,1,NS,PcB target,NA
32,CASZ1,31.9043975399408,1.64770535471887e-05,0.00630325292529166,0.845121620555268,1,NS,PcB target,NA
33,C1orf127,1.92997407659036,2.98182475368107e-06,0.00630378866859802,0.875410316125286,1,NS,PcB target,NA
34,DRAXIN,367.41153129123,0.000215119569977589,0.0063015602442392,0.202027947766042,1,NS,PcB target,NA
35,C1orf167,105.654022763756,0.000112284748284836,0.00630180671825391,0.480485842073436,1,NS,PcB target,NA
36,TNFRSF8,4.1014586515077,-1.34852734633482e-05,0.00630375248742488,0.637246486209772,1,NS,PcB target,NA
37,DHRS3,1.2449355071449,-2.28104353822801e-05,0.0063038003406165,0.119383207897683,1,NS,PcB target,NA
38,TMEM51,197.869054642941,-0.000151345942709851,0.00630102615387995,0.419532466007731,1,NS,PcB target,NA
39,FHAD1,108.681890436955,-0.000208754175182889,0.0063023269706717,0.127673205555215,1,NS,PcB target,NA
40,EFHD2,541.989677061856,-0.000189762941929676,0.00629876442973518,0.451696377460077,1,NS,PcB target,NA
41,CLCNKA,0.209252241490355,4.18677194029355e-07,0.0063038160459006,0.91796432226655,1,NS,PcB target,NA
42,CLCNKB,0.543400593910495,0,0.00630381260124789,1,1,NS,PcB target,NA
43,LINC01783,3.73200376495436,1.71251134008733e-05,0.00630378423407161,0.402014998419064,1,NS,PcB target,NA
44,NBPF1,222.692584371358,6.70831649439975e-06,0.00630117685232291,0.970655760002328,1,NS,PcB target,NA
