,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,1.01367550592286,0.159875885525448,8.94004980603493e-11,6.29826508835161e-07,Upregulated,PcB target,CDKN2A
2,PCDH1,289.425689217522,1.54091751458044,0.343670638531877,1.05700727760738e-07,0.000496441084716269,Upregulated,PcB target,PCDH1
3,PDLIM3,306.644767021359,1.67340617881723,0.746273887287596,1.80889777983267e-06,0.00509747394356846,Upregulated,PcB target,PDLIM3
4,LMO1,98.3782640463416,1.09874455790483,0.624807561081016,5.19645338644523e-06,0.00915225352687666,Upregulated,PcB target,LMO1
5,ADAMTS18,135.983619303496,1.44465793615975,1.01954416068598,5.12419343006835e-06,0.00915225352687666,Upregulated,PcB target,ADAMTS18
6,RTN1,416.439090520945,0.518034057134681,0.401778278145934,9.05642991115071e-06,0.0107020141327204,NS,PcB target,NA
7,FOXC1,543.449890644758,0.276866337453005,0.202535493462045,1.11322909155722e-05,0.0120656906923394,NS,PcB target,NA
8,EYA4,799.790347207316,0.530778293145595,0.438547016326211,1.22956443668776e-05,0.0123746877949504,NS,PcB target,NA
9,DMRTA2,523.923170832472,0.776803626711705,0.896703769504551,2.67274275227709e-05,0.0244591336989307,Upregulated,PcB target,DMRTA2
10,SESN2,444.293757880889,0.156863721789218,0.176220053048591,0.000193268347242559,0.100857444912876,NS,PcB target,NA
11,NFIL3,163.596378252099,0.160345965501892,0.189486661701515,0.000184612230000046,0.100857444912876,NS,PcB target,NA
12,ACTC1,46.7250491077079,0.112810846597381,0.475449984285404,0.000215192488573706,0.108287934428697,NS,PcB target,NA
13,RGS12,1304.72421358952,0.151405441794407,0.0774808788106216,0.000359383531281344,0.129415776955191,NS,PcB target,NA
14,DLX5,86.7776791109418,-0.147812343086894,0.252213417892437,0.00032406234754897,0.129415776955191,NS,PcB target,NA
15,ITGA5,300.480394222498,0.141805040721827,0.248093577216264,0.00036349606719673,0.129415776955191,NS,PcB target,NA
16,TMEM97,866.087301536212,-0.13949272949471,0.114368849921167,0.000376582459557333,0.129415776955191,NS,PcB target,NA
17,GPR161,529.511448576584,0.140566653223986,0.0938967356699958,0.000532140506498131,0.159528930565078,NS,PcB target,NA
18,PXDC1,587.371452284194,0.123525760179533,0.0992978458966231,0.000867354883717442,0.197113392122238,NS,PcB target,NA
19,CBX4,726.210744894957,0.122516625718157,0.101754685328917,0.000839388155243271,0.197113392122238,NS,PcB target,NA
20,MCTP1,225.001756503115,0.101973702704465,0.149416676287011,0.000913432879650912,0.198004142681251,NS,PcB target,NA
21,MCF2L,369.071198213841,0.107373486129972,0.112047468737965,0.00109074372702635,0.204914388184017,NS,PcB target,NA
22,EFHD1,280.360428941105,0.0965851862700803,0.137637660683817,0.00114458949600501,0.205960137469222,NS,PcB target,NA
23,SP8,112.877101959828,-0.0879907221729281,0.146273355862638,0.00141586150559704,0.225847972623792,NS,PcB target,NA
24,PFKP,2182.85910931124,-0.123828831991864,0.082385876273323,0.00151196066853968,0.231433466184226,NS,PcB target,NA
25,FAM131B,566.005495769696,0.102196454427808,0.100269734591807,0.00168817520761041,0.23550879876466,NS,PcB target,NA
26,SLC25A44,642.816455740125,0.114899090420289,0.0870664278198287,0.00185607880320861,0.242149540159346,NS,PcB target,NA
27,FOS,2637.59833066921,-0.0757002411106805,0.186005832427497,0.00180388317091686,0.242149540159346,NS,PcB target,NA
28,SCUBE3,50.468872724026,0.0715077961054699,0.209217642384436,0.00192821530234752,0.246863404425045,NS,PcB target,NA
29,TMEM106C,775.126650597325,-0.108523291546586,0.0903871611921892,0.00201138688138788,0.251015427368254,NS,PcB target,NA
30,PODXL,179.062930075679,0.0853811019578565,0.110127727828071,0.00225252441958887,0.2601481071476,NS,PcB target,NA
31,CPNE5,227.236273109773,0.0706136978336479,0.15628847851174,0.00233207828753087,0.262871864570479,NS,PcB target,NA
32,SALL2,1211.72487132042,0.112845066751351,0.0830305833409316,0.00240426282746437,0.267274145676164,NS,PcB target,NA
33,CCDC65,58.3995674732526,0.0672466325626973,0.171493134553706,0.00243243536297136,0.267757923939581,NS,PcB target,NA
34,NEDD4L,306.281770536107,0.0979296835073602,0.0930793998534708,0.00251411373116306,0.2719226340774,NS,PcB target,NA
35,ZNF618,458.903025899988,0.105282799508884,0.086028100911342,0.00279590373755766,0.278089097183525,NS,PcB target,NA
36,KIF5A,502.985654751251,0.0975719134010919,0.0908965490963682,0.0028140376975125,0.278089097183525,NS,PcB target,NA
37,NPTXR,540.288680821232,0.0907678979414663,0.0960465064549557,0.00278041866666992,0.278089097183525,NS,PcB target,NA
38,MAP3K8,54.0101731583135,0.0598269000954872,0.179630134132857,0.00295682841524526,0.281498056559498,NS,PcB target,NA
39,PCOLCE-AS1,125.268157255656,-0.0617732740683037,0.136949507498306,0.00355913992191079,0.311541719375374,NS,PcB target,NA
40,TVP23B,287.272266289739,-0.0857801319648766,0.0923120814182458,0.00378619619376418,0.323318208303862,NS,PcB target,NA
41,ZIC4,88.3415472223246,0.0178059208978088,0.150600324503936,0.0041452958617942,0.335673670647588,NS,PcB target,NA
42,BSDC1,695.134427423804,0.0969442265553263,0.0819027776874724,0.00479739385915316,0.352058747268062,NS,PcB target,NA
43,NRG2,205.631312615172,0.077621016379153,0.0941810902493328,0.00448912026921139,0.352058747268062,NS,PcB target,NA
44,ANLN,565.413775694101,-0.0799778265972685,0.0912636213572393,0.004747510496631,0.352058747268062,NS,PcB target,NA
45,IRS2,753.976818596645,0.0954766235696884,0.0830091867994282,0.00472966500561977,0.352058747268062,NS,PcB target,NA
46,FN1,515.274087567928,0.0608948458632617,0.112957375634032,0.00487914338600399,0.352616850932559,NS,PcB target,NA
47,RPS6KA2,1046.16865006708,0.0986734508320802,0.0802418211002688,0.00493973823397187,0.355106692431957,NS,PcB target,NA
48,CYP26B1,32.7368248267764,0.0360916344615927,0.182653980632251,0.00506764988763684,0.358809984506548,NS,PcB target,NA
49,LMTK3,45.6221451237505,0.0509108006806821,0.133258253075635,0.00544924176378824,0.362168945527247,NS,PcB target,NA
50,SMIM3,101.670934939359,-0.040329047934851,0.162731980137541,0.0059710660589703,0.376347444240413,NS,PcB target,NA
51,SOBP,948.077095310443,0.0987179092416963,0.0753363722114491,0.00627567285703155,0.376347444240413,NS,PcB target,NA
52,IGSF9B,304.547564036742,0.0622420974077426,0.0984473506281247,0.00641046037031222,0.376347444240413,NS,PcB target,NA
53,NDUFA4L2,43.3212190797552,-0.0248143925935787,0.16090654481759,0.00687078978896416,0.382783990983959,NS,PcB target,NA
54,OSR2,81.9987502877867,-0.0455032607439974,0.125787099811663,0.00728802020806981,0.396479554948662,NS,PcB target,NA
55,CDCA7L,680.876417074644,-0.0831668811658641,0.0823919648622341,0.00749551023712921,0.401565548445439,NS,PcB target,NA
56,GCNT2,921.686741727572,0.0903700834820541,0.0785053042178295,0.00763344594193458,0.404343057600971,NS,PcB target,NA
57,LBR,2938.66958982616,-0.0948456674199251,0.0727418946296959,0.00838500454244905,0.418417551986488,NS,PcB target,NA
58,DNAH11,200.227070692292,-0.0725408591765593,0.0850731797012751,0.00851472901574231,0.418417551986488,NS,PcB target,NA
59,LIMK1,784.993456604427,0.0859659648843883,0.0785301398072393,0.00904162647441736,0.418417551986488,NS,PcB target,NA
60,NCOR2,3055.23420197651,0.0833410356725521,0.0809332040762656,0.00832119370701811,0.418417551986488,NS,PcB target,NA
61,CACNA1H,725.119142458668,0.0650485421576226,0.0887325662531999,0.00856420530662316,0.418417551986488,NS,PcB target,NA
62,TNRC6C,409.037493449968,0.0849583754508877,0.0792205546131945,0.0089351882546261,0.418417551986488,NS,PcB target,NA
63,GRHL3,85.8222839586849,-0.054518425599667,0.0953311732619532,0.00931217894173179,0.419196809230035,NS,PcB target,NA
64,MAPKAPK2,1620.94835509146,0.0961781255106937,0.0625679688675527,0.00929613739102464,0.419196809230035,NS,PcB target,NA
