,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,1.03685572014991,0.159913146658928,6.48386791088149,8.94004980603493e-11,6.29826508835161e-07,Upregulated,PcB target,CDKN2A
2,PCDH1,289.425689217522,1.68465004105691,0.316863648125569,5.31664029945556,1.05700727760738e-07,0.000496441084716269,Upregulated,PcB target,PCDH1
3,PDLIM3,306.644767021359,2.2274612151624,0.466613020266688,4.77367994122693,1.80889777983267e-06,0.00509747394356846,Upregulated,PcB target,PDLIM3
4,LMO1,98.3782640463416,1.53177420838483,0.336158960022664,4.55669605915473,5.19645338644523e-06,0.00915225352687666,Upregulated,PcB target,LMO1
5,ADAMTS18,135.983619303496,2.51283859198138,0.55110487421699,4.55963775597453,5.12419343006835e-06,0.00915225352687666,Upregulated,PcB target,ADAMTS18
6,RTN1,416.439090520945,0.90904973159539,0.204807525587225,4.43855629322682,9.05642991115071e-06,0.0107020141327204,Upregulated,PcB target,RTN1
7,FOXC1,543.449890644758,0.62077170922258,0.141279583740679,4.39392368512364,1.11322909155722e-05,0.0120656906923394,Upregulated,PcB target,FOXC1
8,EYA4,799.790347207316,0.973525398988975,0.222658589042533,4.37227866742212,1.22956443668776e-05,0.0123746877949504,Upregulated,PcB target,EYA4
9,DMRTA2,523.923170832472,2.08076064537323,0.495455131969784,4.1996954135902,2.67274275227709e-05,0.0244591336989307,Upregulated,PcB target,DMRTA2
10,SESN2,444.293757880889,0.683832994538953,0.183448487412685,3.72765676176225,0.000193268347242559,0.100857444912876,Upregulated,PcB target,SESN2
11,NFIL3,163.596378252099,0.712023717673824,0.190421780696724,3.73919262317913,0.000184612230000046,0.100857444912876,Upregulated,PcB target,NFIL3
12,ACTC1,46.7250491077079,3.70095776241903,1.00012925124651,3.70047947083473,0.000215192488573706,0.108287934428697,Upregulated,PcB target,ACTC1
13,RGS12,1304.72421358952,0.313851276068087,0.0879568185514552,3.56824270405463,0.000359383531281344,0.129415776955191,NS,PcB target,NA
14,DLX5,86.7776791109418,-0.937225764905425,0.260683408331839,-3.59526435112577,0.00032406234754897,0.129415776955191,Downregulated,PcB target,DLX5
15,ITGA5,300.480394222498,0.946774506368341,0.265555551148123,3.56525970658487,0.00036349606719673,0.129415776955191,Upregulated,PcB target,ITGA5
16,TMEM97,866.087301536212,-0.523483730054892,0.147212506891679,-3.55597320572822,0.000376582459557333,0.129415776955191,NS,PcB target,NA
17,GPR161,529.511448576584,0.416373670282566,0.120199093542302,3.46403336341328,0.000532140506498131,0.159528930565078,NS,PcB target,NA
18,PXDC1,587.371452284194,0.473683317700892,0.142232102092675,3.3303544750555,0.000867354883717442,0.197113392122238,NS,PcB target,NA
19,CBX4,726.210744894957,0.49041862418137,0.146855284825041,3.33946868010667,0.000839388155243271,0.197113392122238,NS,PcB target,NA
20,MCTP1,225.001756503115,0.755624487907329,0.227878056473598,3.31591597541501,0.000913432879650912,0.198004142681251,Upregulated,PcB target,MCTP1
21,MCF2L,369.071198213841,0.580883462927646,0.177857217666955,3.26601006440668,0.00109074372702635,0.204914388184017,NS,PcB target,NA
22,EFHD1,280.360428941105,0.730779042586704,0.224693299358765,3.25234016622755,0.00114458949600501,0.205960137469222,Upregulated,PcB target,EFHD1
23,SP8,112.877101959828,-0.809135332438481,0.253536337935262,-3.19139788413717,0.00141586150559704,0.225847972623792,Downregulated,PcB target,SP8
24,PFKP,2182.85910931124,-0.349180462253008,0.110068996030762,-3.17237800693139,0.00151196066853968,0.231433466184226,NS,PcB target,NA
25,FAM131B,566.005495769696,0.528242422184614,0.16821796108251,3.14022604236365,0.00168817520761041,0.23550879876466,NS,PcB target,NA
26,SLC25A44,642.816455740125,0.396905314230091,0.127526158283836,3.1123443187765,0.00185607880320861,0.242149540159346,NS,PcB target,NA
27,FOS,2637.59833066921,-1.10270864132623,0.353346801982616,-3.12075455371033,0.00180388317091686,0.242149540159346,Downregulated,PcB target,FOS
28,SCUBE3,50.468872724026,1.30796927617595,0.421779746164047,3.10107179889864,0.00192821530234752,0.246863404425045,Upregulated,PcB target,SCUBE3
29,TMEM106C,775.126650597325,-0.437128752084485,0.141532222757448,-3.08854579945103,0.00201138688138788,0.251015427368254,NS,PcB target,NA
30,PODXL,179.062930075679,0.646254704018459,0.211557705194958,3.05474434704664,0.00225252441958887,0.2601481071476,Upregulated,PcB target,PODXL
31,CPNE5,227.236273109773,0.983275736164927,0.32298710624385,3.0443188509902,0.00233207828753087,0.262871864570479,Upregulated,PcB target,CPNE5
32,SALL2,1211.72487132042,0.36428726394242,0.120023326490663,3.0351372070225,0.00240426282746437,0.267274145676164,NS,PcB target,NA
33,CCDC65,58.3995674732526,1.1100861231056,0.366169032142844,3.03162208068034,0.00243243536297136,0.267757923939581,Upregulated,PcB target,CCDC65
34,NEDD4L,306.281770536107,0.486242527273401,0.16092020195705,3.02163756545111,0.00251411373116306,0.2719226340774,NS,PcB target,NA
35,ZNF618,458.903025899988,0.40348872759908,0.134976327526849,2.98932957350481,0.00279590373755766,0.278089097183525,NS,PcB target,NA
36,KIF5A,502.985654751251,0.46791189622079,0.156630889218999,2.98735389011654,0.0028140376975125,0.278089097183525,NS,PcB target,NA
37,NPTXR,540.288680821232,0.53269082652741,0.178096357529642,2.99102594750569,0.00278041866666992,0.278089097183525,NS,PcB target,NA
38,MAP3K8,54.0101731583135,1.27430590770976,0.428742964748373,2.97219082873497,0.00295682841524526,0.281498056559498,Upregulated,PcB target,MAP3K8
39,PCOLCE-AS1,125.268157255656,-0.953621070477214,0.32716492961469,-2.91480224240513,0.00355913992191079,0.311541719375374,Downregulated,PcB target,PCOLCE-AS1
40,TVP23B,287.272266289739,-0.51799823102287,0.178900987948799,-2.89544645315833,0.00378619619376418,0.323318208303862,NS,PcB target,NA
41,ZIC4,88.3415472223246,4.45061233804648,1.55241928610127,2.86688807456374,0.0041452958617942,0.335673670647588,Upregulated,PcB target,ZIC4
42,BSDC1,695.134427423804,0.376281411898154,0.133417402341797,2.82033232017344,0.00479739385915316,0.352058747268062,NS,PcB target,NA
