,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.04003198443886,0.130721266773916,3.43739178056496e-120,1.67813466727181e-116,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.37887685518886,0.208079937332092,8.97055322096691e-99,1.94641070332269e-95,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.19623006617393,0.373133038834099,4.89175611165091e-84,8.68420121348354e-81,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.0984408691975,0.119241972669472,4.18692565559469e-71,4.80954612955607e-68,Upregulated,PcB target,ITPKB
5,DMRTA2,523.923170832472,7.58961862448871,0.449528648609284,2.99592569683307e-65,2.78592557179792e-62,Upregulated,PcB target,DMRTA2
6,PCDH1,289.425689217522,4.78872074803765,0.294289766072414,4.62987724624716e-60,3.49829343819423e-57,Upregulated,PcB target,PCDH1
7,ANK1,387.022508081908,4.20250192071956,0.264238791033042,2.11654624517867e-57,1.42523845089134e-54,Upregulated,PcB target,ANK1
8,ABLIM1,1572.91711703577,-2.17411098859828,0.138540369375133,4.17060571458552e-57,2.7147862798142e-54,Downregulated,PcB target,ABLIM1
9,MAGEA6,347.412354860506,-6.87249566986527,0.436280807649894,5.70598290806042e-57,3.48207606964387e-54,Downregulated,PcB target,MAGEA6
10,CCND2,2303.18435034278,1.41040704750429,0.0933199455974887,7.00615154537013e-54,3.69773317237805e-51,Upregulated,PcB target,CCND2
11,SLIT2,479.803631262113,-3.66657105216858,0.242667664411293,5.08271473313698e-52,2.61198035022892e-49,Downregulated,PcB target,SLIT2
12,PDLIM3,306.644767021359,6.41781387928524,0.430475861608128,3.42028091297233e-51,1.62905477240301e-48,Upregulated,PcB target,PDLIM3
13,NT5E,285.760101132116,6.08068340136035,0.412449188445186,5.03516219378174e-50,2.09205632596106e-47,Upregulated,PcB target,NT5E
14,STOM,467.772332509094,2.69219124002826,0.189813969338633,1.81454345300533e-46,5.80891877873574e-44,Upregulated,PcB target,STOM
15,S1PR3,195.331212884121,5.37792612563707,0.381393540354362,8.35120675299414e-46,2.58860897575349e-43,Upregulated,PcB target,S1PR3
16,NAB1,362.670122078312,-2.22332151185624,0.161608656054199,1.38667951689678e-44,4.04165337402394e-42,Downregulated,PcB target,NAB1
17,RIMS4,1156.42645197058,2.54513632634113,0.184145397267013,2.05311828255098e-44,5.81062229299355e-42,Upregulated,PcB target,RIMS4
18,RAB29,194.42488404359,3.64077989777052,0.262293639157742,2.96680246551402e-44,8.27653122093683e-42,Upregulated,PcB target,RAB29
19,VCAN,872.190900896411,-2.50238063393031,0.181565017190735,3.10721426731099e-44,8.54615214254213e-42,Downregulated,PcB target,VCAN
20,OTULINL,322.325809307162,-6.10341925444041,0.446603312640067,2.32507927809881e-43,5.82104463368123e-41,Downregulated,PcB target,OTULINL
21,CDH11,225.326643648136,-3.06887058892159,0.224022764985716,2.72986819842281e-43,6.66360827235008e-41,Downregulated,PcB target,CDH11
22,IGSF9B,304.547564036742,3.19501358905115,0.233389920379218,3.44737320908862e-43,8.31114864531884e-41,Upregulated,PcB target,IGSF9B
23,CHST2,258.381846032204,3.26543990158246,0.239104907909142,5.65884278946066e-43,1.33139616858539e-40,Upregulated,PcB target,CHST2
24,CDH8,376.692191224155,-2.6061240672121,0.193188088126443,2.25331561063163e-42,5.23842229100171e-40,Downregulated,PcB target,CDH8
25,LINC01694,235.092491066917,-3.99850216228753,0.295162180480145,2.99713136675299e-42,6.88564486234733e-40,Downregulated,PcB target,LINC01694
26,TNFRSF19,322.494908848589,2.31059008273367,0.172832859321762,4.17005475445943e-42,9.46893363314926e-40,Upregulated,PcB target,TNFRSF19
27,HSPA12A,351.116945842277,-2.50648821561132,0.188086036618307,1.54597749037717e-41,3.43066459455516e-39,Downregulated,PcB target,HSPA12A
28,CAVIN1,930.208149203013,4.39360448119532,0.330614197381821,8.99756432769518e-41,1.95227151323591e-38,Upregulated,PcB target,CAVIN1
29,RUNX1,245.637679130731,3.21400066688192,0.243494489933885,2.61507165078258e-40,5.55077382570458e-38,Upregulated,PcB target,RUNX1
30,ARHGAP29,510.923699849386,2.86028040403687,0.217399671293634,3.17597884675831e-40,6.66887257198884e-38,Upregulated,PcB target,ARHGAP29
31,RTN1,416.439090520945,2.55833999624323,0.198713822653993,6.80058506392783e-39,1.39791394871982e-36,Upregulated,PcB target,RTN1
32,LIMS2,165.073826839643,-4.18244577358479,0.333191794534943,1.34843280464515e-36,2.53194190472216e-34,Downregulated,PcB target,LIMS2
33,SEZ6,268.453434835007,6.16663207896075,0.499415008480223,6.84838814902836e-36,1.20482273670474e-33,Upregulated,PcB target,SEZ6
34,MAML3,141.85463475103,3.87495468111212,0.331740011576402,5.69889102334181e-32,8.18293705175139e-30,Upregulated,PcB target,MAML3
