,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.04635086050815,0.130683555037296,23.310896766152,3.43739178056496e-120,1.67813466727181e-116,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.39827286612658,0.208505182843156,21.0943095329918,8.97055322096691e-99,1.94641070332269e-95,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.29917692284565,0.375792500598082,19.4234235947467,4.89175611165091e-84,8.68420121348354e-81,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.1086170433768,0.118267012024327,17.8292915943718,4.18692565559469e-71,4.80954612955607e-68,Upregulated,PcB target,ITPKB
5,DMRTA2,523.923170832472,7.74822801294504,0.454201521087659,17.059009389468,2.99592569683307e-65,2.78592557179792e-62,Upregulated,PcB target,DMRTA2
6,PCDH1,289.425689217522,4.83117581573867,0.295553502440132,16.3461971380877,4.62987724624716e-60,3.49829343819423e-57,Upregulated,PcB target,PCDH1
7,ANK1,387.022508081908,4.23273126423935,0.265066753055403,15.9685483579098,2.11654624517867e-57,1.42523845089134e-54,Upregulated,PcB target,ANK1
8,ABLIM1,1572.91711703577,-2.18645667299117,0.137286936650095,-15.9261815169189,4.17060571458552e-57,2.7147862798142e-54,Downregulated,PcB target,ABLIM1
9,MAGEA6,347.412354860506,-7.00761404036751,0.440548555902898,-15.9065645465697,5.70598290806042e-57,3.48207606964387e-54,Downregulated,PcB target,MAGEA6
10,CCND2,2303.18435034278,1.42911976922327,0.0924711137406918,15.4547697265853,7.00615154537013e-54,3.69773317237805e-51,Upregulated,PcB target,CCND2
11,SLIT2,479.803631262113,-3.68951053811689,0.243111365143185,-15.176215788776,5.08271473313698e-52,2.61198035022892e-49,Downregulated,PcB target,SLIT2
12,PDLIM3,306.644767021359,6.54059414902721,0.434573150102021,15.0506172493439,3.42028091297233e-51,1.62905477240301e-48,Upregulated,PcB target,PDLIM3
13,NT5E,285.760101132116,6.18730924226739,0.416047068595734,14.8716568612084,5.03516219378174e-50,2.09205632596106e-47,Upregulated,PcB target,NT5E
14,STOM,467.772332509094,2.7068941741002,0.18912108266166,14.313021774219,1.81454345300533e-46,5.80891877873574e-44,Upregulated,PcB target,STOM
15,S1PR3,195.331212884121,5.45837724939913,0.384217266586136,14.2064860798635,8.35120675299414e-46,2.58860897575349e-43,Upregulated,PcB target,S1PR3
16,NAB1,362.670122078312,-2.23915474771544,0.159844759509841,-14.0083087777275,1.38667951689678e-44,4.04165337402394e-42,Downregulated,PcB target,NAB1
17,RIMS4,1156.42645197058,2.5601821956069,0.183126448164428,13.9804065511506,2.05311828255098e-44,5.81062229299355e-42,Upregulated,PcB target,RIMS4
18,RAB29,194.42488404359,3.66751325437012,0.262825358245865,13.9541834123147,2.96680246551402e-44,8.27653122093683e-42,Upregulated,PcB target,RAB29
19,VCAN,872.190900896411,-2.51746183007851,0.180451753234963,-13.9508859567608,3.10721426731099e-44,8.54615214254213e-42,Downregulated,PcB target,VCAN
20,OTULINL,322.325809307162,-6.2292832703165,0.451181117752412,-13.8066134091517,2.32507927809881e-43,5.82104463368123e-41,Downregulated,PcB target,OTULINL
21,CDH11,225.326643648136,-3.08759532771252,0.22381917451062,-13.7950438538769,2.72986819842281e-43,6.66360827235008e-41,Downregulated,PcB target,CDH11
22,IGSF9B,304.547564036742,3.21526254936344,0.233358593469475,13.7782050429783,3.44737320908862e-43,8.31114864531884e-41,Upregulated,PcB target,IGSF9B
23,CHST2,258.381846032204,3.28673537728066,0.239167927150283,13.7423751438688,5.65884278946066e-43,1.33139616858539e-40,Upregulated,PcB target,CHST2
24,CDH8,376.692191224155,-2.62208390715145,0.192206870531066,-13.6419884466495,2.25331561063163e-42,5.23842229100171e-40,Downregulated,PcB target,CDH8
25,LINC01694,235.092491066917,-4.03474872435719,0.296211538045516,-13.6211734052615,2.99713136675299e-42,6.88564486234733e-40,Downregulated,PcB target,LINC01694
26,TNFRSF19,322.494908848589,2.32693516465644,0.171135499055324,13.5970337977873,4.17005475445943e-42,9.46893363314926e-40,Upregulated,PcB target,TNFRSF19
27,HSPA12A,351.116945842277,-2.52265433115858,0.18685162094913,-13.50084263837,1.54597749037717e-41,3.43066459455516e-39,Downregulated,PcB target,HSPA12A
28,CAVIN1,930.208149203013,4.44309466608981,0.332306647884252,13.3704657862801,8.99756432769518e-41,1.95227151323591e-38,Upregulated,PcB target,CAVIN1
29,RUNX1,245.637679130731,3.23607236684148,0.243480787609331,13.2908735782218,2.61507165078258e-40,5.55077382570458e-38,Upregulated,PcB target,RUNX1
30,ARHGAP29,510.923699849386,2.87852969590514,0.216816734450562,13.2763262171605,3.17597884675831e-40,6.66887257198884e-38,Upregulated,PcB target,ARHGAP29
31,RTN1,416.439090520945,2.57577906029959,0.197455886327993,13.0448329913091,6.80058506392783e-39,1.39791394871982e-36,Upregulated,PcB target,RTN1
32,LIMS2,165.073826839643,-4.23055041260431,0.334819393901076,-12.6353206823325,1.34843280464515e-36,2.53194190472216e-34,Downregulated,PcB target,LIMS2
33,SEZ6,268.453434835007,6.32647877101054,0.505840972784331,12.5068531641226,6.84838814902836e-36,1.20482273670474e-33,Upregulated,PcB target,SEZ6
34,MAML3,141.85463475103,3.91979383085477,0.333086179982892,11.7681070738392,5.69889102334181e-32,8.18293705175139e-30,Upregulated,PcB target,MAML3
35,EFHD1,280.360428941105,2.50569921150421,0.213746503506225,11.7227611698979,9.7443303426223e-32,1.35919487807663e-29,Upregulated,PcB target,EFHD1
36,HEY2,169.870931782184,3.00499135750134,0.258902719082598,11.6066427117849,3.81294275299119e-31,5.06524803268109e-29,Upregulated,PcB target,HEY2
37,ADAMTS18,135.983619303496,5.95064756584574,0.52368712883672,11.3629822811648,6.39244616343799e-30,7.75352103600106e-28,Upregulated,PcB target,ADAMTS18
38,SVIL,2068.66232610493,1.44055680139518,0.127803049897033,11.2716934576741,1.81053682665301e-29,2.10453352088572e-27,Upregulated,PcB target,SVIL
39,TFAP2A,178.533274896873,6.58783567109892,0.601976012920313,10.9436846812881,7.12442682431974e-28,7.56118516441934e-26,Upregulated,PcB target,TFAP2A
