,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,0.0901830131694819,0.0467411301218916,8.16976170289713e-13,3.37239593333891e-08,NS,PcB target,NA
2,IGF2BP1,172.434210051343,0.055765479960879,0.0474884000367703,1.35662041659187e-08,0.000139999835441239,NS,PcB target,NA
3,TEX15,164.456925648811,-0.0376149704488202,0.0476741555176494,2.6461602243422e-05,0.099300770818747,NS,PcB target,NA
4,ADGRA2,362.957176583794,-0.0522010034736257,0.0464939187909542,9.21077462286652e-05,0.197476508692223,NS,PcB target,NA
5,HILPDA,108.317631298724,-0.0341031524806202,0.0476984577020865,0.000112473645979195,0.20170595950362,NS,PcB target,NA
6,MMP15,458.580555431744,0.0446996269240044,0.0469641159364672,0.000164087450467748,0.239828637792268,NS,PcB target,NA
7,SLC39A8,198.910221445255,-0.0413856514787194,0.0471261561538333,0.000244072309688143,0.270296380776913,NS,PcB target,NA
8,NEURL1B,550.171515068894,-0.0552904843011598,0.0458301302837489,0.000248825370515824,0.270296380776913,NS,PcB target,NA
9,PFKP,2182.85910931124,-0.0648669135868292,0.0443561927747232,0.000316242431312948,0.32635428305418,NS,PcB target,NA
10,PRPS2,289.107483428252,-0.048707679682239,0.0462676873866938,0.0004953319149497,0.400917767004091,NS,PcB target,NA
11,MAP3K21,98.6080084919947,-0.0322461366812908,0.0475918452447055,0.00056204902691929,0.413217787841646,NS,PcB target,NA
12,RIPOR2,1115.79711733139,0.0673062329211033,0.043366938442981,0.000548847124684899,0.413217787841646,NS,PcB target,NA
13,EBF3,491.135937789852,0.048523495116496,0.0461871139389817,0.000631991211899714,0.420773632838843,NS,PcB target,NA
14,NEDD4L,306.281770536107,0.0412810746360782,0.0469001595008657,0.000631672133810188,0.420773632838843,NS,PcB target,NA
15,KLHL8,258.636436738158,-0.0416654533626934,0.0467067916836684,0.00104164058112887,0.514687643124421,NS,PcB target,NA
16,DYRK3,344.726450627635,-0.0467236755344365,0.0459889539245395,0.00148726225987976,0.549324542366433,NS,PcB target,NA
17,C14orf39,58.5007051884262,0.00968179834629995,0.0484430910816268,0.00134550309877098,0.549324542366433,NS,PcB target,NA
18,LINC01138,4.84055401759333,-0.00428167883522852,0.048518469390569,0.00161843681119817,0.561582458001645,NS,PcB target,NA
19,SMPD1,163.784827034181,0.0301371332660391,0.0475446392253821,0.00163254669348088,0.561582458001645,NS,PcB target,NA
20,BMP7,88.6681350652595,0.0239009999352917,0.0479253414599445,0.00163232810610398,0.561582458001645,NS,PcB target,NA
21,TMEM97,866.087301536212,-0.0453731806236091,0.0460994028753924,0.00166063143739743,0.56652235623412,NS,PcB target,NA
22,C6orf226,32.7129250698481,0.0141766447554256,0.0483195333690581,0.0019391277246384,0.614483487349041,NS,PcB target,NA
23,CCDC38,50.5604634694427,0.0162494883864593,0.0482418653791012,0.00223900520114624,0.63605487102022,NS,PcB target,NA
24,S100A10,596.784843574888,0.0307456218557972,0.0473907421026373,0.00267912386499662,0.712098478796276,NS,PcB target,NA
25,ADM2,19.987946212487,0.0113597061022367,0.0483863177196226,0.0029113581027467,0.729078555686082,NS,PcB target,NA
26,NUAK1,125.77607327806,0.0202851658585131,0.0480392878275788,0.00312925837030587,0.75100381551079,NS,PcB target,NA
27,FN1,515.274087567928,0.0230690828736085,0.0478811483739623,0.00328568332677998,0.757084096776989,NS,PcB target,NA
28,NFIL3,163.596378252099,0.0328003676007811,0.0471502054711547,0.00338270554451324,0.757084096776989,NS,PcB target,NA
29,GATA2,6.50808047093933,0.00484199786280793,0.0485077294391702,0.00435928349751137,0.858369514682285,NS,PcB target,NA
30,COL2A1,746.998205582823,0.0149919179521321,0.0482487889731595,0.00432947945249065,0.858369514682285,NS,PcB target,NA
31,SLC29A2,263.873596800414,-0.0289706347299127,0.0473995229180526,0.00452198806316705,0.867241753433028,NS,PcB target,NA
32,FAM81A,216.817225558099,-0.0323740377967533,0.0470738772503555,0.00477547913754673,0.867491291080474,NS,PcB target,NA
33,ABR,32.041494980092,0.0107927553986556,0.0483845716843029,0.00491882290379842,0.867491291080474,NS,PcB target,NA
34,CCDC184,150.660529064046,0.0268237967269996,0.0475468219866501,0.00500620586211723,0.870578104513601,NS,PcB target,NA
35,AMOTL2,192.757592881041,0.0237045320320091,0.0477571300435673,0.00544905506435358,0.908169980788236,NS,PcB target,NA
36,HMGA2,398.246995652245,0.0363151214455859,0.0465674340377557,0.00568710265369041,0.931579009689232,NS,PcB target,NA
37,BACH2,734.457420744197,0.038285069932887,0.0462012790152457,0.00686050839525884,0.991458460847745,NS,PcB target,NA
38,FAM41C,0.333851606623279,0,0.0485365784625483,1,1,NS,PcB target,NA
39,SAMD11,220.364239828292,0.00265108557572614,0.0470758432929582,0.817145069843569,1,NS,PcB target,NA
