,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,0.770207981413454,0.236427273544998,1.30897881650525e-07,0.00141984236957488,Upregulated,PcB target,CDKN2A
2,EYA4,799.790347207316,1.04810664513645,0.295087934394851,2.79466298550386e-07,0.001581429916922,Upregulated,PcB target,EYA4
3,ITGA5,300.480394222498,1.01351233854127,0.45610368400457,2.11275804945439e-06,0.00683175406420003,Upregulated,PcB target,ITGA5
4,DMRTA2,523.923170832472,1.45460859995877,0.894278850113646,3.83677095426907e-06,0.00789502823180731,Upregulated,PcB target,DMRTA2
5,PDLIM3,306.644767021359,1.49595292270069,0.828953379510204,3.10242481236727e-06,0.00789502823180731,Upregulated,PcB target,PDLIM3
6,PCDH1,289.425689217522,1.04413073141571,0.610316641811381,5.13929693620553e-06,0.00969399884591769,Upregulated,PcB target,PCDH1
7,IGSF9B,304.547564036742,0.436025394498392,0.460233304913987,2.74766606884101e-05,0.0444238724772974,NS,PcB target,NA
8,FN1,515.274087567928,0.409419795911918,0.500930454808199,4.48935981590883e-05,0.0576916638142501,NS,PcB target,NA
9,GPR161,529.511448576584,0.167386271833213,0.10803915376848,0.000112854421808497,0.0977436498100398,NS,PcB target,NA
10,ZNF618,458.903025899988,0.167728338552468,0.125027500363925,0.000109652369347766,0.0977436498100398,NS,PcB target,NA
11,ACTC1,46.7250491077079,0.125209301098055,0.497333713589675,0.00012124596060249,0.0980143685084768,NS,PcB target,NA
12,SALL2,1211.72487132042,0.161956225013005,0.104322453708578,0.000143182509149516,0.10803120315331,NS,PcB target,NA
13,FOXC1,543.449890644758,0.153334502210993,0.122085597591111,0.000183041619008656,0.118214698042851,NS,PcB target,NA
14,PFKP,2182.85910931124,-0.159565792348154,0.0943066191957013,0.000167634357778592,0.118214698042851,NS,PcB target,NA
15,RTN1,416.439090520945,0.139653346575718,0.186665008030131,0.000282124383360615,0.148508963194594,NS,PcB target,NA
16,EFHD1,280.360428941105,0.124226528919529,0.184091986898992,0.000425573826051432,0.189419271802976,NS,PcB target,NA
17,SCUBE3,50.468872724026,0.110753945820408,0.299661647215991,0.000710874079166852,0.236626982087378,NS,PcB target,NA
18,CCND2,2303.18435034278,0.134202852154043,0.0743498745483953,0.000757923594170378,0.24508000791495,NS,PcB target,NA
19,ZIC4,88.3415472223246,0.0253153388212873,0.189311297905646,0.000787021663017794,0.250904723132504,NS,PcB target,NA
20,FLJ32255,22.4632608664738,0.0406742647403113,0.247046046765479,0.000812883046060586,0.251282408605546,NS,PcB target,NA
21,CBX4,726.210744894957,0.119009447972516,0.0991394392688204,0.000821510856497037,0.251282408605546,NS,PcB target,NA
22,RGS12,1304.72421358952,0.126102200689045,0.0689144884931824,0.00128493542187906,0.332542303708458,NS,PcB target,NA
23,TRAPPC10,417.834412655496,0.111917433135644,0.0896726858837465,0.0014240325855749,0.342904016749872,NS,PcB target,NA
24,LDLRAD4,8.43560403265048,0.0399590197997624,0.227414924673633,0.00169496923211436,0.384573228992022,NS,PcB target,NA
25,TMEM106C,775.126650597325,-0.107952744662766,0.0885767736447213,0.0017270466150647,0.387046535960291,NS,PcB target,NA
26,HEY2,169.870931782184,0.0767689075907793,0.142260983453292,0.00191520199749534,0.408967898238746,NS,PcB target,NA
27,FAM131B,566.005495769696,0.0975825870211709,0.095618529698842,0.00191119630916038,0.408967898238746,NS,PcB target,NA
28,CACNA1H,725.119142458668,0.0844319657828745,0.111998105757088,0.00202468433784847,0.428305887730843,NS,PcB target,NA
29,NPTXR,540.288680821232,0.0912627463088183,0.09555725344449,0.0023685161897673,0.474436849162681,NS,PcB target,NA
30,NEDD4L,306.281770536107,0.0951339570830008,0.0899136110872069,0.00258078232143074,0.490377389035821,NS,PcB target,NA
31,PODXL,179.062930075679,0.0797721944341782,0.102855847284095,0.00283533772434672,0.502997305721635,NS,PcB target,NA
32,ARMH4,157.044606497748,0.0739131986385651,0.101922157998344,0.00354265824311103,0.538194314684768,NS,PcB target,NA
33,SH3PXD2B,4312.1012325694,0.108658914211975,0.0699403382603764,0.00369039954444528,0.545962050251757,NS,PcB target,NA
34,CCNC,643.521198412316,-0.0906259462207199,0.0820377626473212,0.00463117997199306,0.611148958695524,NS,PcB target,NA
35,FOXD1,26.6625875102069,0.039995360344848,0.170926451633453,0.00497240894744721,0.612834779397135,NS,PcB target,NA
36,CPNE5,227.236273109773,0.0540719479201786,0.116618827201891,0.00553022433554468,0.619023054686815,NS,PcB target,NA
37,KIF5A,502.985654751251,0.0853971965240415,0.0822317171332688,0.00553372679821442,0.619023054686815,NS,PcB target,NA
38,TFAP2A,178.533274896873,0.0353579391538148,0.160387754522402,0.00623365830625798,0.631044328751097,NS,PcB target,NA
39,DEK,2917.1227538518,-0.0874281910975139,0.0800655655129252,0.00596930308307827,0.631044328751097,NS,PcB target,NA
40,SOX8,625.11612708362,0.0939366653467097,0.0754254544071624,0.00622395189583579,0.631044328751097,NS,PcB target,NA
41,TLE2,14.741009702556,0.0140566095237047,0.125128383087776,0.00609381381640843,0.631044328751097,NS,PcB target,NA
42,NCOR2,3055.23420197651,0.0848966275451471,0.0794654144801746,0.00686723824374029,0.653129408226908,NS,PcB target,NA
43,VGLL4,1198.25392223464,0.0941495139364775,0.0710337065874803,0.00788370797346355,0.658395384913704,NS,PcB target,NA
44,RPUSD4,301.659087780292,-0.0808824741721055,0.0805650171614161,0.00733416004292483,0.658395384913704,NS,PcB target,NA
45,GJA3,9.3348569185709,0.0132740819255411,0.12016971471748,0.00822443571918156,0.658395384913704,NS,PcB target,NA
46,RTN2,45.586467878544,0.0423111860670918,0.1250435997888,0.00779366638259798,0.658395384913704,NS,PcB target,NA
47,ZBTB8A,169.352805826442,-0.0689191440589541,0.0841695017855116,0.00854616877896955,0.663503218605071,NS,PcB target,NA
48,WLS,2402.79526408905,0.0921049739725183,0.0711202829895045,0.00873103630901748,0.666939821533552,NS,PcB target,NA
49,NAB1,362.670122078312,-0.0820161637223586,0.0770026644330513,0.00930787224522324,0.675267555825323,NS,PcB target,NA
50,ANK2,1182.75772140033,0.0839447193998981,0.0757255390810218,0.00950122622443455,0.675267555825323,NS,PcB target,NA
51,RRAGD,102.628771052282,0.0536706901751391,0.0936905073543514,0.00936753929150861,0.675267555825323,NS,PcB target,NA
52,SNAPC1,79.5297385430623,-0.0470075381806751,0.103043974290198,0.00939599633895891,0.675267555825323,NS,PcB target,NA
53,MAP3K9,223.094147331487,0.0666196365134294,0.084050235595442,0.00931278848154348,0.675267555825323,NS,PcB target,NA
54,NEO1,1130.20688040104,0.0873468910932744,0.0737741198156056,0.00940294592520862,0.675267555825323,NS,PcB target,NA
55,KLF9,31.2095733755708,0.0308993366116375,0.138479815946618,0.00969458097908796,0.679371023101102,NS,PcB target,NA
56,CBX2,901.396055372939,0.0763544127527501,0.0791936480838171,0.00963750665574418,0.679371023101102,NS,PcB target,NA
57,SLK,647.944217735202,-0.0862893142641133,0.0736609912328865,0.00995467084116571,0.682799922696321,NS,PcB target,NA
58,CD248,1016.43883259645,0.0705295207405019,0.0808269908458292,0.0103331498667878,0.684702265120105,NS,PcB target,NA
59,SLC29A4,239.629358250835,0.0657105972100168,0.082232518314778,0.0109144803727142,0.695623161839483,NS,PcB target,NA
60,TBC1D30,79.9219469383589,0.0419182175481553,0.102104068429747,0.0118920927166327,0.695623161839483,NS,PcB target,NA
