,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-2.81635210459267,0.13438319981535,-20.9576205095764,1.59882293107173e-97,7.80545354949217e-94,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-3.87294284832849,0.20782986819422,-18.6351600084217,1.66655271449639e-77,3.25444414086855e-74,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-6.52420982405426,0.367433777514936,-17.7561515116532,1.54469715593835e-70,2.74225873283311e-67,Downregulated,PcB target,SFRP1
4,ABLIM1,1572.91711703577,2.36883518337145,0.139424674907449,16.9900714127101,9.72706783592441e-65,1.11735400411725e-61,Upregulated,PcB target,ABLIM1
5,MAGEA6,347.412354860506,6.08506548802392,0.378620709367083,16.0716657527686,4.03106843080031e-58,3.93593521583342e-55,Upregulated,PcB target,MAGEA6
6,ITPKB,1892.84488715906,-1.89864807581718,0.120450829081399,-15.7628477138509,5.60494424609821e-56,4.97515232899117e-53,Downregulated,PcB target,ITPKB
7,DMRTA2,523.923170832472,-7.58895015314902,0.498645021362772,-15.2191435350318,2.63964040539377e-52,1.74478308349998e-49,Downregulated,PcB target,DMRTA2
8,SLIT2,479.803631262113,3.53077793057343,0.245700722753343,14.3702382760915,7.95570614094651e-47,3.78924462244887e-44,Upregulated,PcB target,SLIT2
9,VCAN,872.190900896411,2.61830586896991,0.182665489240527,14.3338836463095,1.34390188513851e-46,6.24850381261545e-44,Upregulated,PcB target,VCAN
10,PDLIM3,306.644767021359,-5.88064974914513,0.410986748883696,-14.3086115674481,1.93334717821161e-46,8.78009388281774e-44,Downregulated,PcB target,PDLIM3
11,CDH8,376.692191224155,2.80822155853987,0.20101668760451,13.9700916973863,2.37320914879313e-44,9.86043154417708e-42,Upregulated,PcB target,CDH8
12,ARHGAP29,510.923699849386,-3.1407858699079,0.225073599351348,-13.9544836842682,2.95433435313909e-44,1.153844824962e-41,Downregulated,PcB target,ARHGAP29
13,WLS,2402.79526408905,1.62958105483473,0.117082742086354,13.9182002897817,4.91115193515974e-44,1.88048970568234e-41,Upregulated,PcB target,WLS
14,ANK1,387.022508081908,-3.84824631633796,0.277861823705821,-13.849496361228,1.28107143057819e-43,4.81091594160209e-41,Downregulated,PcB target,ANK1
15,HSPA12A,351.116945842277,2.65929531586466,0.192523633512737,13.8128253001662,2.13298934255603e-43,7.71352145952486e-41,Upregulated,PcB target,HSPA12A
16,PCDH1,289.425689217522,-3.61665359718975,0.266010320224273,-13.5959146026386,4.23434105932875e-42,1.37813687010953e-39,Downregulated,PcB target,PCDH1
17,CCND2,2303.18435034278,-1.27467230444919,0.0943571503516792,-13.5090165366201,1.38357354722591e-41,4.22162878597305e-39,Downregulated,PcB target,CCND2
18,LINC01694,235.092491066917,4.24079020744696,0.316560434026785,13.3964632076797,6.34138341248236e-41,1.87628083755993e-38,Upregulated,PcB target,LINC01694
19,RIMS4,1156.42645197058,-2.47884895258466,0.185877599172449,-13.3359208620125,1.43076984288587e-40,4.04928601331524e-38,Downregulated,PcB target,RIMS4
20,OTULINL,322.325809307162,6.0680247166062,0.458469136040003,13.2354050460591,5.48005029215396e-40,1.44614083925922e-37,Upregulated,PcB target,OTULINL
21,CDH11,225.326643648136,3.12796774054693,0.237153686660357,13.1896230861749,1.00687393394444e-39,2.60910228014346e-37,Upregulated,PcB target,CDH11
22,STOM,467.772332509094,-2.55094171882621,0.195695158652746,-13.0352827141359,7.70807763835095e-39,1.90535873571794e-36,Downregulated,PcB target,STOM
23,RAB29,194.42488404359,-3.43716831880106,0.266580591189462,-12.8935430125077,4.89425681170677e-38,1.13779817879774e-35,Downregulated,PcB target,RAB29
24,NT5E,285.760101132116,-5.85663947464565,0.45934337989692,-12.7500247765842,3.11646194077084e-37,6.83800772801944e-35,Downregulated,PcB target,NT5E
25,ADARB2,321.128403819339,7.16757690508555,0.570488274856385,12.563933775659,3.33338406740255e-36,7.07547000741706e-34,Upregulated,PcB target,ADARB2
26,CAVIN1,930.208149203013,-4.09810777545562,0.333112718770701,-12.3024656355934,8.78508510637096e-35,1.78703272872096e-32,Downregulated,PcB target,CAVIN1
27,EFHD1,280.360428941105,-2.75710806098076,0.22464172418122,-12.2733569243645,1.25922201523386e-34,2.5350605684007e-32,Downregulated,PcB target,EFHD1
28,RUNX1,245.637679130731,-3.18741062280855,0.262216884385078,-12.1556269356312,5.35494063521935e-34,1.01525515266567e-31,Downregulated,PcB target,RUNX1
29,TRIO,2950.30604186806,1.379482234706,0.118336430599704,11.6572912307315,2.10637237696751e-31,3.60817892784399e-29,Upregulated,PcB target,TRIO
30,LIMS2,165.073826839643,4.19227670199372,0.365840590184002,11.4592989801519,2.11217433186307e-30,3.32633389940501e-28,Upregulated,PcB target,LIMS2
31,COL2A1,746.998205582823,-7.90564631157123,0.701997402690955,-11.2616460990691,2.02932233491474e-29,3.04835435047808e-27,Downregulated,PcB target,COL2A1
32,RPS6KA2,1046.16865006708,1.50864162541671,0.135887098208865,11.1021697078103,1.22434970975158e-28,1.74518986365174e-26,Upregulated,PcB target,RPS6KA2
33,CHST2,258.381846032204,-2.72498533432628,0.245862082800635,-11.0833899366903,1.51043279905225e-28,2.12343565479469e-26,Downregulated,PcB target,CHST2
34,TACC1,470.10860393755,1.61440293639858,0.146483631359749,11.0210466617514,3.02520764710892e-28,4.10251770366271e-26,Upregulated,PcB target,TACC1
35,HEY2,169.870931782184,-3.01292868285888,0.273704655882434,-11.0079555393206,3.49852558688481e-28,4.71166949384045e-26,Downregulated,PcB target,HEY2
36,TFAP2A,178.533274896873,-5.92234947138636,0.542886948179096,-10.908992178299,1.04407387632714e-27,1.36836742663869e-25,Downregulated,PcB target,TFAP2A
37,TNFRSF19,322.494908848589,-1.92359952625082,0.176542618575481,-10.8959498945484,1.20502499414652e-27,1.55839258845651e-25,Downregulated,PcB target,TNFRSF19
38,DYRK3,344.726450627635,-1.72288798964568,0.159961265104956,-10.7706574370691,4.7360713702997e-27,5.85354441260839e-25,Downregulated,PcB target,DYRK3
39,S1PR3,195.331212884121,-5.65800152868736,0.527038811243859,-10.7354551656907,6.93762400943241e-27,8.36283467013556e-25,Downregulated,PcB target,S1PR3
