,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-2.75453352645206,0.128909203671591,3.84974699797343e-102,1.15325587569291e-98,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-4.3192282220886,0.208764833399977,1.57243970517277e-95,4.03757589439648e-92,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-6.40853964651029,0.323774516435272,3.58212241781675e-88,6.43850683378382e-85,Downregulated,PcB target,SFRP1
4,ABLIM1,1572.91711703577,2.39040772881908,0.140006045537298,6.09160158946278e-67,7.82074621207171e-64,Upregulated,PcB target,ABLIM1
5,MAGEA6,347.412354860506,6.15215059239661,0.37499234301312,2.16342675812993e-61,1.94427162753137e-58,Upregulated,PcB target,MAGEA6
6,PDLIM3,306.644767021359,-5.92338256312286,0.378086582659318,3.72823333498371e-56,2.5773563831922e-53,Downregulated,PcB target,PDLIM3
7,ITPKB,1892.84488715906,-1.83358985149728,0.119564137754118,3.68784776114551e-55,2.36733484495819e-52,Downregulated,PcB target,ITPKB
8,CCND2,2303.18435034278,-1.34903908873008,0.0938784851763748,1.35360075757924e-48,6.08240500418233e-46,Downregulated,PcB target,CCND2
9,HSPA12A,351.116945842277,2.75254745007771,0.191563100379525,1.01770736618447e-47,4.3553029047142e-45,Upregulated,PcB target,HSPA12A
10,ARHGAP29,510.923699849386,-3.11183694987533,0.217870741883059,8.79587319917229e-47,3.51326721959828e-44,Downregulated,PcB target,ARHGAP29
11,SLIT2,479.803631262113,3.43823331549759,0.244534398563869,2.80059894499676e-45,1.04870761327858e-42,Upregulated,PcB target,SLIT2
12,NT5E,285.760101132116,-5.90118747953329,0.425409082180099,1.37763532226454e-44,4.67200326082696e-42,Downregulated,PcB target,NT5E
13,CDH8,376.692191224155,2.77521253579048,0.200771150724721,2.47805593464171e-44,8.09828679440912e-42,Upregulated,PcB target,CDH8
