,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,DMRTA2,523.923170832472,-5.09909164401931,0.221522217566829,6.82371315431266e-118,6.92743359425822e-114,Downregulated,PcB target,DMRTA2
2,SFRP1,671.658757173415,-5.68661410411978,0.271617540499687,3.88010255669322e-98,1.57563204622198e-94,Downregulated,PcB target,SFRP1
3,GSN,996.987558813967,-2.20273091340349,0.124753585287549,2.1568832229887e-71,3.98121426905113e-68,Downregulated,PcB target,GSN
4,ABLIM1,1572.91711703577,2.39761355351911,0.139683064534538,3.22775881003152e-67,5.04126268299077e-64,Upregulated,PcB target,ABLIM1
5,WLS,2402.79526408905,1.96749193498386,0.117654883975765,6.52377821897647e-65,8.27867455988114e-62,Upregulated,PcB target,WLS
6,MAGEA6,347.412354860506,5.97281480082706,0.37493401084753,4.87901704555403e-58,4.12764842053871e-55,Upregulated,PcB target,MAGEA6
7,HSPA12A,351.116945842277,2.97697416618842,0.190026720216403,9.45267015129252e-56,7.10840795377197e-53,Upregulated,PcB target,HSPA12A
8,RPS6KA2,1046.16865006708,2.07966169957943,0.135500507154991,4.41762098807359e-55,3.09294401868435e-52,Upregulated,PcB target,RPS6KA2
9,EYA4,799.790347207316,-2.84866019905458,0.185175326151487,6.25303435962153e-54,3.96755030117986e-51,Downregulated,PcB target,EYA4
10,LINC01694,235.092491066917,4.633212957718,0.312449501370954,2.74887127652047e-50,1.50846168644518e-47,Upregulated,PcB target,LINC01694
11,PDLIM3,306.644767021359,-2.99526071556616,0.209481192269569,8.15459918187995e-47,3.67935515086423e-44,Downregulated,PcB target,PDLIM3
12,SLIT2,479.803631262113,3.4808122078226,0.244276084260365,2.05590402290556e-46,8.6964740168905e-44,Upregulated,PcB target,SLIT2
13,NT5E,285.760101132116,-3.48080037496847,0.247205646077597,2.27291107267017e-45,9.22983728389902e-43,Downregulated,PcB target,NT5E
14,ITPKB,1892.84488715906,-1.61938922507403,0.119428019193781,2.90674857535775e-44,1.15722790341301e-41,Downregulated,PcB target,ITPKB
15,STOM,467.772332509094,-2.62651807998258,0.191696712698914,1.55088495323507e-43,5.94135246990281e-41,Downregulated,PcB target,STOM
16,LIMS2,165.073826839643,4.75323802552317,0.359164671340424,1.4916685059622e-40,4.80743449921531e-38,Upregulated,PcB target,LIMS2
17,ADARB2,321.128403819339,7.19815001699547,0.559424766336957,3.14402771612602e-39,9.38769687473865e-37,Upregulated,PcB target,ADARB2
18,CDH11,225.326643648136,3.03369633186207,0.235651292961592,2.32493299904372e-38,6.46649857706625e-36,Upregulated,PcB target,CDH11
19,ADIPOR2,954.196467440826,-1.31179737225603,0.10479541978611,5.33796665477811e-38,1.46462263457588e-35,Downregulated,PcB target,ADIPOR2
20,CDH8,376.692191224155,2.52315993488372,0.202176066569578,9.61153404099358e-37,2.40929119960906e-34,Upregulated,PcB target,CDH8
21,TFAP2A,178.533274896873,-5.07457414760282,0.407010630863068,2.46945551653641e-36,6.11461278143356e-34,Downregulated,PcB target,TFAP2A
22,S1PR3,195.331212884121,-3.98967982779838,0.319476367252076,3.38268850006579e-36,8.17644134587332e-34,Downregulated,PcB target,S1PR3
23,ARHGAP29,510.923699849386,-2.57917045520852,0.212730016314657,9.61858516373959e-35,2.21926992232464e-32,Downregulated,PcB target,ARHGAP29
24,ANK1,387.022508081908,-2.86682072927963,0.238819839802438,9.27152548499045e-34,2.0686709170027e-31,Downregulated,PcB target,ANK1
25,COL2A1,746.998205582823,-6.08845701717355,0.510993990154838,1.09841664536806e-33,2.39809156640355e-31,Downregulated,PcB target,COL2A1
26,LMO2,167.88097772281,-6.84276460531477,0.598740715791011,1.81126335698801e-31,3.28356171431112e-29,Downregulated,PcB target,LMO2
27,DYRK3,344.726450627635,-1.78541663978613,0.159792003233907,2.40762102921493e-31,4.3096001609872e-29,Downregulated,PcB target,DYRK3
28,ADAMTS18,135.983619303496,-4.73778097877027,0.410817816620931,2.4196927617836e-31,4.3096001609872e-29,Downregulated,PcB target,ADAMTS18
29,RGS12,1304.72421358952,1.05787660618214,0.0936113370754911,3.1931050185405e-31,5.58903485314193e-29,Upregulated,PcB target,RGS12
30,UCHL1,2791.48952967239,1.19522426907488,0.107176415099112,9.49933741041646e-31,1.62079451076551e-28,Upregulated,PcB target,UCHL1
31,CDKN2A,379.977106262073,1.93715790750865,0.174997136720232,1.1156747635492e-30,1.87212069414074e-28,Upregulated,PcB target,CDKN2A
32,TNFRSF19,322.494908848589,-1.85823183252739,0.173708523334338,5.27313976473026e-29,7.93080220615431e-27,Downregulated,PcB target,TNFRSF19
33,COL9A3,388.542890325366,-3.52366020032883,0.320695548116345,1.90071626716022e-28,2.75658164917294e-26,Downregulated,PcB target,COL9A3
34,ANK3,412.935836415519,1.9083757394042,0.180755996119691,2.69840404578461e-28,3.85833772856414e-26,Upregulated,PcB target,ANK3
35,PERP,119.26005849147,4.31051547797421,0.395857790949681,4.34389175568666e-28,6.04098480873028e-26,Upregulated,PcB target,PERP
36,TACC1,470.10860393755,1.51930143411294,0.148662096960857,7.98526037071805e-27,9.70854650102151e-25,Upregulated,PcB target,TACC1
37,THBS4,353.323229409008,2.14548493696562,0.207830603740616,8.28549385706871e-27,1.00136111472573e-24,Upregulated,PcB target,THBS4
