,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,DMRTA2,523.923170832472,-5.12784752696114,0.222145964632496,-23.0832350947465,6.82371315431266e-118,6.92743359425822e-114,Downregulated,PcB target,DMRTA2
2,SFRP1,671.658757173415,-5.73496487238283,0.272769818263613,-21.0249246375213,3.88010255669322e-98,1.57563204622198e-94,Downregulated,PcB target,SFRP1
3,GSN,996.987558813967,-2.21206821098806,0.123812049173157,-17.866340358315,2.1568832229887e-71,3.98121426905113e-68,Downregulated,PcB target,GSN
4,ABLIM1,1572.91711703577,2.40661542889021,0.138936579023948,17.3216833593937,3.22775881003152e-67,5.04126268299077e-64,Upregulated,PcB target,ABLIM1
5,WLS,2402.79526408905,1.9798224913958,0.116367832090753,17.0134860796562,6.52377821897647e-65,8.27867455988114e-62,Upregulated,PcB target,WLS
6,MAGEA6,347.412354860506,6.0703315190552,0.377982347608521,16.0598280778506,4.87901704555403e-58,4.12764842053871e-55,Upregulated,PcB target,MAGEA6
7,HSPA12A,351.116945842277,2.99004811552689,0.190088262665349,15.7297882236469,9.45267015129252e-56,7.10840795377197e-53,Upregulated,PcB target,HSPA12A
8,RPS6KA2,1046.16865006708,2.09316806434944,0.133904020722035,15.6318537192736,4.41762098807359e-55,3.09294401868435e-52,Upregulated,PcB target,RPS6KA2
9,EYA4,799.790347207316,-2.86107882612462,0.185038227581684,-15.4620959329154,6.25303435962153e-54,3.96755030117986e-51,Downregulated,PcB target,EYA4
10,LINC01694,235.092491066917,4.6854855594378,0.314206549877372,14.912119308991,2.74887127652047e-50,1.50846168644518e-47,Upregulated,PcB target,LINC01694
11,PDLIM3,306.644767021359,-3.01123302313442,0.209571433539715,-14.3685280587813,8.15459918187995e-47,3.67935515086423e-44,Downregulated,PcB target,PDLIM3
12,SLIT2,479.803631262113,3.50484163056103,0.245019524591058,14.3043360989728,2.05590402290556e-46,8.6964740168905e-44,Upregulated,PcB target,SLIT2
13,NT5E,285.760101132116,-3.50541558698743,0.247974737771429,-14.1361802354986,2.27291107267017e-45,9.22983728389902e-43,Downregulated,PcB target,NT5E
14,ITPKB,1892.84488715906,-1.64142248548824,0.117617129697618,-13.9556414079154,2.90674857535775e-44,1.15722790341301e-41,Downregulated,PcB target,ITPKB
15,STOM,467.772332509094,-2.6408143400539,0.190868758290531,-13.835760046357,1.55088495323507e-43,5.94135246990281e-41,Downregulated,PcB target,STOM
16,LIMS2,165.073826839643,4.82435702536975,0.361840919508182,13.3328121980429,1.4916685059622e-40,4.80743449921531e-38,Upregulated,PcB target,LIMS2
17,ADARB2,321.128403819339,7.46512939062603,0.569704844048326,13.103503452031,3.14402771612602e-39,9.38769687473865e-37,Upregulated,PcB target,ADARB2
18,CDH11,225.326643648136,3.05408873551066,0.235822249921885,12.9508082317182,2.32493299904372e-38,6.46649857706625e-36,Upregulated,PcB target,CDH11
19,ADIPOR2,954.196467440826,-1.33595573869217,0.10366813444387,-12.8868503890702,5.33796665477811e-38,1.46462263457588e-35,Downregulated,PcB target,ADIPOR2
20,CDH8,376.692191224155,2.54032800172434,0.200627340683729,12.6619233104871,9.61153404099358e-37,2.40929119960906e-34,Upregulated,PcB target,CDH8
21,TFAP2A,178.533274896873,-5.17249355457449,0.410918442701029,-12.5876403126978,2.46945551653641e-36,6.11461278143356e-34,Downregulated,PcB target,TFAP2A
22,S1PR3,195.331212884121,-4.03678528994123,0.321329176341773,-12.5627723442319,3.38268850006579e-36,8.17644134587332e-34,Downregulated,PcB target,S1PR3
23,ARHGAP29,510.923699849386,-2.59749015305001,0.211261475887524,-12.2951434573567,9.61858516373959e-35,2.21926992232464e-32,Downregulated,PcB target,ARHGAP29
24,ANK1,387.022508081908,-2.88778644900634,0.238449448892265,-12.1106861954254,9.27152548499045e-34,2.0686709170027e-31,Downregulated,PcB target,ANK1
25,COL2A1,746.998205582823,-6.27572008736994,0.518792809708419,-12.0967753791675,1.09841664536806e-33,2.39809156640355e-31,Downregulated,PcB target,COL2A1
26,LMO2,167.88097772281,-7.13506718126833,0.611395200371301,-11.670139341845,1.81126335698801e-31,3.28356171431112e-29,Downregulated,PcB target,LMO2
27,DYRK3,344.726450627635,-1.81584541447674,0.155921412448056,-11.6459015215865,2.40762102921493e-31,4.3096001609872e-29,Downregulated,PcB target,DYRK3
28,ADAMTS18,135.983619303496,-4.83095443222969,0.414835321745083,-11.6454751536281,2.4196927617836e-31,4.3096001609872e-29,Downregulated,PcB target,ADAMTS18
29,RGS12,1304.72421358952,1.08121546604259,0.0930333358490075,11.6218069165809,3.1931050185405e-31,5.58903485314193e-29,Upregulated,PcB target,RGS12
30,UCHL1,2791.48952967239,1.22301201329592,0.106087738021371,11.5283070042416,9.49933741041646e-31,1.62079451076551e-28,Upregulated,PcB target,UCHL1
31,CDKN2A,379.977106262073,1.96573556306783,0.170718996403896,11.5144512589401,1.1156747635492e-30,1.87212069414074e-28,Upregulated,PcB target,CDKN2A
32,TNFRSF19,322.494908848589,-1.8901915010848,0.169111462574231,-11.1771932683457,5.27313976473026e-29,7.93080220615431e-27,Downregulated,PcB target,TNFRSF19
33,COL9A3,388.542890325366,-3.5658401174806,0.322327114745918,-11.0627991079542,1.90071626716022e-28,2.75658164917294e-26,Downregulated,PcB target,COL9A3
34,ANK3,412.935836415519,1.94028119187647,0.175888215611703,11.0313313778787,2.69840404578461e-28,3.85833772856414e-26,Upregulated,PcB target,ANK3
35,PERP,119.26005849147,4.38912333504666,0.399431132302262,10.988435752988,4.34389175568666e-28,6.04098480873028e-26,Upregulated,PcB target,PERP
36,TACC1,470.10860393755,1.55748155203113,0.145254153719746,10.7224579273384,7.98526037071805e-27,9.70854650102151e-25,Upregulated,PcB target,TACC1
37,THBS4,353.323229409008,2.17447113663087,0.202860540480865,10.7190443813097,8.28549385706871e-27,1.00136111472573e-24,Upregulated,PcB target,THBS4
38,B4GALNT3,129.357889866741,-6.3539724019209,0.593715387082554,-10.7020510840111,9.95498914290241e-27,1.18897705622053e-24,Downregulated,PcB target,B4GALNT3
39,TRIO,2950.30604186806,1.25053926778991,0.118117519121793,10.5872463042545,3.41489973730614e-26,3.83072509758364e-24,Upregulated,PcB target,TRIO
40,EBF3,491.135937789852,1.49857068381632,0.145907067484357,10.2707203266695,9.54889874955697e-25,9.31882956690723e-23,Upregulated,PcB target,EBF3
41,NTRK2,145.717224770238,3.04337787389158,0.302146036329756,10.0725394609185,7.30667104987281e-24,6.62297540163471e-22,Upregulated,PcB target,NTRK2
42,NRN1,384.808163178503,-2.38642020430348,0.237133517786607,-10.0636140625678,8.00062119351155e-24,7.18781472181675e-22,Downregulated,PcB target,NRN1
43,GJC1,417.442117009069,-1.42984975598787,0.142426220345977,-10.0392312069683,1.02469651945213e-23,9.04584266563309e-22,Downregulated,PcB target,GJC1
44,CCND2,2303.18435034278,-0.918557316494211,0.0920495468013182,-9.97894447516233,1.8846087709015e-23,1.60777716320941e-21,Downregulated,PcB target,CCND2
45,CTSB,1467.0650725396,1.46494756178236,0.146812860279876,9.97833268141261,1.8962632819781e-23,1.61095103252232e-21,Upregulated,PcB target,CTSB
46,FZD8,93.2919523948358,-5.61294066574325,0.566324013196293,-9.91118252970451,3.72214255556166e-23,3.1100568908693e-21,Downregulated,PcB target,FZD8
47,EGFR,629.665599567717,-1.19098153877431,0.120744250290026,-9.86367082418907,5.98214745992445e-23,4.91747052738081e-21,Downregulated,PcB target,EGFR
48,YBX3,1894.06059629086,-0.979563257453934,0.0999309326080426,-9.80240283852907,1.09938731791573e-22,8.71951566521911e-21,Downregulated,PcB target,YBX3
49,OTULINL,322.325809307162,4.50122284229206,0.460708183210352,9.7702255057121,1.51115339074447e-22,1.17108620021663e-20,Upregulated,PcB target,OTULINL
50,RUNX1,245.637679130731,-2.13548591244636,0.21975580125481,-9.7175405620816,2.53838431981165e-22,1.91596116094631e-20,Downregulated,PcB target,RUNX1
51,PDE8B,233.132476697872,2.27550982443149,0.235927014039282,9.64497361057864,5.16244712002599e-22,3.81157550272755e-20,Upregulated,PcB target,PDE8B
52,JAZF1,111.302726122733,2.79761778799972,0.291375293846614,9.6014241669798,7.88473255520635e-22,5.73805053049856e-20,Upregulated,PcB target,JAZF1
53,RAB6A,1920.40650744812,0.756940263036871,0.0796697989237831,9.50096866393506,2.07946831220895e-21,1.44100766590753e-19,Upregulated,PcB target,RAB6A
54,GLIPR2,494.881404040051,1.27538325684361,0.134722686774915,9.46672967541409,2.88742107470712e-21,1.98732872884249e-19,Upregulated,PcB target,GLIPR2
55,RCAN2,504.66523783184,2.08699990057757,0.221187550877482,9.43543111851526,3.89389619864692e-21,2.64420295710124e-19,Upregulated,PcB target,RCAN2
56,SLC1A2,345.139884338639,-5.47728829166373,0.582203614584194,-9.40785689827016,5.0635555831594e-21,3.35981805753165e-19,Downregulated,PcB target,SLC1A2
57,EYA2,123.035446931709,3.60219229879424,0.383851485959925,9.38433855423532,6.3312572743149e-21,4.13343561728906e-19,Upregulated,PcB target,EYA2
58,SVIL,2068.66232610493,-1.18059582944692,0.12821739546688,-9.20776642785483,3.32981312953357e-20,2.04255364900452e-18,Downregulated,PcB target,SVIL
