,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.01606599582894,0.131002949554082,6.53422553251512e-118,3.19000890497388e-114,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.39114731213972,0.208415085304437,3.54524909639293e-99,1.15386040590602e-95,Upregulated,PcB target,EYA4
3,ITPKB,1892.84488715906,2.37034742504413,0.118424476191268,5.23654886582898e-90,1.4608475178844e-86,Upregulated,PcB target,ITPKB
4,SFRP1,671.658757173415,7.28250617654356,0.37327336554741,6.17146706467746e-86,1.20516408839021e-82,Upregulated,PcB target,SFRP1
5,ANK1,387.022508081908,4.56572292239941,0.264109821297033,1.32487529314338e-67,1.36169288023705e-64,Upregulated,PcB target,ANK1
6,DMRTA2,523.923170832472,7.43445486810688,0.449909639281011,1.46789080639902e-62,1.14659886669441e-59,Upregulated,PcB target,DMRTA2
7,NT5E,285.760101132116,6.76609673114201,0.411920997575649,1.18186721298415e-61,8.87673189813637e-59,Upregulated,PcB target,NT5E
8,PCDH1,289.425689217522,4.65329651504988,0.295361542150435,1.41326273477816e-56,8.62443583898371e-54,Upregulated,PcB target,PCDH1
9,CHST2,258.381846032204,3.58975318292693,0.238567844611658,8.4429894159982e-52,4.22755634142597e-49,Upregulated,PcB target,CHST2
10,VCAN,872.190900896411,-2.73078581945008,0.183728350282673,1.24481485046665e-50,6.07718609997818e-48,Downregulated,PcB target,VCAN
11,RAB29,194.42488404359,3.826083869829,0.262452074942872,9.04734382088557e-49,4.01537568486939e-46,Upregulated,PcB target,RAB29
12,PDLIM3,306.644767021359,6.23795241089175,0.431268343054382,2.57129469090315e-48,1.11582761608793e-45,Upregulated,PcB target,PDLIM3
13,ARHGAP29,510.923699849386,3.14208133556748,0.216706107562568,2.85392995258561e-48,1.21155530682808e-45,Upregulated,PcB target,ARHGAP29
14,MAGEA6,347.412354860506,-7.06959033794203,0.495859283848478,3.06333390211252e-47,1.24626634250944e-44,Downregulated,PcB target,MAGEA6
15,CDH11,225.326643648136,-3.50859259136896,0.245844040106322,7.66815932883853e-47,2.9361532426188e-44,Downregulated,PcB target,CDH11
16,STOM,467.772332509094,2.68874065738315,0.189816310003451,3.15331540502738e-46,1.14033228202546e-43,Upregulated,PcB target,STOM
