,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.02349631464606,0.130971712085819,23.0851094980335,6.53422553251512e-118,3.19000890497388e-114,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.41140281791411,0.2086936477579,21.1381748572993,3.54524909639293e-99,1.15386040590602e-95,Upregulated,PcB target,EYA4
3,ITPKB,1892.84488715906,2.37731449442095,0.118174305794899,20.1170167950636,5.23654886582898e-90,1.4608475178844e-86,Upregulated,PcB target,ITPKB
4,SFRP1,671.658757173415,7.38414228747517,0.375846736939794,19.6466845704131,6.17146706467746e-86,1.20516408839021e-82,Upregulated,PcB target,SFRP1
5,ANK1,387.022508081908,4.59913782361509,0.264731392044944,17.3728464466892,1.32487529314338e-67,1.36169288023705e-64,Upregulated,PcB target,ANK1
6,DMRTA2,523.923170832472,7.58612761615301,0.454443147724578,16.6932379861753,1.46789080639902e-62,1.14659886669441e-59,Upregulated,PcB target,DMRTA2
7,NT5E,285.760101132116,6.88154335236281,0.415344835918418,16.5682651071036,1.18186721298415e-61,8.87673189813637e-59,Upregulated,PcB target,NT5E
8,PCDH1,289.425689217522,4.69569724178374,0.296264713102382,15.8496676590743,1.41326273477816e-56,8.62443583898371e-54,Upregulated,PcB target,PCDH1
9,CHST2,258.381846032204,3.61437395547529,0.238684665797547,15.1428829472481,8.4429894159982e-52,4.22755634142597e-49,Upregulated,PcB target,CHST2
10,VCAN,872.190900896411,-2.74586927122069,0.18348711881171,-14.9649157336131,1.24481485046665e-50,6.07718609997818e-48,Downregulated,PcB target,VCAN
11,RAB29,194.42488404359,3.8563565338588,0.262747831101728,14.6770251830004,9.04734382088557e-49,4.01537568486939e-46,Upregulated,PcB target,RAB29
12,PDLIM3,306.644767021359,6.35508422334567,0.435100527907013,14.6060135893557,2.57129469090315e-48,1.11582761608793e-45,Upregulated,PcB target,PDLIM3
13,ARHGAP29,510.923699849386,3.1623352236942,0.216614551309992,14.5989048499732,2.85392995258561e-48,1.21155530682808e-45,Upregulated,PcB target,ARHGAP29
14,MAGEA6,347.412354860506,-7.24562183438382,0.5019069543179,-14.4361853766915,3.06333390211252e-47,1.24626634250944e-44,Downregulated,PcB target,MAGEA6
