,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,WLS,2402.79526408905,1.11933021198809,0.118550332734871,3.20919689037162e-23,2.13620191007587e-19,Upregulated,PcB target,WLS
2,CDKN2A,379.977106262073,1.37476660711998,0.171794880147521,1.76428490075561e-17,7.82930829458646e-14,Upregulated,PcB target,CDKN2A
3,MAN1A1,469.065453842369,1.38627841142703,0.197905110704131,2.68588366950252e-14,5.95952821534783e-11,Upregulated,PcB target,MAN1A1
4,BACH2,734.457420744197,1.00393575317392,0.15712557814736,3.23158129091426e-13,5.37775521574269e-10,Upregulated,PcB target,BACH2
5,EGFR,629.665599567717,0.625401536009516,0.116926317362307,2.52484591366638e-10,2.24088490990937e-07,Upregulated,PcB target,EGFR
6,VGLL2,1677.74286410863,0.739621634290649,0.182299715900648,5.65530013094014e-08,2.50963368810687e-05,Upregulated,PcB target,VGLL2
7,NT5E,285.760101132116,0.765532481999291,0.218840477925285,4.44393930593532e-07,0.000131893532445689,Upregulated,PcB target,NT5E
8,EPB41L4A,301.030607201873,0.677802246124339,0.190328432102803,5.01096289353028e-07,0.000145023802177323,Upregulated,PcB target,EPB41L4A
9,GPC4,1386.16469923904,0.659978812222884,0.186485456944218,5.95831655471429e-07,0.000165256392276899,Upregulated,PcB target,GPC4
10,FN1,515.274087567928,1.08462542603798,0.343096757235803,9.67393346126608e-07,0.000257578152339671,Upregulated,PcB target,FN1
11,CKAP4,1027.16696624808,0.421268826607378,0.123202463354007,5.33702101786949e-06,0.000986830011262452,NS,PcB target,NA
12,FAM131B,566.005495769696,0.560792310513852,0.195570503020096,1.02334075231334e-05,0.0015841552832032,NS,PcB target,NA
13,TMEM97,866.087301536212,-0.480205923689338,0.161257198359639,1.40642557595241e-05,0.00201814406809815,NS,PcB target,NA
14,EBF3,491.135937789852,0.464127760843152,0.162860712916353,2.43650888648514e-05,0.00297964827648749,NS,PcB target,NA
15,ADORA1,357.25339154604,-0.538332631111059,0.208811277132535,2.8055355333602e-05,0.00330531810226764,NS,PcB target,NA
16,BAHD1,893.77613455789,0.404945956512586,0.135786330773956,2.94831969706059e-05,0.00341312870669283,NS,PcB target,NA
17,CTSB,1467.0650725396,0.445709745362984,0.159003125895295,3.36663756274187e-05,0.00376639040947752,NS,PcB target,NA
18,CD276,1944.72839769805,0.386985103487237,0.129005771077082,3.44125889573458e-05,0.00381778997324287,NS,PcB target,NA
19,TEX15,164.456925648811,-0.659877040600165,0.313706111231615,4.34987514449574e-05,0.00437214654831778,Downregulated,PcB target,TEX15
20,MED13L,986.269483872648,0.360879286235831,0.119446048046558,4.50218205426035e-05,0.00445492101352152,NS,PcB target,NA
21,ANKS1B,394.744794598237,0.549308016337783,0.233109262878071,4.64548995281208e-05,0.004547456451602,NS,PcB target,NA
22,COL12A1,280.377738471389,0.779476539930142,0.596540372101559,6.53748091770171e-05,0.00563832419119947,Upregulated,PcB target,COL12A1
23,ANK3,412.935836415519,0.486245446846514,0.200236119986327,6.56456283058602e-05,0.00563832419119947,NS,PcB target,NA
24,MEIS3,585.882710081652,0.458933776636924,0.187227794175676,8.03978358924431e-05,0.00660701474837096,NS,PcB target,NA
25,SMPD1,163.784827034181,0.56129865082536,0.275862028506118,9.23361371915699e-05,0.00733887800114863,NS,PcB target,NA
26,ETS1,283.677593142519,0.552832950328545,0.268404566272537,9.27407599716766e-05,0.00733887800114863,NS,PcB target,NA
27,PRPS2,289.107483428252,-0.418663640219194,0.164593176430907,9.57259194863016e-05,0.00740929747744845,NS,PcB target,NA
28,DYRK3,344.726450627635,-0.396912178889568,0.151949662731446,0.000101354204027116,0.00758049729333144,NS,PcB target,NA
29,WNT7B,166.464699100621,-0.683703770159075,0.434602825142968,0.000108391888019224,0.00792868794065896,Downregulated,PcB target,WNT7B
30,BRPF3,826.399227354098,0.339998950599088,0.120514913536475,0.000115446304545029,0.00826310028176326,NS,PcB target,NA
31,TPBG,382.415060801528,0.438020960670002,0.184162356339468,0.000120624472003113,0.00845196629356548,NS,PcB target,NA
32,PFKP,2182.85910931124,-0.312628695139363,0.108594253599425,0.000148509156150956,0.00978415859976394,NS,PcB target,NA
33,ETNK2,274.981839991156,0.44040753958013,0.194843957535826,0.000158024949937091,0.01011435653131,NS,PcB target,NA
34,SLCO4A1-AS1,54.2511672578787,-0.611657181834516,0.452321827128194,0.000207846265422459,0.0119786031669662,Downregulated,PcB target,SLCO4A1-AS1
35,RAB15,126.337403385515,0.510383400474118,0.287787821388382,0.000233068189256802,0.0128216396841976,NS,PcB target,NA
36,THBS4,353.323229409008,0.454109605254411,0.227058627095016,0.00024733344926773,0.0131710008404052,NS,PcB target,NA
37,NCOR2,3055.23420197651,0.366636475381013,0.151607715114968,0.000253066522268016,0.0133693436942623,NS,PcB target,NA
38,SCPEP1,206.450280261793,0.452309962382532,0.226243710180783,0.000252248436916358,0.0133693436942623,NS,PcB target,NA
39,LMO2,167.88097772281,-0.4068049338543,0.184195588248083,0.000259860251002773,0.0135667432219604,NS,PcB target,NA
40,ABHD4,892.948755833062,0.426710651412487,0.203686934407385,0.000268842007516455,0.0139264344204925,NS,PcB target,NA
41,PDE8B,233.132476697872,0.478999550180789,0.271895848538315,0.00031102434234796,0.0149572096905324,NS,PcB target,NA
42,HMGA2,398.246995652245,0.382779635531565,0.170092891137267,0.000314392198274512,0.0150557673943474,NS,PcB target,NA
43,OSR2,81.9987502877867,-0.365895004811524,0.51038449351975,0.00032285395853335,0.0153010940788857,NS,PcB target,NA
44,ZNF423,685.53808455581,0.339971999497387,0.138263018008553,0.000328385267078983,0.0153936375374031,NS,PcB target,NA
45,ACVR1,163.651916072031,0.434549812185263,0.230229784974081,0.000379320151541284,0.017294095223331,NS,PcB target,NA
46,RCAN2,504.66523783184,0.443255230273375,0.24152889597537,0.000382563146704858,0.017294095223331,NS,PcB target,NA
47,MDGA1,94.8723503405282,0.528894003839171,0.412804762803694,0.000389499889519568,0.0174592997615286,NS,PcB target,NA
48,OSBP2,67.1564161587224,0.526732364579641,0.421175882952016,0.000400414408193833,0.0176513808486242,NS,PcB target,NA
49,BCORL1,222.211868016879,0.395598934466295,0.191907848107596,0.000413526703780441,0.0179911144033628,NS,PcB target,NA
50,HDAC9,863.210130449971,0.377882278598301,0.176248477896756,0.000428964270998503,0.0185415627915684,NS,PcB target,NA
51,CDKN2B,48.7915998323732,0.459708998848497,0.498606295493938,0.000462286698289428,0.019353530862664,NS,PcB target,NA
52,ITPKB,1892.84488715906,0.287255818227446,0.109921530934159,0.000497606813250132,0.0200022984148574,NS,PcB target,NA
53,ADGRA2,362.957176583794,-0.35780613354017,0.163664270216007,0.000506391503663716,0.0201931207346081,NS,PcB target,NA
54,ZNF618,458.903025899988,0.315177361704218,0.129667180924979,0.000513669325768539,0.0202922247298414,NS,PcB target,NA
55,COL9A3,388.542890325366,-0.474781970034245,0.328714756893489,0.000522081641669586,0.0204338841965676,NS,PcB target,NA
56,CDON,161.571876096711,0.409297969495231,0.222381339730133,0.000545937652581444,0.0207391410115891,NS,PcB target,NA
