,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,FAM41C,0.333851606623279,-7.04628213122305e-07,0.00558296856662634,0.857969376241281,1,NS,PcB target,NA
2,SAMD11,220.364239828292,-8.44243169395372e-05,0.00558066215713115,0.598753777632131,1,NS,PcB target,NA
3,KLHL17,143.178068955403,6.0535957160557e-05,0.00558167693749071,0.614295000685623,1,NS,PcB target,NA
4,PLEKHN1,3.58383385891865,-1.30261780397064e-05,0.00558293510853291,0.509010687078766,1,NS,PcB target,NA
5,PERM1,1.30166532806867,5.75814425601224e-06,0.00558295834752001,0.613007092687838,1,NS,PcB target,NA
6,ISG15,333.044441017627,-0.000350233958180996,0.00558025604771104,0.04409840476846,1,NS,PcB target,NA
7,LOC100288175,7.01654206495136,4.31667340339556e-07,0.00558290185665321,0.987510009051839,1,NS,PcB target,NA
8,RNF223,0.69742677017827,2.28132558604692e-06,0.0055829658522614,0.736074906062039,1,NS,PcB target,NA
9,C1orf159,251.55151644887,0.00024971045800991,0.00558094103944368,0.0969557276636187,1,NS,PcB target,NA
10,TTLL10,1.7392998072335,-2.22310698034293e-05,0.00558295336517373,0.102384492800638,1,NS,PcB target,NA
11,TNFRSF18,1.10661894956092,1.26536225270298e-06,0.00558295842383792,0.911208374349557,1,NS,PcB target,NA
12,SDF4,2238.90482123054,-0.000156098105165143,0.00557637808775184,0.56446761530622,1,NS,PcB target,NA
13,C1QTNF12,5.50784954289656,1.96284626000374e-05,0.00558292691337997,0.370593906239688,1,NS,PcB target,NA
14,ATAD3C,3.07156791395054,9.76200604623549e-06,0.0055829354804842,0.618794149782106,1,NS,PcB target,NA
15,ATAD3B,479.693478662751,0.000166996679965606,0.00557909199999629,0.421845992682068,1,NS,PcB target,NA
16,SSU72,1382.73618079939,0.000210007341865389,0.0055755229243837,0.465701490386848,1,NS,PcB target,NA
17,CFAP74,3.05871444114949,1.1140708209745e-05,0.00558293883994077,0.550040655227192,1,NS,PcB target,NA
18,GABRD,0.623626824868811,0,0.00558296760417177,1,1,NS,PcB target,NA
19,MEGF6,136.135748727977,8.35355469263249e-06,0.00558233118739973,0.921196320888711,1,NS,PcB target,NA
20,TP73,83.2730767526953,5.71450556904938e-05,0.00558205673898141,0.571379052714905,1,NS,PcB target,NA
21,HES3,2.89081224459832,0,0.0055829547072214,1,1,NS,PcB target,NA
22,LINC01672,0.0865049811293523,0,0.00558296904515939,1,1,NS,PcB target,NA
23,CAMTA1,545.811423009138,-0.00016635188818032,0.00557773624828626,0.490857910899866,1,NS,PcB target,NA
24,VAMP3,532.668075669498,-0.000336385269588622,0.00557800032315896,0.15283554183987,1,NS,PcB target,NA
25,TNFRSF9,2.29990965130406,0,0.00558295785856295,1,1,NS,PcB target,NA
26,PARK7,3437.56866646589,-0.000218344039107444,0.00557341095277007,0.503012361354574,1,NS,PcB target,NA
27,ERRFI1,775.086956183499,-0.000113906890701535,0.00558003747008928,0.528761851680232,1,NS,PcB target,NA
28,SLC45A1,9.77412592895216,-9.52259173996566e-06,0.00558288025710473,0.763489236484624,1,NS,PcB target,NA
29,MIR34AHG,1.82496053232603,6.08738310682427e-06,0.00558295798208917,0.598553129234284,1,NS,PcB target,NA
30,H6PD,486.763757611383,8.26510712776001e-05,0.00557940941083729,0.678253201499535,1,NS,PcB target,NA
31,PIK3CD,84.4246731214277,0.000154167196660071,0.00558198199199375,0.142063823019179,1,NS,PcB target,NA
32,CASZ1,31.9043975399408,4.86626308896233e-05,0.00558262881199827,0.430392444821318,1,NS,PcB target,NA
33,C1orf127,1.92997407659036,1.08469396449701e-05,0.00558295418756746,0.413650821822238,1,NS,PcB target,NA
34,DRAXIN,367.41153129123,4.45549826797524e-05,0.0055817049607251,0.707662971263841,1,NS,PcB target,NA
35,C1orf167,105.654022763756,7.74636983645079e-05,0.00558168365878202,0.517920282181061,1,NS,PcB target,NA
36,TNFRSF8,4.1014586515077,-1.14937838617457e-05,0.00558294922152663,0.450004728995771,1,NS,PcB target,NA
37,DHRS3,1.2449355071449,3.85296829887384e-06,0.00558295888996298,0.72886585059167,1,NS,PcB target,NA
38,TMEM51,197.869054642941,-0.000144097848171537,0.0055814482724332,0.268791918018134,1,NS,PcB target,NA
39,FHAD1,108.681890436955,-0.000123862506939343,0.0055823250531849,0.144331404183468,1,NS,PcB target,NA
