,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,FAM41C,0.333851606623279,-1.41670893641379,7.91635908024906,-0.178959660881024,0.857969376241281,1,NS,PcB target,NA
2,SAMD11,220.364239828292,-0.102139763431237,0.194110656308305,-0.526193488671786,0.598753777632131,1,NS,PcB target,NA
3,KLHL17,143.178068955403,0.130705718273181,0.259361365202483,0.503952152515619,0.614295000685623,1,NS,PcB target,NA
4,PLEKHN1,3.58383385891865,-1.04350509177642,1.58016108236533,-0.660378934414969,0.509010687078766,1,NS,PcB target,NA
5,PERM1,1.30166532806867,1.3847754044749,2.73786977877869,0.505785708001286,0.613007092687838,1,NS,PcB target,NA
6,ISG15,333.044441017627,-0.360333055811402,0.178989293169382,-2.01315424755831,0.04409840476846,1,NS,PcB target,NA
7,LOC100288175,7.01654206495136,0.017694993016135,1.13034390114751,0.0156545216001708,0.987510009051839,1,NS,PcB target,NA
8,RNF223,0.69742677017827,1.55219415154,4.60515611356856,0.337055707398636,0.736074906062039,1,NS,PcB target,NA
9,C1orf159,251.55151644887,0.34362675384116,0.207029652661631,1.65979486234652,0.0969557276636187,1,NS,PcB target,NA
10,TTLL10,1.7392998072335,-3.74070761098429,2.29013297802795,-1.6334019233265,0.102384492800638,1,NS,PcB target,NA
11,TNFRSF18,1.10661894956092,0.306320831993758,2.74691501167697,0.111514491963387,0.911208374349557,1,NS,PcB target,NA
12,SDF4,2238.90482123054,-0.0661425501840627,0.11478730619761,-0.576218332628141,0.56446761530622,1,NS,PcB target,NA
13,C1QTNF12,5.50784954289656,1.27301750157825,1.42179174154482,0.895361440343635,0.370593906239688,1,NS,PcB target,NA
14,ATAD3C,3.07156791395054,0.790455081349344,1.58866259634427,0.497560075480024,0.618794149782106,1,NS,PcB target,NA
15,ATAD3B,479.693478662751,0.120251699002011,0.149711518393494,0.803222759961245,0.421845992682068,1,NS,PcB target,NA
16,SSU72,1382.73618079939,0.078772817222609,0.107983290112496,0.729490804924947,0.465701490386848,1,NS,PcB target,NA
17,CFAP74,3.05871444114949,0.999489644829386,1.67222849634478,0.597699206187496,0.550040655227192,1,NS,PcB target,NA
18,GABRD,0.623626824868811,0,6.08372925223551,0,1,1,NS,PcB target,NA
19,MEGF6,136.135748727977,0.0365080437971109,0.369040661351095,0.0989268869816438,0.921196320888711,1,NS,PcB target,NA
20,TP73,83.2730767526953,0.174693176733602,0.308633374726272,0.566021665312567,0.571379052714905,1,NS,PcB target,NA
21,HES3,2.89081224459832,0,2.38879223385047,0,1,1,NS,PcB target,NA
22,LINC01672,0.0865049811293523,0,9.77898619025823,0,1,1,NS,PcB target,NA
23,CAMTA1,545.811423009138,-0.0887681677991928,0.128846532329435,-0.688944950200369,0.490857910899866,1,NS,PcB target,NA
24,VAMP3,532.668075669498,-0.189034633857855,0.132230226084555,-1.42958716365633,0.15283554183987,1,NS,PcB target,NA
25,TNFRSF9,2.29990965130406,0,2.68196444861197,0,1,1,NS,PcB target,NA
26,PARK7,3437.56866646589,-0.063816946955736,0.0952836551078406,-0.6697575453367,0.503012361354574,1,NS,PcB target,NA
27,ERRFI1,775.086956183499,-0.108458495270816,0.172184440639024,-0.629897189712942,0.528761851680232,1,NS,PcB target,NA
28,SLC45A1,9.77412592895216,-0.296354527735859,0.984887246809495,-0.300901985172301,0.763489236484624,1,NS,PcB target,NA
29,MIR34AHG,1.82496053232603,1.41927213353977,2.69576406521077,0.526482325310173,0.598553129234284,1,NS,PcB target,NA
30,H6PD,486.763757611383,0.0648195348039314,0.156248890455551,0.414847968615629,0.678253201499535,1,NS,PcB target,NA
31,PIK3CD,84.4246731214277,0.43563724587919,0.296725551204002,1.46814874590858,0.142063823019179,1,NS,PcB target,NA
32,CASZ1,31.9043975399408,0.39820586115896,0.505003960690569,0.788520273414158,0.430392444821318,1,NS,PcB target,NA
33,C1orf127,1.92997407659036,1.92035452256373,2.34909812702237,0.817485868501333,0.413650821822238,1,NS,PcB target,NA
34,DRAXIN,367.41153129123,0.0983313969907245,0.262219413526132,0.374996632279955,0.707662971263841,1,NS,PcB target,NA
35,C1orf167,105.654022763756,0.168128970564049,0.26003833840105,0.64655454883252,0.517920282181061,1,NS,PcB target,NA
36,TNFRSF8,4.1014586515077,-1.54748519661828,2.04854456584841,-0.755407142425229,0.450004728995771,1,NS,PcB target,NA
37,DHRS3,1.2449355071449,0.972024560745102,2.80417640918146,0.346634597439195,0.72886585059167,1,NS,PcB target,NA
38,TMEM51,197.869054642941,-0.264379579176018,0.239073868987443,-1.10584891730641,0.268791918018134,1,NS,PcB target,NA
39,FHAD1,108.681890436955,-0.536175082599654,0.3672810338353,-1.45984963340114,0.144331404183468,1,NS,PcB target,NA
40,EFHD2,541.989677061856,0.043838934318473,0.163089185072431,0.268803442110543,0.788080944384619,1,NS,PcB target,NA
41,CLCNKA,0.209252241490355,0,9.77898618943198,0,1,1,NS,PcB target,NA
42,CLCNKB,0.543400593910495,-1.43859541309148,5.13045443873705,-0.28040311638468,0.779168246387247,1,NS,PcB target,NA
43,LINC01783,3.73200376495436,0.286617824191364,1.23831521351635,0.231457888155534,0.816959097583203,1,NS,PcB target,NA
44,NBPF1,222.692584371358,0.162191576720777,0.209564257004561,0.773946755229575,0.438962278763255,1,NS,PcB target,NA
45,ESPNP,0.413449357547256,0,6.34929480677128,0,1,1,NS,PcB target,NA
46,LOC105376805,0.0915223218543122,0,9.77898619018326,0,1,1,NS,PcB target,NA
47,RNU1-2,1.64785530233918,0.947079960036786,2.5574943381488,0.37031556469537,0.711147377935005,1,NS,PcB target,NA
48,RCC2,2559.1180069179,0.118500669052312,0.115981212542422,1.02172297094211,0.306912035839132,1,NS,PcB target,NA
49,PAX7,0.724424439589608,-1.62894169000741,3.99675907131981,-0.407565645299079,0.683592590571652,1,NS,PcB target,NA
50,IFFO2,547.64713555271,-0.0947545523764687,0.14191515031401,-0.667684543664361,0.504334978250382,1,NS,PcB target,NA
51,CAMK2N1,121.132682439765,0.308042558597432,0.247961377114589,1.24230056382965,0.214125687415629,1,NS,PcB target,NA
52,NBPF3,137.752271556953,-0.348384241150993,0.234587527084299,-1.48509277317971,0.137519250208074,1,NS,PcB target,NA
