,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-2.78477853327604,0.128992228770203,4.60881567366839e-104,1.80001904950792e-100,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-4.0098946016468,0.201408275857036,1.34559116292387e-88,2.91963380328638e-85,Downregulated,PcB target,EYA4
3,DMRTA2,523.923170832472,-6.99389821397502,0.37180925401526,2.65691626601796e-80,5.18842608427988e-77,Downregulated,PcB target,DMRTA2
4,ABLIM1,1572.91711703577,2.41262760609477,0.139862802834964,3.87829733645627e-68,5.04902602575453e-65,Upregulated,PcB target,ABLIM1
5,SFRP1,671.658757173415,-7.46804779235458,0.443710889422724,3.4126617397611e-65,4.16515365337842e-62,Downregulated,PcB target,SFRP1
6,MAGEA6,347.412354860506,5.98258462365305,0.375473824402053,4.21680123133409e-58,3.16714209405739e-55,Upregulated,PcB target,MAGEA6
7,ITPKB,1892.84488715906,-1.75140548821871,0.119174813797922,6.62550753369226e-51,3.92069427630128e-48,Downregulated,PcB target,ITPKB
8,PCDH1,289.425689217522,-3.79283016112475,0.255434799205852,3.03392393298263e-50,1.74254313421426e-47,Downregulated,PcB target,PCDH1
9,RIMS4,1156.42645197058,-2.71497932797495,0.18538962277325,1.98728705759218e-49,1.02125635949105e-46,Downregulated,PcB target,RIMS4
10,ARHGAP29,510.923699849386,-3.20079320509669,0.218713076961975,6.67323615335997e-49,3.25787389007034e-46,Downregulated,PcB target,ARHGAP29
11,PDLIM3,306.644767021359,-6.48045819850416,0.446587536473867,7.38281552730701e-49,3.51638101505491e-46,Downregulated,PcB target,PDLIM3
12,RAB29,194.42488404359,-4.26809284125523,0.292809810074816,1.38919890668298e-48,6.45911339278696e-46,Downregulated,PcB target,RAB29
13,SLIT2,479.803631262113,3.5288833817845,0.244215352558769,1.11764078890881e-47,4.74462811430681e-45,Upregulated,PcB target,SLIT2
14,CDH8,376.692191224155,2.84190418081627,0.200111149451788,1.83936927925927e-46,7.183840657075e-44,Upregulated,PcB target,CDH8
15,ANK1,387.022508081908,-3.63784990616838,0.255495656208254,2.33076672066571e-46,8.75292548483848e-44,Downregulated,PcB target,ANK1
16,HSPA12A,351.116945842277,2.70344676169678,0.19170147685815,4.69853863667417e-46,1.73118985843346e-43,Upregulated,PcB target,HSPA12A
17,STOM,467.772332509094,-2.67220881649256,0.192149083135278,6.44222906394117e-45,2.20708507299374e-42,Downregulated,PcB target,STOM
18,NT5E,285.760101132116,-6.02302298582592,0.438716741215231,7.39213600152792e-44,2.32828438448124e-41,Downregulated,PcB target,NT5E
19,CCND2,2303.18435034278,-1.27332348387186,0.0936312327461423,7.67565859529686e-44,2.37921049284059e-41,Downregulated,PcB target,CCND2
20,CAVIN1,930.208149203013,-4.56209932258342,0.332550455411278,2.35058049459229e-43,7.06186706129202e-41,Downregulated,PcB target,CAVIN1
21,LINC01694,235.092491066917,4.2581345316377,0.313418680953864,1.69635323595708e-42,4.94423671518954e-40,Upregulated,PcB target,LINC01694
22,VCAN,872.190900896411,2.4606409084242,0.184283227531716,4.69331734902074e-42,1.32827682886488e-39,Upregulated,PcB target,VCAN
23,CDH11,225.326643648136,3.14298172296407,0.235124676705914,3.38833654719924e-41,9.06403234160365e-39,Upregulated,PcB target,CDH11
24,OTULINL,322.325809307162,5.97991823646239,0.453604933225434,1.22667767965958e-40,3.11098204264836e-38,Upregulated,PcB target,OTULINL
25,HEY2,169.870931782184,-3.81691578926593,0.292039822608692,2.05024155697116e-39,4.82374905114853e-37,Downregulated,PcB target,HEY2
26,EFHD1,280.360428941105,-2.80825580902273,0.216748319880693,3.80687233182357e-39,8.64425615068031e-37,Downregulated,PcB target,EFHD1
27,S1PR3,195.331212884121,-4.287296043855,0.337177351302823,1.67405366429972e-37,3.47775744217499e-35,Downregulated,PcB target,S1PR3
28,WLS,2402.79526408905,1.4693386914559,0.117771889074122,1.97395368204095e-37,4.05761763188375e-35,Upregulated,PcB target,WLS
29,RUNX1,245.637679130731,-3.09043354069102,0.243481583830241,2.13515624575647e-37,4.34326366324295e-35,Downregulated,PcB target,RUNX1
30,TFAP2A,178.533274896873,-5.33269792994532,0.428914250879473,3.16848843979838e-36,5.87531929851145e-34,Downregulated,PcB target,TFAP2A
31,ADARB2,321.128403819339,6.93080717335372,0.562729354752757,3.18918396990073e-36,5.87531929851145e-34,Upregulated,PcB target,ADARB2
32,RPS6KA2,1046.16865006708,1.62166313581361,0.136212876791749,1.5600885475703e-34,2.64916601364807e-32,Upregulated,PcB target,RPS6KA2
33,LIMS2,165.073826839643,4.30606953660789,0.360705554798964,2.54959110700891e-33,4.25542009723675e-31,Upregulated,PcB target,LIMS2
34,TNFRSF19,322.494908848589,-2.02340630306819,0.174815305573519,4.27022326248866e-33,7.00747225797299e-31,Downregulated,PcB target,TNFRSF19
35,CHST2,258.381846032204,-2.76104778547016,0.235906278522643,1.70058274314625e-32,2.68447792162764e-30,Downregulated,PcB target,CHST2
36,ADAMTS18,135.983619303496,-4.96333141806664,0.428170900487706,1.05541077220938e-31,1.54962868869961e-29,Downregulated,PcB target,ADAMTS18
37,RTN1,416.439090520945,-2.3108592923492,0.204363385861066,2.25857703499271e-31,3.24305090730424e-29,Downregulated,PcB target,RTN1
38,MAML3,141.85463475103,-3.76674864632622,0.332668333315621,4.20194519920737e-30,5.62024560617271e-28,Downregulated,PcB target,MAML3
39,IGSF9B,304.547564036742,-2.59851868393272,0.235061959991015,1.46615930731694e-29,1.90874393021901e-27,Downregulated,PcB target,IGSF9B
40,TRIO,2950.30604186806,1.30418946912581,0.119374484257047,1.61891807276823e-29,2.07988369243539e-27,Upregulated,PcB target,TRIO
41,SEZ6,268.453434835007,-5.64358333029727,0.507985653458415,1.61720989707171e-29,2.07988369243539e-27,Downregulated,PcB target,SEZ6
42,CPNE5,227.236273109773,-3.67880857590068,0.328815223965015,1.96001494770187e-29,2.5016452221387e-27,Downregulated,PcB target,CPNE5
43,PERP,119.26005849147,4.24919991501641,0.396364420018028,2.82314844367617e-27,3.22400250339814e-25,Upregulated,PcB target,PERP
44,ERRFI1,775.086956183499,-1.76745923912751,0.170704616177621,3.81339714236123e-27,4.2797712296569e-25,Downregulated,PcB target,ERRFI1
45,B4GALNT3,129.357889866741,-6.16299143057785,0.585397831402096,5.90011261246811e-27,6.4728875896785e-25,Downregulated,PcB target,B4GALNT3
46,ADIPOR2,954.196467440826,-1.05802294202883,0.103388678623836,2.31901725097422e-26,2.44787939875809e-24,Downregulated,PcB target,ADIPOR2
47,FZD8,93.2919523948358,-4.90548664789113,0.474902670717588,1.24074664090654e-25,1.24252822582682e-23,Downregulated,PcB target,FZD8
48,DLX6-AS1,204.253568650346,6.99537268858912,0.695862183239491,3.37123001331971e-25,3.29166898500536e-23,Upregulated,PcB target,DLX6-AS1
49,NAB1,362.670122078312,1.6271308932855,0.164021309406697,4.50829162671809e-25,4.31558425914465e-23,Upregulated,PcB target,NAB1
50,PDE8B,233.132476697872,2.38930716518802,0.24052091844074,7.58893013168954e-25,7.05698226722063e-23,Upregulated,PcB target,PDE8B
51,ADORA1,357.25339154604,-1.92758662013777,0.199454679077477,3.33312674419367e-24,2.94521715206398e-22,Downregulated,PcB target,ADORA1
52,LITAF,326.977617730207,-1.60804912649279,0.165473277254842,3.48538486061239e-24,3.06588268279453e-22,Downregulated,PcB target,LITAF
53,APOL4,221.939530706198,-2.48524477641252,0.253445103098022,4.14560965128133e-24,3.63028992243147e-22,Downregulated,PcB target,APOL4
54,DYRK3,344.726450627635,-1.47720564081697,0.154447255463735,1.94464460812945e-23,1.59037051531687e-21,Downregulated,PcB target,DYRK3
55,COL9A3,388.542890325366,-3.08560024052797,0.316098217161024,4.46262644016594e-23,3.57156430834265e-21,Downregulated,PcB target,COL9A3
56,NRN1,384.808163178503,-2.28266962665361,0.242683895670469,8.32664674949095e-23,6.50411030896237e-21,Downregulated,PcB target,NRN1
57,RGS12,1304.72421358952,0.885380362684535,0.0941433370393422,1.75371127482913e-22,1.32738270445206e-20,Upregulated,PcB target,RGS12
58,JAZF1,111.302726122733,2.79913704265138,0.293778916981468,2.10185514796021e-22,1.57865489728334e-20,Upregulated,PcB target,JAZF1
59,EYA2,123.035446931709,3.67103926828224,0.380702287872623,2.11575107044367e-22,1.58300332964077e-20,Upregulated,PcB target,EYA2
60,UCHL1,2791.48952967239,0.986476760061008,0.10775325766162,1.10510061673413e-21,7.79075987133002e-20,Upregulated,PcB target,UCHL1
61,EBF3,491.135937789852,1.33004693659037,0.148788828553584,6.79885966054844e-21,4.50061462546407e-19,Upregulated,PcB target,EBF3
62,DLX1,214.762149217026,3.85088866514154,0.423022081931295,3.3802419238742e-20,2.14316117822777e-18,Upregulated,PcB target,DLX1
63,MEOX2,768.097313400527,-1.51898952300855,0.173740577807308,3.5283854869238e-20,2.22265521898864e-18,Downregulated,PcB target,MEOX2
64,PDIA6,4504.63128346121,-0.857665091477457,0.0972498236706984,4.67218287128177e-20,2.91496444442142e-18,Downregulated,PcB target,PDIA6
65,TACC1,470.10860393755,1.29242503798564,0.148621805055486,5.77196284711731e-20,3.55567477850179e-18,Upregulated,PcB target,TACC1
66,COL2A1,746.998205582823,-9.11639625220946,1.09312903864027,8.15422785124434e-20,4.92989973619503e-18,Downregulated,PcB target,COL2A1
67,SOCS2,96.8214895234503,-5.84173965940657,0.666010046496798,2.06857720708859e-19,1.18809340294194e-17,Downregulated,PcB target,SOCS2
68,SVIL,2068.66232610493,-1.10357639597232,0.130581076456894,4.61277568435535e-19,2.56633286507383e-17,Downregulated,PcB target,SVIL
69,KLHL29,162.253821002425,-2.1562376442121,0.256613284658322,4.69439710438192e-19,2.60432348449915e-17,Downregulated,PcB target,KLHL29
70,MOXD1,645.660168342709,5.20798032611301,0.60327961516453,1.14326298748234e-18,6.16730376230804e-17,Upregulated,PcB target,MOXD1
71,SLC1A2,345.139884338639,-7.84781974192809,0.94659941991862,1.18070805283464e-18,6.31694982349445e-17,Downregulated,PcB target,SLC1A2
72,C1QL1,89.9982666418182,-4.3494904813146,0.508040264893249,3.55490393465004e-18,1.82205154949727e-16,Downregulated,PcB target,C1QL1
73,ETS1,283.677593142519,1.86676006997697,0.233399334731749,1.06376108776445e-17,5.14186300046145e-16,Upregulated,PcB target,ETS1
74,BMP7,88.6681350652595,-4.09993136458667,0.491391710728853,2.52562302203827e-17,1.17429443748484e-15,Downregulated,PcB target,BMP7
75,CDH4,893.637986707654,-1.31450748450989,0.165105668319469,2.76530188702099e-17,1.28267969714361e-15,Downregulated,PcB target,CDH4
76,UACA,213.544216303648,2.19637401292524,0.277513998813955,2.98809570269099e-17,1.37946886246217e-15,Upregulated,PcB target,UACA
77,GJC1,417.442117009069,-1.13001752148886,0.1423738010688,3.27073455511984e-17,1.50638925453727e-15,Downregulated,PcB target,GJC1
78,RAB6A,1920.40650744812,0.652888977012306,0.0794558601340087,3.61665879325623e-17,1.65014282510999e-15,Upregulated,PcB target,RAB6A
79,RPRM,69.4221904750326,3.85547796949278,0.465222027226409,4.2823621009711e-17,1.93131563759269e-15,Upregulated,PcB target,RPRM
80,ANK3,412.935836415519,1.42903007824852,0.181351093940261,5.2178379682431e-17,2.34238942169773e-15,Upregulated,PcB target,ANK3
81,FRMD4A,1471.87538872551,-1.01133814522445,0.128339370753761,6.32835312460939e-17,2.83440550039844e-15,Downregulated,PcB target,FRMD4A
82,FHAD1,108.681890436955,-2.78273327627135,0.345044929110783,7.40463357856486e-17,3.25670460635618e-15,Downregulated,PcB target,FHAD1
83,DLX2,79.621636350024,4.67903907804111,0.577345619704681,1.40351798090858e-16,5.95823894156146e-15,Upregulated,PcB target,DLX2
84,PLXDC1,122.166481537468,5.26110493999423,0.654797283531776,1.6991642758921e-16,7.13575913540235e-15,Upregulated,PcB target,PLXDC1
85,ANKS1B,394.744794598237,-1.70443535585507,0.22308522192466,2.26520845038265e-16,9.37182004641363e-15,Downregulated,PcB target,ANKS1B
86,SART1,1501.03945665,0.765499273446195,0.097666753319531,3.59979881790466e-16,1.45241469661244e-14,Upregulated,PcB target,SART1
87,KCNK15,121.31418523094,-2.42293172788716,0.315567061770865,4.14976162926213e-16,1.66058494049654e-14,Downregulated,PcB target,KCNK15
88,PLEKHA7,64.7451401231447,3.54490259566153,0.443356349377522,4.4843949705563e-16,1.79082341482665e-14,Upregulated,PcB target,PLEKHA7
89,NDNF,303.749515103832,4.71017074993823,0.59598827705258,7.03220200555649e-16,2.73555459690253e-14,Upregulated,PcB target,NDNF
90,PLAGL1,143.66498954703,4.81769485285591,0.613654626307102,1.00082137934885e-15,3.80975436567726e-14,Upregulated,PcB target,PLAGL1
91,ITM2C,5852.06201634318,0.871331425952797,0.114773849723927,1.19786168287282e-15,4.51579979597306e-14,Upregulated,PcB target,ITM2C
92,FZD7,1612.76383091919,-1.03209343401645,0.138156225341437,1.47857057101756e-15,5.48926351916937e-14,Downregulated,PcB target,FZD7
93,DRAXIN,367.41153129123,-1.90827398608762,0.261070126492891,2.2483021011529e-15,8.16075156715871e-14,Downregulated,PcB target,DRAXIN
94,THBS4,353.323229409008,1.55268138487325,0.210662311552119,2.25859974464114e-15,8.18291944589093e-14,Upregulated,PcB target,THBS4
95,ANXA4,72.2789812305423,3.77609953531758,0.486324977330892,2.91834778332866e-15,1.0399542976796e-13,Upregulated,PcB target,ANXA4
96,ATP6V1C2,1576.35638639141,-0.74939625078666,0.099098196906691,3.50016769606596e-15,1.22713240159383e-13,Downregulated,PcB target,ATP6V1C2
97,PAX9,60.2776298745203,-3.61478276334282,0.468314341490052,4.05333162317764e-15,1.41598318313798e-13,Downregulated,PcB target,PAX9
98,GLIPR2,494.881404040051,1.01558629531658,0.138428758825807,4.26811256604572e-15,1.4883518248168e-13,Upregulated,PcB target,GLIPR2
99,EGFLAM,137.923720160837,1.97778786784603,0.278387278909543,1.03066777252348e-14,3.45822684911315e-13,Upregulated,PcB target,EGFLAM
100,PPL,122.497376379124,-2.14155890818193,0.300438547922891,1.08110208967292e-14,3.6212284060262e-13,Downregulated,PcB target,PPL
101,C2CD4A,52.9447319282275,-5.15764258417812,0.686985484774326,1.1535961895678e-14,3.84427071499659e-13,Downregulated,PcB target,C2CD4A
102,NEDD4L,306.281770536107,1.30781860071848,0.182672156665224,1.25088116045861e-14,4.15428695602649e-13,Upregulated,PcB target,NEDD4L
103,RPL23AP82,541.985414567208,0.982398037795377,0.137699789703973,2.13579540551399e-14,6.91671852054349e-13,Upregulated,PcB target,RPL23AP82
104,YBX3,1894.06059629086,-0.725409880917288,0.099199672287328,2.74469420176278e-14,8.77224032275344e-13,Downregulated,PcB target,YBX3
105,OSR2,81.9987502877867,3.40130360394773,0.459003671310152,3.67500530762749e-14,1.1537862322725e-12,Upregulated,PcB target,OSR2
106,RCAN2,504.66523783184,1.6018749438357,0.230029317478014,3.93884683711772e-14,1.22480574896871e-12,Upregulated,PcB target,RCAN2
107,ITGA5,300.480394222498,-1.81510603770249,0.262574012336609,4.20830375942404e-14,1.30444056847671e-12,Downregulated,PcB target,ITGA5
108,NDRG2,566.824859575941,-1.50346912792636,0.215975871050833,4.58953466391744e-14,1.41140839239338e-12,Downregulated,PcB target,NDRG2
109,WNK4,78.1535273083798,-4.63415939736998,0.629252128608402,4.69635229373347e-14,1.44198691182433e-12,Downregulated,PcB target,WNK4
110,EGFR,629.665599567717,-0.848322422783271,0.1192715852878,5.06001546488574e-14,1.5487771473086e-12,Downregulated,PcB target,EGFR
111,CBX4,726.210744894957,-1.05164090055724,0.151114245195082,6.14597338270603e-14,1.85500105436605e-12,Downregulated,PcB target,CBX4
112,PRAG1,379.192475117627,1.58367534310327,0.230440272299082,7.65131234114601e-14,2.28812905662939e-12,Upregulated,PcB target,PRAG1
113,GRIK1,342.296048792223,-1.81299143613073,0.271541830236999,2.16093430419302e-13,6.20569486651197e-12,Downregulated,PcB target,GRIK1
114,RBMS1,381.886662029642,1.17155268392311,0.173629463880087,2.32655922048249e-13,6.66173731049591e-12,Upregulated,PcB target,RBMS1
115,HMGA2,398.246995652245,1.12182626537787,0.16667187962394,2.71781848045502e-13,7.69182018642401e-12,Upregulated,PcB target,HMGA2
