,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,EYA4,799.790347207316,4.46643524666771,0.208100849072349,1.24323548773497e-102,4.85558052089769e-99,Upregulated,PcB target,EYA4
2,GSN,996.987558813967,2.74485560331337,0.131606110278239,2.5960826311468e-97,7.24232880300496e-94,Upregulated,PcB target,GSN
3,SFRP1,671.658757173415,7.07836078724695,0.373295702889012,2.62562815718205e-81,5.1273266653451e-78,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.04981067024305,0.119684063120873,7.59717696877571e-68,8.24209288034734e-65,Upregulated,PcB target,ITPKB
5,DMRTA2,523.923170832472,7.40873069544505,0.449723861140625,3.20944390710737e-62,2.98447717228537e-59,Upregulated,PcB target,DMRTA2
6,PCDH1,289.425689217522,4.7813646790998,0.294566396990351,9.21670472854938e-60,7.19935239756449e-57,Upregulated,PcB target,PCDH1
7,ANK1,387.022508081908,4.26074044551331,0.264272981232788,6.91683920287187e-59,5.00266799828451e-56,Upregulated,PcB target,ANK1
8,ABLIM1,1572.91711703577,-2.20930915980021,0.139600041798055,3.5695688549695e-58,2.40367381378774e-55,Downregulated,PcB target,ABLIM1
9,PDLIM3,306.644767021359,6.54882333338971,0.430452989568821,3.05614823054329e-53,1.70515607560141e-50,Upregulated,PcB target,PDLIM3
10,CCND2,2303.18435034278,1.30946470271334,0.0934660829110732,1.46153555333163e-46,6.63741076406049e-44,Upregulated,PcB target,CCND2
11,NT5E,285.760101132116,5.84118552331523,0.413089148300456,3.62176263359348e-46,1.57168401575141e-43,Upregulated,PcB target,NT5E
12,CDH11,225.326643648136,-3.31452204148508,0.236276235398093,4.53625503444432e-45,1.80783649617609e-42,Downregulated,PcB target,CDH11
13,ARHGAP29,510.923699849386,3.03553131216272,0.216830185342762,5.15623428661596e-45,1.97433221860856e-42,Upregulated,PcB target,ARHGAP29
14,SLIT2,479.803631262113,-3.28256814064406,0.237987435631355,1.18718588666641e-43,4.06725719207399e-41,Downregulated,PcB target,SLIT2
15,RAB29,194.42488404359,3.60499777671916,0.262777818040871,3.61268419862014e-43,1.21635339708024e-40,Upregulated,PcB target,RAB29
16,RUNX1,245.637679130731,3.3325997797442,0.243112612971352,3.94676040198299e-43,1.30631079881227e-40,Upregulated,PcB target,RUNX1
17,RIMS4,1156.42645197058,2.46618120293527,0.185100752099817,9.77556449380621e-42,2.8923821732583e-39,Upregulated,PcB target,RIMS4
18,S1PR3,195.331212884121,5.10368735906994,0.382324925811849,3.09143863449777e-41,8.74921937021339e-39,Upregulated,PcB target,S1PR3
19,CDH8,376.692191224155,-2.58081493221918,0.195616153572426,8.99083968595112e-41,2.47286080827118e-38,Downregulated,PcB target,CDH8
20,LINC01694,235.092491066917,-4.05577575024096,0.305471393741173,1.31498134988203e-40,3.51766517815017e-38,Downregulated,PcB target,LINC01694
21,CAVIN1,930.208149203013,4.38416513764162,0.330552826887695,1.39097959081135e-40,3.67068235802216e-38,Upregulated,PcB target,CAVIN1
22,OTULINL,322.325809307162,-6.83438723456274,0.527759196228538,2.00214080288025e-39,5.14444810508494e-37,Downregulated,PcB target,OTULINL
23,HSPA12A,351.116945842277,-2.43569887301765,0.190357603274698,8.56551769923075e-39,2.14445422603305e-36,Downregulated,PcB target,HSPA12A
24,MAGEA6,347.412354860506,-7.58852049143861,0.595531733279746,1.6045087809807e-38,3.96618322468242e-36,Downregulated,PcB target,MAGEA6
25,CHST2,258.381846032204,3.05822837105144,0.240510736639684,1.58488547126794e-37,3.68448136701433e-35,Upregulated,PcB target,CHST2
26,IGSF9B,304.547564036742,2.97428660725917,0.234851114555728,2.64197642367217e-37,5.99912972110117e-35,Upregulated,PcB target,IGSF9B
27,STOM,467.772332509094,2.3903437017548,0.192623577257553,9.09551110277504e-37,1.99569821140439e-34,Upregulated,PcB target,STOM
28,NAB1,362.670122078312,-1.98302998788503,0.161851555133489,9.93628859238479e-37,2.15568416611567e-34,Downregulated,PcB target,NAB1
29,LIMS2,165.073826839643,-4.14423749081377,0.340449901131845,1.74721026789841e-34,3.3125749622835e-32,Downregulated,PcB target,LIMS2
30,VCAN,872.190900896411,-2.14679367639548,0.182778765698959,8.81687189078944e-34,1.60912032040501e-31,Downregulated,PcB target,VCAN
31,TNFRSF19,322.494908848589,2.03851086949556,0.17664037122333,6.1077550178052e-33,1.05550654856372e-30,Upregulated,PcB target,TNFRSF19
32,SEZ6,268.453434835007,5.84075120295208,0.499914131158576,2.56535927460227e-32,4.28173811234471e-30,Upregulated,PcB target,SEZ6
33,UACA,213.544216303648,-3.22146188495041,0.281002690523068,7.54359091759167e-31,1.15086908936508e-28,Downregulated,PcB target,UACA
