,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,FAM41C,0.333851606623279,0,0.0111563228955506,1,1,NS,PcB target,NA
2,SAMD11,220.364239828292,0.000627040842130049,0.0111377869230827,0.328690100008763,1,NS,PcB target,NA
3,KLHL17,143.178068955403,-4.17199150164239e-05,0.0111463543067726,0.929470791583577,1,NS,PcB target,NA
4,PLEKHN1,3.58383385891865,-9.43093691872179e-05,0.0111561215802773,0.170676567651136,1,NS,PcB target,NA
5,PERM1,1.30166532806867,-4.29842518599085e-06,0.0111561862239452,0.940319917234761,1,NS,PcB target,NA
6,ISG15,333.044441017627,0.000618546673402608,0.0111337327725315,0.38253420821441,1,NS,PcB target,NA
7,LOC100288175,7.01654206495136,0.000211699301723505,0.0111556617138995,0.0838684831310756,1,NS,PcB target,NA
8,RNF223,0.69742677017827,8.04335861754366e-06,0.0111563012255703,0.766000085438103,1,NS,PcB target,NA
9,C1orf159,251.55151644887,0.000249796095250465,0.0111396488026998,0.681685905872585,1,NS,PcB target,NA
10,TTLL10,1.7392998072335,-8.54864859372955e-05,0.0111561929115802,0.127546642492678,1,NS,PcB target,NA
11,TNFRSF18,1.10661894956092,2.28998327043637e-05,0.0111562387010881,0.619392451346023,1,NS,PcB target,NA
12,SDF4,2238.90482123054,-0.00104842674529555,0.0111034963421977,0.331383423308335,1,NS,PcB target,NA
13,C1QTNF12,5.50784954289656,4.8634109818948e-05,0.0111558112009348,0.652466346088071,1,NS,PcB target,NA
14,ATAD3C,3.07156791395054,-8.80492130684723e-05,0.0111561528632515,0.166002459141076,1,NS,PcB target,NA
15,ATAD3B,479.693478662751,0.000520910913370463,0.0111251620284369,0.530794518784754,1,NS,PcB target,NA
16,SSU72,1382.73618079939,0.000357998013183056,0.0110973450755336,0.753429111776669,1,NS,PcB target,NA
17,CFAP74,3.05871444114949,9.96524437256131e-06,0.0111560873296219,0.893135193724286,1,NS,PcB target,NA
18,GABRD,0.623626824868811,2.83819775001499e-06,0.0111563146221523,0.89132387683797,1,NS,PcB target,NA
19,MEGF6,136.135748727977,0.000318500173176245,0.0111519786523252,0.306685691362021,1,NS,PcB target,NA
20,TP73,83.2730767526953,1.0531002376329e-06,0.011148461045831,0.997993454676286,1,NS,PcB target,NA
21,HES3,2.89081224459832,-0.000117641793642599,0.011155976533732,0.187713427437588,1,NS,PcB target,NA
22,LINC01672,0.0865049811293523,0,0.0111563267096137,1,1,NS,PcB target,NA
23,CAMTA1,545.811423009138,-0.000300024758865991,0.0111148032993454,0.754183806156514,1,NS,PcB target,NA
24,VAMP3,532.668075669498,-0.000359402014745392,0.0111162321131408,0.702713288937517,1,NS,PcB target,NA
25,TNFRSF9,2.29990965130406,-4.29391310125258e-05,0.0111561803319196,0.463308086070767,1,NS,PcB target,NA
26,PARK7,3437.56866646589,-0.00141207569940446,0.0110805042207714,0.273572376771032,1,NS,PcB target,NA
27,ERRFI1,775.086956183499,-0.000922988139131411,0.0111298019157024,0.22891007186053,1,NS,PcB target,NA
28,SLC45A1,9.77412592895216,-2.67114136603139e-05,0.011155316875135,0.859246165864621,1,NS,PcB target,NA
29,MIR34AHG,1.82496053232603,-2.99915604127294e-05,0.0111561616487906,0.628601497958859,1,NS,PcB target,NA
30,H6PD,486.763757611383,-0.000498220175003873,0.0111288710341718,0.523196976663911,1,NS,PcB target,NA
31,PIK3CD,84.4246731214277,-0.000721456331256609,0.0111487922982781,0.0783699211027028,1,NS,PcB target,NA
32,CASZ1,31.9043975399408,3.93404899834766e-05,0.0111532700559405,0.880359511848299,1,NS,PcB target,NA
33,C1orf127,1.92997407659036,-8.79443016019094e-05,0.0111562229156784,0.0772629045364535,1,NS,PcB target,NA
34,DRAXIN,367.41153129123,0.000802339803361987,0.0111438643980161,0.127702447503744,1,NS,PcB target,NA
35,C1orf167,105.654022763756,0.000413290117710363,0.0111453254506829,0.403756230051443,1,NS,PcB target,NA
36,TNFRSF8,4.1014586515077,7.85449281307549e-06,0.0111559582656934,0.931632466553387,1,NS,PcB target,NA
37,DHRS3,1.2449355071449,-4.44804374840436e-05,0.0111562394990411,0.332607738452715,1,NS,PcB target,NA
38,TMEM51,197.869054642941,-0.000235977738698999,0.0111409526502912,0.686577713720694,1,NS,PcB target,NA
39,FHAD1,108.681890436955,-0.000162688880546946,0.0111480019291381,0.705675935225527,1,NS,PcB target,NA
40,EFHD2,541.989677061856,8.19242531323401e-05,0.011128428638212,0.917051579724587,1,NS,PcB target,NA
41,CLCNKA,0.209252241490355,0,0.0111563267096137,1,1,NS,PcB target,NA
42,CLCNKB,0.543400593910495,0,0.0111563076030464,1,1,NS,PcB target,NA
43,LINC01783,3.73200376495436,7.53146046451691e-05,0.0111561436897195,0.247716711566676,1,NS,PcB target,NA
44,NBPF1,222.692584371358,0.000476013469351907,0.0111417015997259,0.40402919990502,1,NS,PcB target,NA
45,ESPNP,0.413449357547256,-2.37063276090727e-06,0.0111563156661453,0.906597180640845,1,NS,PcB target,NA
46,LOC105376805,0.0915223218543122,0,0.0111563267096137,1,1,NS,PcB target,NA
47,RNU1-2,1.64785530233918,2.8845798507024e-05,0.011156220469338,0.566489042840553,1,NS,PcB target,NA
48,RCC2,2559.1180069179,0.00138578155637913,0.011105093838352,0.192402658663096,1,NS,PcB target,NA
49,PAX7,0.724424439589608,2.04410246228592e-05,0.0111562857251043,0.533235076990548,1,NS,PcB target,NA
50,IFFO2,547.64713555271,-0.000630085222772875,0.0111199218500731,0.482741739025157,1,NS,PcB target,NA
51,CAMK2N1,121.132682439765,0.000115221369960198,0.0111491710592888,0.773006940802701,1,NS,PcB target,NA
52,NBPF3,137.752271556953,-7.58748747174661e-06,0.0111437252830299,0.988570519121363,1,NS,PcB target,NA
53,ALPL,80.6220534893764,1.84882334683719e-05,0.0111520900294788,0.952068548174702,1,NS,PcB target,NA
