,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,FAM41C,0.333851606623279,0,7.92075849632064,0,1,1,NS,PcB target,NA
2,SAMD11,220.364239828292,0.188744329034901,0.193235958783268,0.976755725090456,0.328690100008763,1,NS,PcB target,NA
3,KLHL17,143.178068955403,-0.023329943368684,0.263583353143993,-0.0885106858623924,0.929470791583577,1,NS,PcB target,NA
4,PLEKHN1,3.58383385891865,-2.47704422458814,1.80801778763202,-1.37003310561029,0.170676567651136,1,NS,PcB target,NA
5,PERM1,1.30166532806867,-0.162297555547022,2.16778925010534,-0.0748677739494905,0.940319917234761,1,NS,PcB target,NA
6,ISG15,333.044441017627,0.152817407328629,0.17500117682087,0.873236455347109,0.38253420821441,1,NS,PcB target,NA
7,LOC100288175,7.01654206495136,1.75668773214913,1.01620869749382,1.7286682710761,0.0838684831310756,1,NS,PcB target,NA
8,RNF223,0.69742677017827,1.37056917933675,4.6052371182163,0.297610990303926,0.766000085438103,1,NS,PcB target,NA
9,C1orf159,251.55151644887,0.083574095638973,0.203757929737017,0.410163647357622,0.681685905872585,1,NS,PcB target,NA
10,TTLL10,1.7392998072335,-3.38078819537903,2.21858598173332,-1.52384817321244,0.127546642492678,1,NS,PcB target,NA
11,TNFRSF18,1.10661894956092,1.34094778051698,2.69965070220397,0.496711585473722,0.619392451346023,1,NS,PcB target,NA
12,SDF4,2238.90482123054,-0.110947114264455,0.114221724707434,-0.971331106657979,0.331383423308335,1,NS,PcB target,NA
13,C1QTNF12,5.50784954289656,0.518966818979198,1.15239261336016,0.450338550388647,0.652466346088071,1,NS,PcB target,NA
14,ATAD3C,3.07156791395054,-2.71209908540794,1.95796305636205,-1.3851635640394,0.166002459141076,1,NS,PcB target,NA
15,ATAD3B,479.693478662751,0.0933465740672309,0.148927125955063,0.626793631238122,0.530794518784754,1,NS,PcB target,NA
16,SSU72,1382.73618079939,0.0339431085036283,0.108057418693508,0.314121037815125,0.753429111776669,1,NS,PcB target,NA
17,CFAP74,3.05871444114949,0.225389941741392,1.67778070023277,0.134338141874038,0.893135193724286,1,NS,PcB target,NA
18,GABRD,0.623626824868811,0.818626972215906,5.99159503983234,0.136629222564884,0.89132387683797,1,NS,PcB target,NA
