,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-3.00542771778027,0.131319617680309,1.48395389469876e-116,9.65955055189245e-113,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-4.33541962448137,0.208556879266457,2.05802546027516e-96,5.02364014853167e-93,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-6.93692219938256,0.373649483706981,5.47963265806813e-78,9.72784241334132e-75,Downregulated,PcB target,SFRP1
4,DMRTA2,523.923170832472,-7.57999741684943,0.449882020767777,5.86480070626776e-65,7.63518854613312e-62,Downregulated,PcB target,DMRTA2
5,ITPKB,1892.84488715906,-1.96715395958186,0.119891474834168,1.79263260050555e-62,1.59120588284874e-59,Downregulated,PcB target,ITPKB
6,MAGEA6,347.412354860506,6.09567050665374,0.375140046630495,3.50477774349699e-60,2.97570868586997e-57,Upregulated,PcB target,MAGEA6
7,ABLIM1,1572.91711703577,2.18804295510858,0.140454839998228,1.88943676612825e-56,1.36655263588713e-53,Upregulated,PcB target,ABLIM1
8,PCDH1,289.425689217522,-4.57386386398052,0.295652968276014,1.84739660655563e-54,1.20253203109394e-51,Downregulated,PcB target,PCDH1
9,ANK1,387.022508081908,-3.95458517141345,0.265567290209029,1.46718503097099e-50,7.95866369022266e-48,Downregulated,PcB target,ANK1
10,PDLIM3,306.644767021359,-6.38413852567284,0.431081116844231,1.62062527696969e-50,8.55339740774707e-48,Downregulated,PcB target,PDLIM3
11,RAB29,194.42488404359,-3.78883724400047,0.26289428348357,1.68885891566071e-47,7.49546293295964e-45,Downregulated,PcB target,RAB29
12,ARHGAP29,510.923699849386,-3.08147935700742,0.217360969663465,3.05620391394244e-46,1.24336562565558e-43,Downregulated,PcB target,ARHGAP29
13,CCND2,2303.18435034278,-1.30687600171839,0.0939177977508008,4.84432845130666e-46,1.93061318361462e-43,Downregulated,PcB target,CCND2
14,NT5E,285.760101132116,-5.82670002918491,0.413565664238778,7.99210457192037e-46,3.06019251138159e-43,Downregulated,PcB target,NT5E
15,SLIT2,479.803631262113,3.44376271964608,0.244752622992948,2.01128472490829e-45,7.55314771307865e-43,Upregulated,PcB target,SLIT2
16,RIMS4,1156.42645197058,-2.54974943647729,0.184949456180129,1.91364744935605e-44,6.92031618352313e-42,Downregulated,PcB target,RIMS4
17,STOM,467.772332509094,-2.61107280705353,0.191454015679559,1.79603603130566e-43,6.02765702514505e-41,Downregulated,PcB target,STOM
18,CDH8,376.692191224155,2.6917361376334,0.20127976769457,8.3654627650581e-42,2.5930278869215e-39,Upregulated,PcB target,CDH8
19,CAVIN1,930.208149203013,-4.44489365309624,0.330772352352083,1.26137282632717e-41,3.73213462916924e-39,Downregulated,PcB target,CAVIN1
20,VCAN,872.190900896411,2.42346744196734,0.184324278944276,6.92674811320173e-41,1.98919907580299e-38,Upregulated,PcB target,VCAN
21,CDH11,225.326643648136,3.1081521902329,0.235750283999402,2.63718823797401e-40,7.15264054321617e-38,Upregulated,PcB target,CDH11
22,OTULINL,322.325809307162,5.89435169423924,0.453386891219228,2.07963443970359e-39,5.14064573905464e-37,Upregulated,PcB target,OTULINL
23,RUNX1,245.637679130731,-3.1435860695655,0.245299473003834,3.41207847626535e-38,7.93227005767974e-36,Downregulated,PcB target,RUNX1
24,LINC01694,235.092491066917,4.03118028184846,0.314361250107411,4.61235900129153e-38,1.04732728578164e-35,Upregulated,PcB target,LINC01694
25,EFHD1,280.360428941105,-2.73020221835249,0.215485453451368,9.13149242416197e-38,2.003593079315e-35,Downregulated,PcB target,EFHD1
26,S1PR3,195.331212884121,-4.85440627689408,0.383804303934251,3.39483086151999e-37,7.12841473803896e-35,Downregulated,PcB target,S1PR3
27,HSPA12A,351.116945842277,2.40783698969287,0.194077674062559,8.86031772670494e-37,1.82130825860099e-34,Upregulated,PcB target,HSPA12A
28,TNFRSF19,322.494908848589,-2.14619674291588,0.175819108641101,4.51397874572035e-36,9.08752339653886e-34,Downregulated,PcB target,TNFRSF19
29,CHST2,258.381846032204,-3.00300885964426,0.242166472885161,5.15434993182309e-36,1.01670854008729e-33,Downregulated,PcB target,CHST2
30,ADARB2,321.128403819339,6.77684637412988,0.561213904334527,1.35272884913945e-34,2.54000855442262e-32,Upregulated,PcB target,ADARB2
31,NAB1,362.670122078312,1.92014996276102,0.163123862018873,5.31262626294129e-34,9.69579118343154e-32,Upregulated,PcB target,NAB1
32,HEY2,169.870931782184,-3.05997405042262,0.260665419634746,1.72222281430741e-32,2.8501328065928e-30,Downregulated,PcB target,HEY2
33,LIMS2,165.073826839643,4.23651599713526,0.361308643508239,3.4274804783071e-32,5.48621629347386e-30,Upregulated,PcB target,LIMS2
34,IGSF9B,304.547564036742,-2.7613746882339,0.238044354600764,4.5192862200094e-32,7.11714687938255e-30,Downregulated,PcB target,IGSF9B
