sample.name	sample.control
21B_R1_001	21B_R2_001
13A_R1_001	13A_R2_001
11A_R1_001	11A_R2_001
5A_R1_001	5A_R2_001
17A_R1_001	17A_R2_001
41A_R1_001	41A_R2_001
47B_R1_001	47B_R2_001
3B_R1_001	3B_R2_001
1A_R1_001	1A_R2_001
27B_R1_001	27B_R2_001
39A_R1_001	39A_R2_001
39B_R1_001	39B_R2_001
41B_R1_001	41B_R2_001
27A_R1_001	27A_R2_001
3A_R1_001	3A_R2_001
5B_R1_001	5B_R2_001
13B_R1_001	13B_R2_001
15A_R1_001	15A_R2_001
35B_R1_001	35B_R2_001
9B_R1_001	9B_R2_001
29A_R1_001	29A_R2_001
45A_R1_001	45A_R2_001
15B_R1_001	15B_R2_001
43A_R1_001	43A_R2_001
17B_R1_001	17B_R2_001
45B_R1_001	45B_R2_001
7A_R1_001	7A_R2_001
37B_R1_001	37B_R2_001
31B_R1_001	31B_R2_001
33A_R1_001	33A_R2_001
37A_R1_001	37A_R2_001
29B_R1_001	29B_R2_001
43B_R1_001	43B_R2_001
19A_R1_001	19A_R2_001
47A_R1_001	47A_R2_001
31A_R1_001	31A_R2_001
7B_R1_001	7B_R2_001
21A_R1_001	21A_R2_001
1B_R1_001	1B_R2_001
35A_R1_001	35A_R2_001
33B_R1_001	33B_R2_001
19B_R1_001	19B_R2_001
11B_R1_001	11B_R2_001
9A_R1_001	9A_R2_001
