Chromosome,Start,End,Strand,P-RING1B,KO-RING1B,log2('P-RING1B' divided by 'KO-RING1B'),P-BMI,KO-BMI,log2('P-BMI' divided by 'KO-BMI'),P-SUZ12,KO-SUZ12,log2('P-SUZ12' divided by 'KO-SUZ12'),KO-MEL18,P-MEL18,log2('P-MEL18' divided by 'KO-MEL18'),P-H3K27Me3,KO-H3K27Me3,log2('P-H3K27Me3' divided by 'KO-H3K27Me3'),P-CBX4,KO-CBX4,log2('P-CBX4' divided by 'KO-CBX4'),P-CBX8,KO-CBX8,log2('P-CBX8' divided by 'KO-CBX8'),P-RYBP,KO-RYBP,log2('P-RYBP' divided by 'KO-RYBP'),Gene Name,Nearest Ensembl,,
chr1,180220322,180250188,+,44.25,10.51,2.07,51.89,12.32,2.07,41.26,16.83,1.29,20.92,29.47,0.49,1006.98,2483.34,-1.30,44.54,7.04,2.66,45.56,31.40,0.54,4.99,5.97,-0.26,LHX4,ENSG00000121454,,
chr21,36687655,36725183,+,31.72,9.17,1.79,32.06,10.69,1.58,29.68,14.59,1.02,15.36,18.67,0.28,938.37,1738.78,-0.89,25.92,6.54,1.99,28.94,27.25,0.09,3.32,2.86,0.21,SIM2,ENSG00000159263,,
chr3,128470470,128503892,+,48.70,15.64,1.64,48.42,17.30,1.48,43.08,9.78,2.14,24.12,28.83,0.26,934.19,1344.47,-0.53,50.67,10.68,2.25,44.90,35.08,0.36,5.97,3.44,0.80,GATA2,ENSG00000179348,,
chr1,197896376,197940347,+,59.00,13.82,2.09,62.02,17.41,1.83,22.02,14.33,0.62,26.43,37.27,0.50,908.99,1811.86,-1.00,45.78,9.61,2.25,51.49,47.25,0.12,4.17,3.01,0.47,LHX9,ENSG00000143355,,
chr5,154463741,154498026,+,28.02,13.48,1.06,28.83,15.30,0.91,28.50,14.84,0.94,22.16,16.20,-0.45,888.67,2019.58,-1.18,25.60,8.16,1.65,25.25,34.83,-0.46,3.96,6.21,-0.65,HAND1,ENSG00000113196,,
chr1,909921,933920,+,12.72,3.76,1.76,9.84,3.61,1.45,45.57,9.87,2.21,4.90,5.31,0.11,836.74,1634.89,-0.97,13.95,2.26,2.63,5.60,5.24,0.10,4.17,2.91,0.52,LOC100130417,ENSG00000223764,,
chr10,101115702,101153230,+,16.05,5.77,1.48,17.15,6.45,1.41,24.78,11.79,1.07,9.59,8.70,-0.14,792.36,1545.75,-0.96,14.50,3.62,2.00,15.91,14.70,0.11,2.42,1.66,0.54,TLX1,ENSG00000107807,,
chr4,173501803,173543821,+,39.34,12.03,1.71,40.62,14.49,1.49,21.03,9.77,1.11,22.84,24.50,0.10,774.04,1075.91,-0.48,33.79,9.44,1.84,36.28,40.75,-0.17,3.09,3.60,-0.22,SCRG1,ENSG00000164106,,
chr10,101209782,101252751,+,21.86,10.46,1.06,21.44,10.53,1.03,24.40,14.46,0.75,17.47,12.61,-0.47,770.55,1566.37,-1.02,18.93,6.50,1.54,18.30,23.16,-0.34,2.85,2.62,0.12,LBX1-AS1,,,
chr7,1196955,1264300,+,24.20,5.21,2.21,27.08,6.56,2.04,44.97,15.25,1.56,10.01,15.47,0.63,734.80,1336.86,-0.86,29.16,3.81,2.94,22.12,14.12,0.65,3.68,1.47,1.33,UNCX,ENSG00000164853,,
chr12,53950789,54041202,+,17.22,11.63,0.57,18.22,12.93,0.49,20.45,17.41,0.23,19.73,9.33,-1.08,726.65,1678.90,-1.21,14.30,6.70,1.09,14.23,23.58,-0.73,2.38,2.67,-0.17,HOXC-AS2,ENSG00000250133,,
chr2,172081217,172119216,+,50.67,11.49,2.14,47.39,11.04,2.10,47.10,8.54,2.46,19.09,29.04,0.60,712.41,706.72,0.01,55.03,7.94,2.79,40.71,27.37,0.57,6.04,7.72,-0.35,DLX2,ENSG00000115844,,
chr9,130893814,130947169,+,5.88,1.17,2.33,6.37,1.79,1.83,26.97,2.46,3.45,2.45,2.98,0.28,695.79,973.90,-0.49,7.99,1.34,2.58,4.61,3.18,0.54,1.84,1.01,0.86,FIBCD1,ENSG00000130720,,
chr2,72909298,72930515,+,22.83,8.90,1.36,20.52,9.92,1.05,22.89,13.80,0.73,13.35,10.99,-0.28,677.46,1537.51,-1.18,18.62,5.03,1.89,19.70,22.24,-0.17,2.24,3.01,-0.43,EMX1,ENSG00000135638,,
chr16,554046,568992,+,5.37,1.25,2.10,4.91,1.67,1.56,45.14,6.69,2.75,1.93,2.39,0.31,640.08,1097.46,-0.78,10.23,1.42,2.85,2.53,2.62,-0.05,3.42,1.85,0.88,PRR35,ENSG00000161992,,
chr10,6117944,6146893,+,30.40,2.65,3.52,35.47,4.05,3.13,22.60,1.89,3.58,5.45,19.75,1.86,639.91,550.55,0.22,28.92,2.02,3.84,28.36,7.90,1.84,3.08,1.44,1.10,PFKFB3,ENSG00000170525,,
chr17,61392850,61409949,+,12.47,8.43,0.56,11.68,8.84,0.40,19.03,9.64,0.98,12.64,6.69,-0.92,633.02,1110.36,-0.81,11.06,5.58,0.99,10.86,19.50,-0.84,2.80,3.36,-0.26,TBX2,ENSG00000121068,,
chr17,79796788,79812905,+,24.20,3.59,2.75,23.21,3.09,2.91,42.29,2.40,4.14,4.87,16.19,1.73,622.45,225.55,1.46,36.93,3.25,3.51,19.15,5.61,1.77,6.77,3.20,1.08,CBX8,ENSG00000141570,,
chr1,63312066,63337422,+,50.35,23.85,1.08,54.67,27.19,1.01,31.84,15.77,1.01,44.65,32.14,-0.47,621.55,1153.41,-0.89,49.96,17.60,1.51,48.51,65.77,-0.44,4.24,5.13,-0.27,FOXD3-AS1,ENSG00000230798,,
chr10,117127283,117145740,+,28.80,8.35,1.79,29.26,9.85,1.57,21.93,8.37,1.39,13.70,16.27,0.25,615.71,820.97,-0.42,26.22,6.47,2.02,26.05,22.41,0.22,3.50,4.13,-0.24,VAX1,ENSG00000148704,,
chr9,130650516,130673424,+,5.58,2.43,1.20,5.53,2.17,1.35,27.34,9.74,1.49,3.70,2.35,-0.65,605.26,1034.67,-0.77,6.22,1.88,1.72,4.33,5.70,-0.40,1.98,2.50,-0.34,PRDM12,ENSG00000130711,,
chr8,143418879,143435487,+,19.00,5.63,1.76,18.65,7.00,1.41,31.51,6.25,2.33,10.67,10.49,-0.02,602.19,859.24,-0.51,22.67,4.33,2.39,15.42,13.12,0.23,4.04,1.94,1.06,MAFA,ENSG00000182759,,
chr6,100450977,100474517,+,52.25,34.02,0.62,65.16,47.23,0.46,16.85,14.79,0.19,80.67,40.58,-0.99,592.25,1341.58,-1.18,47.07,26.43,0.83,56.20,106.08,-0.92,3.35,3.90,-0.22,SIM1,ENSG00000112246,,
chr2,161410856,161436484,+,64.55,21.53,1.58,75.35,28.93,1.38,21.86,9.23,1.24,49.76,47.05,-0.08,590.92,1132.66,-0.94,61.93,17.92,1.79,67.32,69.68,-0.05,4.67,3.85,0.28,TBR1,ENSG00000136535,,
chr10,8033763,8064879,+,25.40,15.97,0.67,24.29,16.58,0.55,16.44,14.86,0.15,25.13,13.82,-0.86,582.64,1270.98,-1.13,18.61,10.32,0.85,19.97,41.68,-1.06,3.29,4.22,-0.36,GATA3-AS1,ENSG00000197308,,
chr1,50413900,50433728,+,32.77,13.39,1.29,32.93,13.69,1.27,23.17,6.41,1.85,22.14,19.29,-0.20,577.17,480.34,0.26,30.82,11.73,1.39,31.18,29.39,0.09,4.61,5.86,-0.35,DMRTA2,ENSG00000142700,,
chr4,112501563,112528652,+,33.30,7.38,2.17,39.80,8.35,2.25,19.75,4.12,2.26,14.31,22.96,0.68,572.26,979.72,-0.78,30.53,5.00,2.61,32.39,23.36,0.47,3.80,3.70,0.04,LOC105377372,,,
chr7,122292373,122320431,+,44.96,13.00,1.79,51.63,16.57,1.64,20.67,6.29,1.72,29.67,31.87,0.10,565.01,797.22,-0.50,46.54,11.68,1.99,48.35,49.98,-0.05,3.32,2.92,0.19,FEZF1,ENSG00000128610,,
chr10,123131530,123154665,+,17.68,6.63,1.41,18.25,7.70,1.25,19.21,12.34,0.64,11.43,10.32,-0.15,564.53,1378.34,-1.29,15.54,4.34,1.84,18.58,24.16,-0.38,2.46,3.03,-0.30,HMX2,ENSG00000188816,,
chr10,99526797,99543064,+,21.86,17.24,0.34,22.12,18.26,0.28,22.43,11.70,0.94,26.99,12.40,-1.12,563.90,1359.70,-1.27,19.09,10.64,0.84,17.56,35.76,-1.03,3.49,5.05,-0.53,NKX2-3,ENSG00000119919,,
chr12,1516851,1542760,+,13.31,2.46,2.44,15.27,2.92,2.39,29.12,3.87,2.91,3.31,8.39,1.34,561.16,943.72,-0.75,16.91,2.57,2.72,10.65,4.71,1.18,3.22,2.07,0.64,LINC00942,,,
chr6,5989932,6013312,+,50.53,4.62,3.45,56.07,5.27,3.41,25.41,2.94,3.11,9.91,33.77,1.77,559.83,124.26,2.17,50.30,5.37,3.23,51.07,10.62,2.27,5.28,4.26,0.31,NRN1,ENSG00000124785,,
chr5,55215928,55239398,+,28.15,8.47,1.73,29.76,9.48,1.65,23.47,6.05,1.96,15.64,17.47,0.16,558.56,1187.52,-1.09,26.25,5.85,2.17,25.01,23.46,0.09,4.88,3.98,0.30,MCIDAS,ENSG00000234602,,
chr8,98933722,98968250,+,41.49,10.01,2.05,48.54,13.86,1.81,15.79,3.45,2.19,21.84,30.55,0.48,550.99,758.52,-0.46,36.90,7.70,2.26,43.88,32.86,0.42,3.20,2.20,0.54,OSR2,ENSG00000164920,,
chr5,123080135,123109986,+,33.38,14.58,1.19,39.29,21.11,0.90,16.75,9.59,0.80,32.94,23.23,-0.50,548.64,1363.40,-1.31,28.70,11.15,1.36,35.56,55.66,-0.65,2.62,2.28,0.20,LOC105379152,,,
chr2,70879944,70903472,+,20.35,5.72,1.83,22.53,6.98,1.69,14.05,6.72,1.06,10.65,12.62,0.25,545.76,1399.74,-1.36,18.10,3.12,2.54,17.06,16.46,0.05,2.71,1.63,0.74,LINC01143,ENSG00000237751,,
chr6,99587605,99618482,+,29.03,10.26,1.50,35.78,14.31,1.32,18.46,9.14,1.01,22.02,20.65,-0.09,540.14,1110.89,-1.04,25.76,8.51,1.60,28.10,38.39,-0.45,3.11,3.53,-0.18,PRDM13,ENSG00000112238,,
chr2,176060882,176142391,+,32.42,15.45,1.07,31.38,18.37,0.77,14.29,12.50,0.19,28.51,19.03,-0.58,518.61,1489.49,-1.52,24.45,9.96,1.30,26.06,39.61,-0.60,3.10,2.79,0.16,HOXD12,ENSG00000170178,,
chr15,96400830,96428779,+,62.37,14.84,2.07,80.48,21.05,1.93,21.58,6.77,1.67,36.74,48.03,0.39,505.60,1087.83,-1.11,63.32,11.94,2.41,73.36,52.99,0.47,3.94,2.01,0.97,NR2F2,ENSG00000185551,,
chr7,19090951,19122804,+,43.50,10.69,2.02,56.45,14.58,1.95,14.58,5.31,1.46,24.36,35.09,0.53,504.54,958.42,-0.93,42.22,8.63,2.29,47.78,40.18,0.25,3.37,1.87,0.85,TWIST1,ENSG00000122691,,
chr6,1592807,1623911,+,56.36,10.85,2.38,51.68,11.14,2.21,39.16,7.54,2.38,15.53,34.56,1.15,504.33,665.84,-0.40,54.90,7.56,2.86,47.06,24.53,0.94,9.14,5.13,0.83,FOXC1,ENSG00000054598,,
chr10,92684321,92705483,+,26.36,7.53,1.81,36.44,10.66,1.77,22.99,5.38,2.09,16.25,20.70,0.35,503.55,982.58,-0.96,29.88,5.80,2.37,30.21,25.57,0.24,3.00,2.37,0.34,HHEX,ENSG00000152804,,
chr4,110607541,110643365,+,38.74,9.93,1.96,41.37,10.76,1.94,15.07,6.15,1.29,18.84,26.87,0.51,503.08,667.34,-0.41,31.66,6.83,2.21,34.63,24.85,0.48,2.95,1.91,0.63,PITX2,ENSG00000164093,,
chr6,16226489,16240240,+,23.00,2.90,2.99,33.84,4.35,2.96,29.96,2.52,3.57,6.82,19.62,1.52,502.67,556.86,-0.15,31.68,2.84,3.48,26.03,9.04,1.53,5.63,2.34,1.26,GMPR,ENSG00000137198,,
chr3,158089147,158111365,+,48.34,20.34,1.25,58.83,30.12,0.97,18.26,6.25,1.55,48.06,36.32,-0.40,502.02,996.81,-0.99,47.57,16.89,1.49,54.83,73.37,-0.42,3.71,2.58,0.52,SHOX2,ENSG00000168779,,
chr17,82362100,82390509,+,7.21,2.45,1.56,7.74,3.26,1.25,21.74,5.73,1.92,4.22,4.18,-0.01,498.85,1260.78,-1.34,9.39,2.16,2.12,5.79,6.13,-0.08,1.96,2.41,-0.30,UTS2R,ENSG00000181408,,
chr22,25402781,25430313,+,24.45,1.64,3.90,33.82,2.82,3.59,24.15,2.58,3.23,4.60,17.78,1.95,495.40,572.94,-0.21,27.66,2.18,3.67,26.87,8.58,1.65,3.73,1.15,1.70,CRYBB2P1,ENSG00000100058,,
chr14,36647475,36677591,+,20.30,9.08,1.16,20.93,9.96,1.07,17.72,8.39,1.08,14.52,11.56,-0.33,495.06,920.80,-0.90,17.75,6.67,1.41,16.41,24.40,-0.57,2.73,4.92,-0.85,PAX9,ENSG00000198807,,
chr7,129773598,129792811,+,18.22,3.53,2.37,18.41,3.35,2.46,25.21,5.49,2.20,5.96,9.64,0.69,492.08,801.14,-0.70,21.37,2.85,2.91,14.53,8.19,0.83,2.87,2.14,0.43,MIR183,ENSG00000207691,,
chr5,73429790,73458631,+,44.30,18.28,1.28,49.66,23.21,1.10,27.91,7.42,1.91,39.99,30.56,-0.39,485.98,1004.88,-1.05,40.81,13.39,1.61,41.93,57.35,-0.45,4.99,4.93,0.02,FOXD1,ENSG00000251493,,
chr1,44394124,44429388,+,27.23,7.31,1.90,34.57,10.19,1.76,15.87,4.40,1.85,15.52,21.11,0.44,484.42,665.09,-0.46,27.87,5.44,2.36,29.29,19.54,0.58,3.53,3.03,0.22,RNF220,ENSG00000187147,,
